Tabela 6736 - Domicílios e Moradores, por situação do domicílio e destino do lixo	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15
Variável - Domicílios (Mil unidades)															
Unidade da Federação	Destino do lixo	Ano x Situação do domicílio													
		2016		2017		2018		2019		2022		2023		2024	
	Coletado em caçamba de serviço de limpeza	139	41	162	32	124	53	98	37	76	19	64	8	85	11
	Queimado (na propriedade)	7	129	3	126	2	116	2	110	2	107	4	99	2	99
	Outro destino	4	10	6	12	7	8	9	8	3	6	6	7	7	5
Sergipe	Total	541	181	558	175	556	170	582	170	614	174	650	172	659	170
	Coletado diretamente por serviço de limpeza	422	71	440	74	508	84	555	87	577	93	626	112	652	117
	Coletado em caçamba de serviço de limpeza	111	41	107	31	34	17	17	6	33	16	18	3	5	2
	Queimado (na propriedade)	5	65	5	68	6	63	8	71	2	62	3	54	2	49
	Outro destino	3	4	6	2	8	5	2	5	2	4	4	3	0	3
Bahia	Total	3512	1242	3530	1265	3488	1342	3631	1366	3760	1422	3937	1440	4184	1329
	Coletado diretamente por serviço de limpeza	2751	303	2873	379	2800	417	2844	442	3187	521	3337	505	3735	439
	Coletado em caçamba de serviço de limpeza	641	129	582	93	636	208	738	171	542	118	546	114	414	146
	Queimado (na propriedade)	46	746	37	743	36	649	32	690	18	732	31	773	11	709
	Outro destino	74	64	38	50	16	68	16	63	13	50	23	48	24	36
Minas Gerais	Total	5955	876	6055	877	6176	895	6277	911	6468	1029	6846	986	7145	875
	Coletado diretamente por serviço de limpeza	5763	204	5871	219	5977	198	6043	229	6328	238	6700	238	6927	240
	Coletado em caçamba de serviço de limpeza	146	113	139	105	165	150	190	169	110	231	128	227	186	200
	Queimado (na propriedade)	31	503	32	494	29	507	30	479	20	510	18	490	21	404
	Outro destino	14	56	13	59	6	39	13	35	9	50	1	31	10	30
Espírito Santo	Total	1128	189	1131	181	1165	185	1177	188	1246	169	1309	176	1330	178
	Coletado diretamente por serviço de limpeza	1072	55	1081	49	1117	51	1126	73	1207	73	1267	73	1266	74
	Coletado em caçamba de serviço de limpeza	48	24	38	27	28	35	43	23	28	22	36	27	57	29
	Queimado (na propriedade)	3	106	6	100	7	90	6	88	8	71	6	74	6	71
	Outro destino	5	5	6	5	13	8	1	5	2	4	1	3	2	4
Rio de Janeiro	Total	5957	192	5985	188	6019	196	6116	178	6263	166	6397	164	6542	149
	Coletado diretamente por serviço de limpeza	5449	139	5474	122	5422	129	5636	113	5982	112	5889	104	6014	97
	Coletado em caçamba de serviço de limpeza	417	22	460	33	558	36	459	40	257	30	457	37	482	28
	Queimado (na propriedade)	39	27	21	29	17	28	8	22	14	20	15	22	14	20
	Outro destino	52	4	31	3	22	4	13	2	10	4	35	1	31	4
São Paulo	Total	14321	631	14347	623	14736	618	14897	611	15567	571	16335	565	16570	542
	Coletado diretamente por serviço de limpeza	13614	388	13741	354	14050	344	14382	334	14836	303	15349	294	15536	253
	Coletado em caçamba de serviço de limpeza	684	115	563	130	644	131	484	125	715	132	950	133	1025	166
	Queimado (na propriedade)	2	102	17	110	8	115	9	135	-	112	2	117	2	104
	Outro destino	21	26	26	29	34	28	22	17	15	25	33	21	8	19
Paraná	Total	3321	467	3338	475	3380	499	3440	502	3673	488	3780	482	3875	458
	Coletado diretamente por serviço de limpeza	3239	178	3216	201	3249	208	3396	209	3596	180	3661	201	3780	195
	Coletado em caçamba de serviço de limpeza	71	51	111	56	87	62	33	57	65	80	104	88	86	76
	Queimado (na propriedade)	9	198	9	179	8	184	4	201	6	188	9	159	8	161
	Outro destino	2	40	2	39	35	44	6	34	6	40	6	34	2	26
Santa Catarina	Total	2028	358	2106	354	2194	358	2227	354	2367	364	2539	340	2671	318
	Coletado diretamente por serviço de limpeza	1865	197	1854	191	2043	180	2071	193	2255	186	2410	189	2516	185
	Coletado em caçamba de serviço de limpeza	159	53	246	48	144	72	148	54	104	74	124	61	151	52
	Queimado (na propriedade)	3	87	3	84	6	79	6	80	4	80	4	68	3	58
	Outro destino	1	22	3	32	2	27	2	28	4	24	1	22	1	22
Rio Grande do Sul	Total	3450	538	3493	535	3529	525	3626	530	3667	581	3772	565	3844	496
