Rio Grande do Norte	Rede geral de distribuição	759	116	766	111	778	114	808	131	907	112	948	105	984	90
Rio Grande do Norte	Poço profundo ou artesiano	9	41	8	46	16	40	20	28	11	35	14	49	19	65
Rio Grande do Norte	Poço raso, freático ou cacimba	1	8	8	7	4	14	4	13	7	16	3	23	9	12
Rio Grande do Norte	Fonte ou nascente	-	1	2	-	-	-	-	0	-	4	1	1	-	7
Rio Grande do Norte	Outra	38	60	32	58	25	54	20	58	11	38	13	35	22	32
Paraíba	Total	958	263	973	267	982	279	1004	282	1045	317	1154	323	1168	303
Paraíba	Rede geral de distribuição	880	53	872	40	896	59	916	65	952	35	1079	56	1100	54
Paraíba	Poço profundo ou artesiano	44	52	29	66	30	68	40	55	32	102	35	78	21	85
Paraíba	Poço raso, freático ou cacimba	7	43	14	33	8	32	16	28	6	34	8	35	13	34
Paraíba	Fonte ou nascente	0	8	2	5	3	10	2	13	1	10	2	7	1	8
Paraíba	Outra	27	107	55	123	45	110	31	120	54	136	30	146	33	122
Pernambuco	Total	2466	530	2472	520	2517	536	2620	520	2708	504	2913	509	3023	505
Pernambuco	Rede geral de distribuição	2224	117	2196	138	2217	134	2242	110	2340	115	2592	101	2561	88
Pernambuco	Poço profundo ou artesiano	121	86	95	77	149	86	176	105	229	120	180	116	241	97
Pernambuco	Poço raso, freático ou cacimba	23	72	21	67	47	67	63	73	56	59	48	78	96	91
Pernambuco	Fonte ou nascente	5	24	5	26	7	12	7	9	5	18	3	16	7	29
Pernambuco	Outra	94	231	155	212	97	236	132	222	78	193	91	197	118	201
Alagoas	Total	740	241	763	243	791	244	820	236	827	213	877	226	891	212
Alagoas	Rede geral de distribuição	638	93	685	96	716	103	747	100	673	85	723	88	734	71
Alagoas	Poço profundo ou artesiano	78	26	55	30	53	27	49	30	113	25	110	23	121	29
Alagoas	Poço raso, freático ou cacimba	19	41	16	38	12	46	15	42	24	36	26	41	21	41
Alagoas	Fonte ou nascente	1	10	1	10	1	12	2	11	2	5	1	4	1	7
