"Tabela 7136 - Estudantes, por sexo e grupo de idade"
"Variável - Estudantes"
"Unidade da Federação";"Grupo de idade";"Ano x Sexo"
"Unidade da Federação";"Grupo de idade";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupo de idade";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Amazonas";"0 a 3 anos";"18";"Mil pessoas";"17";"Mil pessoas";"16";"Mil pessoas";"15";"Mil pessoas";"19";"Mil pessoas";"16";"Mil pessoas";"24";"Mil pessoas";"15";"Mil pessoas";"19";"Mil pessoas";"27";"Mil pessoas";"30";"Mil pessoas";"27";"Mil pessoas";"30";"Mil pessoas";"19";"Mil pessoas"
"Amazonas";"4 a 5 anos";"60";"Mil pessoas";"60";"Mil pessoas";"61";"Mil pessoas";"59";"Mil pessoas";"61";"Mil pessoas";"58";"Mil pessoas";"71";"Mil pessoas";"60";"Mil pessoas";"69";"Mil pessoas";"54";"Mil pessoas";"73";"Mil pessoas";"58";"Mil pessoas";"55";"Mil pessoas";"61";"Mil pessoas"
"Amazonas";"6 a 14 anos";"337";"Mil pessoas";"326";"Mil pessoas";"346";"Mil pessoas";"316";"Mil pessoas";"339";"Mil pessoas";"322";"Mil pessoas";"321";"Mil pessoas";"335";"Mil pessoas";"330";"Mil pessoas";"326";"Mil pessoas";"336";"Mil pessoas";"331";"Mil pessoas";"345";"Mil pessoas";"320";"Mil pessoas"
"Amazonas";"15 a 17 anos";"114";"Mil pessoas";"95";"Mil pessoas";"113";"Mil pessoas";"98";"Mil pessoas";"105";"Mil pessoas";"95";"Mil pessoas";"112";"Mil pessoas";"98";"Mil pessoas";"100";"Mil pessoas";"88";"Mil pessoas";"112";"Mil pessoas";"96";"Mil pessoas";"111";"Mil pessoas";"100";"Mil pessoas"
"Amazonas";"18 a 24 anos";"96";"Mil pessoas";"91";"Mil pessoas";"86";"Mil pessoas";"82";"Mil pessoas";"90";"Mil pessoas";"87";"Mil pessoas";"91";"Mil pessoas";"90";"Mil pessoas";"83";"Mil pessoas";"78";"Mil pessoas";"75";"Mil pessoas";"91";"Mil pessoas";"75";"Mil pessoas";"91";"Mil pessoas"
"Amazonas";"25 anos ou mais";"56";"Mil pessoas";"86";"Mil pessoas";"56";"Mil pessoas";"81";"Mil pessoas";"57";"Mil pessoas";"75";"Mil pessoas";"55";"Mil pessoas";"72";"Mil pessoas";"61";"Mil pessoas";"96";"Mil pessoas";"65";"Mil pessoas";"74";"Mil pessoas";"68";"Mil pessoas";"91";"Mil pessoas"
"Roraima";"0 a 5 anos";"10";"Mil pessoas";"12";"Mil pessoas";"11";"Mil pessoas";"14";"Mil pessoas";"11";"Mil pessoas";"11";"Mil pessoas";"11";"Mil pessoas";"12";"Mil pessoas";"13";"Mil pessoas";"13";"Mil pessoas";"14";"Mil pessoas";"16";"Mil pessoas";"16";"Mil pessoas";"14";"Mil pessoas"
"Roraima";"0 a 3 anos";"3";"Mil pessoas";"3";"Mil pessoas";"3";"Mil pessoas";"5";"Mil pessoas";"3";"Mil pessoas";"4";"Mil pessoas";"2";"Mil pessoas";"2";"Mil pessoas";"5";"Mil pessoas";"5";"Mil pessoas";"5";"Mil pessoas";"4";"Mil pessoas";"7";"Mil pessoas";"4";"Mil pessoas"
"Roraima";"4 a 5 anos";"7";"Mil pessoas";"8";"Mil pessoas";"8";"Mil pessoas";"9";"Mil pessoas";"8";"Mil pessoas";"8";"Mil pessoas";"9";"Mil pessoas";"10";"Mil pessoas";"8";"Mil pessoas";"8";"Mil pessoas";"9";"Mil pessoas";"12";"Mil pessoas";"10";"Mil pessoas";"10";"Mil pessoas"
"Roraima";"6 a 14 anos";"42";"Mil pessoas";"39";"Mil pessoas";"41";"Mil pessoas";"38";"Mil pessoas";"40";"Mil pessoas";"42";"Mil pessoas";"47";"Mil pessoas";"43";"Mil pessoas";"45";"Mil pessoas";"44";"Mil pessoas";"50";"Mil pessoas";"44";"Mil pessoas";"53";"Mil pessoas";"56";"Mil pessoas"
