"Tabela 7320 - Pessoas de 10 anos ou mais de idade, por sexo, condição de estudante e rede de ensino e curso frequentado"
"Variável - Pessoas de 10 anos ou mais de idade"
"Grande Região";"Condição de estudante, rede de ensino e curso frequentado";"Ano x Sexo"
"Grande Região";"Condição de estudante, rede de ensino e curso frequentado";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2021";;;;"2022";;;;"2023";;;;"2024"
"Grande Região";"Condição de estudante, rede de ensino e curso frequentado";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Nordeste";"Rede pública";"4183";"Mil pessoas";"4103";"Mil pessoas";"4093";"Mil pessoas";"3975";"Mil pessoas";"4082";"Mil pessoas";"3965";"Mil pessoas";"4102";"Mil pessoas";"3830";"Mil pessoas";"4123";"Mil pessoas";"4090";"Mil pessoas";"3976";"Mil pessoas";"3952";"Mil pessoas";"3882";"Mil pessoas";"3829";"Mil pessoas";"3689";"Mil pessoas";"3622";"Mil pessoas"
"Nordeste";"Ensino Fundamental ou EJA do Ensino Fundamental (rede pública)";"2772";"Mil pessoas";"2391";"Mil pessoas";"2688";"Mil pessoas";"2362";"Mil pessoas";"2633";"Mil pessoas";"2374";"Mil pessoas";"2638";"Mil pessoas";"2290";"Mil pessoas";"2573";"Mil pessoas";"2330";"Mil pessoas";"2425";"Mil pessoas";"2291";"Mil pessoas";"2314";"Mil pessoas";"2196";"Mil pessoas";"2226";"Mil pessoas";"2087";"Mil pessoas"
"Nordeste";"Ensino Médio ou EJA do Ensino Médio (rede pública)";"1098";"Mil pessoas";"1305";"Mil pessoas";"1061";"Mil pessoas";"1247";"Mil pessoas";"1071";"Mil pessoas";"1189";"Mil pessoas";"1080";"Mil pessoas";"1164";"Mil pessoas";"1178";"Mil pessoas";"1312";"Mil pessoas";"1162";"Mil pessoas";"1223";"Mil pessoas";"1165";"Mil pessoas";"1172";"Mil pessoas";"1125";"Mil pessoas";"1159";"Mil pessoas"
"Nordeste";"Superior, Especialização, Mestrado ou Doutorado (rede pública)";"288";"Mil pessoas";"381";"Mil pessoas";"326";"Mil pessoas";"341";"Mil pessoas";"366";"Mil pessoas";"384";"Mil pessoas";"371";"Mil pessoas";"366";"Mil pessoas";"351";"Mil pessoas";"418";"Mil pessoas";"359";"Mil pessoas";"403";"Mil pessoas";"384";"Mil pessoas";"437";"Mil pessoas";"339";"Mil pessoas";"377";"Mil pessoas"
"Nordeste";"Rede privada";"1032";"Mil pessoas";"1346";"Mil pessoas";"1097";"Mil pessoas";"1430";"Mil pessoas";"1130";"Mil pessoas";"1399";"Mil pessoas";"1084";"Mil pessoas";"1400";"Mil pessoas";"1022";"Mil pessoas";"1280";"Mil pessoas";"1144";"Mil pessoas";"1358";"Mil pessoas";"1070";"Mil pessoas";"1480";"Mil pessoas";"1083";"Mil pessoas";"1468";"Mil pessoas"
"Nordeste";"Ensino Fundamental ou EJA do Ensino Fundamental (rede privada)";"412";"Mil pessoas";"393";"Mil pessoas";"415";"Mil pessoas";"417";"Mil pessoas";"430";"Mil pessoas";"398";"Mil pessoas";"402";"Mil pessoas";"429";"Mil pessoas";"386";"Mil pessoas";"385";"Mil pessoas";"441";"Mil pessoas";"357";"Mil pessoas";"396";"Mil pessoas";"405";"Mil pessoas";"408";"Mil pessoas";"411";"Mil pessoas"
"Nordeste";"Ensino Médio ou EJA do Ensino Médio (rede privada)";"132";"Mil pessoas";"128";"Mil pessoas";"129";"Mil pessoas";"129";"Mil pessoas";"110";"Mil pessoas";"128";"Mil pessoas";"101";"Mil pessoas";"111";"Mil pessoas";"125";"Mil pessoas";"131";"Mil pessoas";"109";"Mil pessoas";"131";"Mil pessoas";"118";"Mil pessoas";"123";"Mil pessoas";"115";"Mil pessoas";"134";"Mil pessoas"
"Nordeste";"Superior, Especialização, Mestrado ou Doutorado (rede privada)";"486";"Mil pessoas";"824";"Mil pessoas";"553";"Mil pessoas";"883";"Mil pessoas";"588";"Mil pessoas";"873";"Mil pessoas";"580";"Mil pessoas";"859";"Mil pessoas";"511";"Mil pessoas";"764";"Mil pessoas";"593";"Mil pessoas";"869";"Mil pessoas";"555";"Mil pessoas";"950";"Mil pessoas";"561";"Mil pessoas";"923";"Mil pessoas"
"Sudeste";"Não estudante";"29162";"Mil pessoas";"31616";"Mil pessoas";"29651";"Mil pessoas";"32034";"Mil pessoas";"29853";"Mil pessoas";"32432";"Mil pessoas";"30286";"Mil pessoas";"32782";"Mil pessoas";"30756";"Mil pessoas";"33114";"Mil pessoas";"30809";"Mil pessoas";"33297";"Mil pessoas";"31365";"Mil pessoas";"33605";"Mil pessoas";"31876";"Mil pessoas";"34024";"Mil pessoas"
"Sudeste";"Estudante";"7303";"Mil pessoas";"7247";"Mil pessoas";"6988";"Mil pessoas";"7201";"Mil pessoas";"6954";"Mil pessoas";"7289";"Mil pessoas";"6900";"Mil pessoas";"7205";"Mil pessoas";"7153";"Mil pessoas";"7566";"Mil pessoas";"7190";"Mil pessoas";"7752";"Mil pessoas";"7090";"Mil pessoas";"7564";"Mil pessoas";"7094";"Mil pessoas";"7346";"Mil pessoas"
"Sudeste";"Rede pública";"4960";"Mil pessoas";"4733";"Mil pessoas";"4835";"Mil pessoas";"4599";"Mil pessoas";"4700";"Mil pessoas";"4638";"Mil pessoas";"4574";"Mil pessoas";"4444";"Mil pessoas";"4982";"Mil pessoas";"4601";"Mil pessoas";"4697";"Mil pessoas";"4659";"Mil pessoas";"4622";"Mil pessoas";"4485";"Mil pessoas";"4477";"Mil pessoas";"4166";"Mil pessoas"
"Sudeste";"Ensino Fundamental ou EJA do Ensino Fundamental (rede pública)";"2860";"Mil pessoas";"2721";"Mil pessoas";"2842";"Mil pessoas";"2533";"Mil pessoas";"2806";"Mil pessoas";"2578";"Mil pessoas";"2711";"Mil pessoas";"2549";"Mil pessoas";"2873";"Mil pessoas";"2498";"Mil pessoas";"2734";"Mil pessoas";"2551";"Mil pessoas";"2686";"Mil pessoas";"2502";"Mil pessoas";"2598";"Mil pessoas";"2331";"Mil pessoas"
"Sudeste";"Ensino Médio ou EJA do Ensino Médio (rede pública)";"1659";"Mil pessoas";"1593";"Mil pessoas";"1567";"Mil pessoas";"1609";"Mil pessoas";"1444";"Mil pessoas";"1548";"Mil pessoas";"1417";"Mil pessoas";"1441";"Mil pessoas";"1534";"Mil pessoas";"1476";"Mil pessoas";"1431";"Mil pessoas";"1532";"Mil pessoas";"1391";"Mil pessoas";"1436";"Mil pessoas";"1381";"Mil pessoas";"1304";"Mil pessoas"
"Sudeste";"Superior, Especialização, Mestrado ou Doutorado (rede pública)";"433";"Mil pessoas";"406";"Mil pessoas";"417";"Mil pessoas";"448";"Mil pessoas";"441";"Mil pessoas";"499";"Mil pessoas";"441";"Mil pessoas";"442";"Mil pessoas";"565";"Mil pessoas";"610";"Mil pessoas";"520";"Mil pessoas";"562";"Mil pessoas";"530";"Mil pessoas";"529";"Mil pessoas";"498";"Mil pessoas";"532";"Mil pessoas"
