"Tabela 4666 - Pessoas de 14 anos ou mais de idade, por tipo de medida de subutilização da força de trabalho na semana de referência"
"Variável - Pessoas de 14 anos ou mais de idade"
"Unidade da Federação";"Ano x Tipo de medida de subutilização da força de trabalho na semana de referência"
"Unidade da Federação";"2012";;;;;;;;;;;;;;;;;;"2013";;;;;;;;;;;;;;;;;;"2014";;;;;;;;;;;;;;;;;;"2015";;;;;;;;;;;;;;;;;;"2016";;;;;;;;;;;;;;;;;;"2017";;;;;;;;;;;;;;;;;;"2018";;;;;;;;;;;;;;;;;;"2019";;;;;;;;;;;;;;;;;;"2020";;;;;;;;;;;;;;;;;;"2021";;;;;;;;;;;;;;;;;;"2022";;;;;;;;;;;;;;;;;;"2023";;;;;;;;;;;;;;;;;;"2024"
"Unidade da Federação";"Força de trabalho ampliada";;"Força de trabalho ou desalentado";;"Desocupado ou na força de trabalho potencial ou subocupado por insuficiência de horas trabalhadas";;"Desocupado ou subocupado por insuficiência de horas trabalhadas";;"Desocupado";;"Subocupado por insuficiência de horas trabalhadas";;"Desocupado ou na força de trabalho potencial";;"Força de trabalho potencial";;"Desalentado";;"Força de trabalho ampliada";;"Força de trabalho ou desalentado";;"Desocupado ou na força de trabalho potencial ou subocupado por insuficiência de horas trabalhadas";;"Desocupado ou subocupado por insuficiência de horas trabalhadas";;"Desocupado";;"Subocupado por insuficiência de horas trabalhadas";;"Desocupado ou na força de trabalho potencial";;"Força de trabalho potencial";;"Desalentado";;"Força de trabalho ampliada";;"Força de trabalho ou desalentado";;"Desocupado ou na força de trabalho potencial ou subocupado por insuficiência de horas trabalhadas";;"Desocupado ou subocupado por insuficiência de horas trabalhadas";;"Desocupado";;"Subocupado por insuficiência de horas trabalhadas";;"Desocupado ou na força de trabalho potencial";;"Força de trabalho potencial";;"Desalentado";;"Força de trabalho ampliada";;"Força de trabalho ou desalentado";;"Desocupado ou na força de trabalho potencial ou subocupado por insuficiência de horas trabalhadas";;"Desocupado ou subocupado por insuficiência de horas trabalhadas";;"Desocupado";;"Subocupado por insuficiência de horas trabalhadas";;"Desocupado ou na força de trabalho potencial";;"Força de trabalho potencial";;"Desalentado";;"Força de trabalho ampliada";;"Força de trabalho ou desalentado";;"Desocupado ou na força de trabalho potencial ou subocupado por insuficiência de horas trabalhadas";;"Desocupado ou subocupado por insuficiência de horas trabalhadas";;"Desocupado";;"Subocupado por insuficiência de horas trabalhadas";;"Desocupado ou na força de trabalho potencial";;"Força de trabalho potencial";;"Desalentado";;"Força de trabalho ampliada";;"Força de trabalho ou desalentado";;"Desocupado ou na força de trabalho potencial ou subocupado por insuficiência de horas trabalhadas";;"Desocupado ou subocupado por insuficiência de horas trabalhadas";;"Desocupado";;"Subocupado por insuficiência de horas trabalhadas";;"Desocupado ou na força de trabalho potencial";;"Força de trabalho potencial";;"Desalentado";;"Força de trabalho ampliada";;"Força de trabalho ou desalentado";;"Desocupado ou na força de trabalho potencial ou subocupado por insuficiência de horas trabalhadas";;"Desocupado ou subocupado por insuficiência de horas trabalhadas";;"Desocupado";;"Subocupado por insuficiência de horas trabalhadas";;"Desocupado ou na força de trabalho potencial";;"Força de trabalho potencial";;"Desalentado";;"Força de trabalho ampliada";;"Força de trabalho ou desalentado";;"Desocupado ou na força de trabalho potencial ou subocupado por insuficiência de horas trabalhadas";;"Desocupado ou subocupado por insuficiência de horas trabalhadas";;"Desocupado";;"Subocupado por insuficiência de horas trabalhadas";;"Desocupado ou na força de trabalho potencial";;"Força de trabalho potencial";;"Desalentado";;"Força de trabalho ampliada";;"Força de trabalho ou desalentado";;"Desocupado ou na força de trabalho potencial ou subocupado por insuficiência de horas trabalhadas";;"Desocupado ou subocupado por insuficiência de horas trabalhadas";;"Desocupado";;"Subocupado por insuficiência de horas trabalhadas";;"Desocupado ou na força de trabalho potencial";;"Força de trabalho potencial";;"Desalentado";;"Força de trabalho ampliada";;"Força de trabalho ou desalentado";;"Desocupado ou na força de trabalho potencial ou subocupado por insuficiência de horas trabalhadas";;"Desocupado ou subocupado por insuficiência de horas trabalhadas";;"Desocupado";;"Subocupado por insuficiência de horas trabalhadas";;"Desocupado ou na força de trabalho potencial";;"Força de trabalho potencial";;"Desalentado";;"Força de trabalho ampliada";;"Força de trabalho ou desalentado";;"Desocupado ou na força de trabalho potencial ou subocupado por insuficiência de horas trabalhadas";;"Desocupado ou subocupado por insuficiência de horas trabalhadas";;"Desocupado";;"Subocupado por insuficiência de horas trabalhadas";;"Desocupado ou na força de trabalho potencial";;"Força de trabalho potencial";;"Desalentado";;"Força de trabalho ampliada";;"Força de trabalho ou desalentado";;"Desocupado ou na força de trabalho potencial ou subocupado por insuficiência de horas trabalhadas";;"Desocupado ou subocupado por insuficiência de horas trabalhadas";;"Desocupado";;"Subocupado por insuficiência de horas trabalhadas";;"Desocupado ou na força de trabalho potencial";;"Força de trabalho potencial";;"Desalentado";;"Força de trabalho ampliada";;"Força de trabalho ou desalentado";;"Desocupado ou na força de trabalho potencial ou subocupado por insuficiência de horas trabalhadas";;"Desocupado ou subocupado por insuficiência de horas trabalhadas";;"Desocupado";;"Subocupado por insuficiência de horas trabalhadas";;"Desocupado ou na força de trabalho potencial";;"Força de trabalho potencial";;"Desalentado"
"Rondônia";"830";"Mil pessoas";"798";"Mil pessoas";"134";"Mil pessoas";"91";"Mil pessoas";"45";"Mil pessoas";"46";"Mil pessoas";"88";"Mil pessoas";"44";"Mil pessoas";"11";"Mil pessoas";"827";"Mil pessoas";"800";"Mil pessoas";"112";"Mil pessoas";"76";"Mil pessoas";"41";"Mil pessoas";"35";"Mil pessoas";"77";"Mil pessoas";"36";"Mil pessoas";"9";"Mil pessoas";"808";"Mil pessoas";"792";"Mil pessoas";"79";"Mil pessoas";"60";"Mil pessoas";"31";"Mil pessoas";"29";"Mil pessoas";"50";"Mil pessoas";"19";"Mil pessoas";"3";"Mil pessoas";"809";"Mil pessoas";"789";"Mil pessoas";"-";"Mil pessoas";"-";"Mil pessoas";"45";"Mil pessoas";"-";"Mil pessoas";"75";"Mil pessoas";"30";"Mil pessoas";"10";"Mil pessoas";"855";"Mil pessoas";"832";"Mil pessoas";"121";"Mil pessoas";"87";"Mil pessoas";"67";"Mil pessoas";"20";"Mil pessoas";"101";"Mil pessoas";"34";"Mil pessoas";"12";"Mil pessoas";"885";"Mil pessoas";"868";"Mil pessoas";"145";"Mil pessoas";"109";"Mil pessoas";"64";"Mil pessoas";"45";"Mil pessoas";"101";"Mil pessoas";"36";"Mil pessoas";"20";"Mil pessoas";"890";"Mil pessoas";"878";"Mil pessoas";"144";"Mil pessoas";"112";"Mil pessoas";"81";"Mil pessoas";"31";"Mil pessoas";"113";"Mil pessoas";"32";"Mil pessoas";"20";"Mil pessoas";"927";"Mil pessoas";"908";"Mil pessoas";"164";"Mil pessoas";"125";"Mil pessoas";"72";"Mil pessoas";"52";"Mil pessoas";"111";"Mil pessoas";"39";"Mil pessoas";"20";"Mil pessoas";"949";"Mil pessoas";"913";"Mil pessoas";"184";"Mil pessoas";"127";"Mil pessoas";"90";"Mil pessoas";"37";"Mil pessoas";"146";"Mil pessoas";"57";"Mil pessoas";"20";"Mil pessoas";"927";"Mil pessoas";"888";"Mil pessoas";"193";"Mil pessoas";"117";"Mil pessoas";"80";"Mil pessoas";"37";"Mil pessoas";"156";"Mil pessoas";"76";"Mil pessoas";"37";"Mil pessoas";"919";"Mil pessoas";"898";"Mil pessoas";"94";"Mil pessoas";"62";"Mil pessoas";"38";"Mil pessoas";"25";"Mil pessoas";"69";"Mil pessoas";"31";"Mil pessoas";"10";"Mil pessoas";"869";"Mil pessoas";"860";"Mil pessoas";"56";"Mil pessoas";"38";"Mil pessoas";"27";"Mil pessoas";"11";"Mil pessoas";"46";"Mil pessoas";"19";"Mil pessoas";"10";"Mil pessoas";"896";"Mil pessoas";"884";"Mil pessoas";"63";"Mil pessoas";"43";"Mil pessoas";"29";"Mil pessoas";"15";"Mil pessoas";"48";"Mil pessoas";"19";"Mil pessoas";"7";"Mil pessoas"
"Acre";"358";"Mil pessoas";"336";"Mil pessoas";"85";"Mil pessoas";"53";"Mil pessoas";"30";"Mil pessoas";"23";"Mil pessoas";"62";"Mil pessoas";"32";"Mil pessoas";"10";"Mil pessoas";"357";"Mil pessoas";"335";"Mil pessoas";"78";"Mil pessoas";"46";"Mil pessoas";"28";"Mil pessoas";"19";"Mil pessoas";"59";"Mil pessoas";"32";"Mil pessoas";"10";"Mil pessoas";"366";"Mil pessoas";"347";"Mil pessoas";"71";"Mil pessoas";"42";"Mil pessoas";"27";"Mil pessoas";"14";"Mil pessoas";"57";"Mil pessoas";"30";"Mil pessoas";"10";"Mil pessoas";"367";"Mil pessoas";"352";"Mil pessoas";"-";"Mil pessoas";"-";"Mil pessoas";"30";"Mil pessoas";"-";"Mil pessoas";"53";"Mil pessoas";"23";"Mil pessoas";"8";"Mil pessoas";"365";"Mil pessoas";"352";"Mil pessoas";"75";"Mil pessoas";"43";"Mil pessoas";"35";"Mil pessoas";"8";"Mil pessoas";"67";"Mil pessoas";"32";"Mil pessoas";"18";"Mil pessoas";"392";"Mil pessoas";"370";"Mil pessoas";"116";"Mil pessoas";"67";"Mil pessoas";"49";"Mil pessoas";"18";"Mil pessoas";"98";"Mil pessoas";"50";"Mil pessoas";"28";"Mil pessoas";"433";"Mil pessoas";"405";"Mil pessoas";"132";"Mil pessoas";"67";"Mil pessoas";"49";"Mil pessoas";"18";"Mil pessoas";"114";"Mil pessoas";"65";"Mil pessoas";"38";"Mil pessoas";"416";"Mil pessoas";"393";"Mil pessoas";"132";"Mil pessoas";"72";"Mil pessoas";"52";"Mil pessoas";"20";"Mil pessoas";"112";"Mil pessoas";"60";"Mil pessoas";"37";"Mil pessoas";"415";"Mil pessoas";"384";"Mil pessoas";"149";"Mil pessoas";"66";"Mil pessoas";"52";"Mil pessoas";"14";"Mil pessoas";"135";"Mil pessoas";"82";"Mil pessoas";"52";"Mil pessoas";"453";"Mil pessoas";"423";"Mil pessoas";"170";"Mil pessoas";"85";"Mil pessoas";"60";"Mil pessoas";"26";"Mil pessoas";"144";"Mil pessoas";"84";"Mil pessoas";"53";"Mil pessoas";"420";"Mil pessoas";"402";"Mil pessoas";"109";"Mil pessoas";"60";"Mil pessoas";"46";"Mil pessoas";"14";"Mil pessoas";"95";"Mil pessoas";"49";"Mil pessoas";"31";"Mil pessoas";"378";"Mil pessoas";"365";"Mil pessoas";"68";"Mil pessoas";"32";"Mil pessoas";"25";"Mil pessoas";"7";"Mil pessoas";"61";"Mil pessoas";"36";"Mil pessoas";"24";"Mil pessoas";"401";"Mil pessoas";"386";"Mil pessoas";"69";"Mil pessoas";"30";"Mil pessoas";"23";"Mil pessoas";"7";"Mil pessoas";"62";"Mil pessoas";"39";"Mil pessoas";"24";"Mil pessoas"
"Amazonas";"1671";"Mil pessoas";"1591";"Mil pessoas";"335";"Mil pessoas";"230";"Mil pessoas";"152";"Mil pessoas";"78";"Mil pessoas";"257";"Mil pessoas";"105";"Mil pessoas";"25";"Mil pessoas";"1709";"Mil pessoas";"1663";"Mil pessoas";"306";"Mil pessoas";"236";"Mil pessoas";"162";"Mil pessoas";"74";"Mil pessoas";"232";"Mil pessoas";"70";"Mil pessoas";"25";"Mil pessoas";"1708";"Mil pessoas";"1656";"Mil pessoas";"278";"Mil pessoas";"205";"Mil pessoas";"142";"Mil pessoas";"63";"Mil pessoas";"215";"Mil pessoas";"73";"Mil pessoas";"21";"Mil pessoas";"1717";"Mil pessoas";"1674";"Mil pessoas";"-";"Mil pessoas";"-";"Mil pessoas";"155";"Mil pessoas";"-";"Mil pessoas";"229";"Mil pessoas";"73";"Mil pessoas";"30";"Mil pessoas";"1889";"Mil pessoas";"1817";"Mil pessoas";"471";"Mil pessoas";"336";"Mil pessoas";"245";"Mil pessoas";"91";"Mil pessoas";"380";"Mil pessoas";"136";"Mil pessoas";"64";"Mil pessoas";"1963";"Mil pessoas";"1902";"Mil pessoas";"515";"Mil pessoas";"370";"Mil pessoas";"263";"Mil pessoas";"107";"Mil pessoas";"408";"Mil pessoas";"145";"Mil pessoas";"84";"Mil pessoas";"2036";"Mil pessoas";"1941";"Mil pessoas";"554";"Mil pessoas";"360";"Mil pessoas";"256";"Mil pessoas";"104";"Mil pessoas";"449";"Mil pessoas";"194";"Mil pessoas";"98";"Mil pessoas";"2089";"Mil pessoas";"2004";"Mil pessoas";"568";"Mil pessoas";"389";"Mil pessoas";"270";"Mil pessoas";"119";"Mil pessoas";"449";"Mil pessoas";"179";"Mil pessoas";"94";"Mil pessoas";"2034";"Mil pessoas";"1921";"Mil pessoas";"639";"Mil pessoas";"395";"Mil pessoas";"266";"Mil pessoas";"129";"Mil pessoas";"510";"Mil pessoas";"244";"Mil pessoas";"131";"Mil pessoas";"2197";"Mil pessoas";"2099";"Mil pessoas";"676";"Mil pessoas";"437";"Mil pessoas";"302";"Mil pessoas";"135";"Mil pessoas";"541";"Mil pessoas";"239";"Mil pessoas";"141";"Mil pessoas";"2130";"Mil pessoas";"2035";"Mil pessoas";"535";"Mil pessoas";"346";"Mil pessoas";"254";"Mil pessoas";"92";"Mil pessoas";"443";"Mil pessoas";"189";"Mil pessoas";"94";"Mil pessoas";"2085";"Mil pessoas";"2020";"Mil pessoas";"424";"Mil pessoas";"285";"Mil pessoas";"194";"Mil pessoas";"92";"Mil pessoas";"333";"Mil pessoas";"139";"Mil pessoas";"73";"Mil pessoas";"2129";"Mil pessoas";"2064";"Mil pessoas";"354";"Mil pessoas";"236";"Mil pessoas";"169";"Mil pessoas";"67";"Mil pessoas";"287";"Mil pessoas";"118";"Mil pessoas";"53";"Mil pessoas"
"Roraima";"212";"Mil pessoas";"198";"Mil pessoas";"44";"Mil pessoas";"25";"Mil pessoas";"15";"Mil pessoas";"10";"Mil pessoas";"34";"Mil pessoas";"18";"Mil pessoas";"5";"Mil pessoas";"227";"Mil pessoas";"213";"Mil pessoas";"51";"Mil pessoas";"29";"Mil pessoas";"16";"Mil pessoas";"13";"Mil pessoas";"38";"Mil pessoas";"22";"Mil pessoas";"8";"Mil pessoas";"230";"Mil pessoas";"220";"Mil pessoas";"45";"Mil pessoas";"29";"Mil pessoas";"16";"Mil pessoas";"13";"Mil pessoas";"33";"Mil pessoas";"17";"Mil pessoas";"6";"Mil pessoas";"232";"Mil pessoas";"223";"Mil pessoas";"-";"Mil pessoas";"-";"Mil pessoas";"19";"Mil pessoas";"-";"Mil pessoas";"33";"Mil pessoas";"14";"Mil pessoas";"5";"Mil pessoas";"237";"Mil pessoas";"228";"Mil pessoas";"49";"Mil pessoas";"31";"Mil pessoas";"19";"Mil pessoas";"12";"Mil pessoas";"38";"Mil pessoas";"19";"Mil pessoas";"9";"Mil pessoas";"237";"Mil pessoas";"229";"Mil pessoas";"49";"Mil pessoas";"34";"Mil pessoas";"23";"Mil pessoas";"10";"Mil pessoas";"39";"Mil pessoas";"16";"Mil pessoas";"8";"Mil pessoas";"275";"Mil pessoas";"264";"Mil pessoas";"71";"Mil pessoas";"49";"Mil pessoas";"33";"Mil pessoas";"16";"Mil pessoas";"55";"Mil pessoas";"22";"Mil pessoas";"11";"Mil pessoas";"287";"Mil pessoas";"270";"Mil pessoas";"89";"Mil pessoas";"59";"Mil pessoas";"38";"Mil pessoas";"21";"Mil pessoas";"68";"Mil pessoas";"30";"Mil pessoas";"13";"Mil pessoas";"281";"Mil pessoas";"261";"Mil pessoas";"93";"Mil pessoas";"57";"Mil pessoas";"41";"Mil pessoas";"16";"Mil pessoas";"77";"Mil pessoas";"36";"Mil pessoas";"16";"Mil pessoas";"295";"Mil pessoas";"275";"Mil pessoas";"95";"Mil pessoas";"57";"Mil pessoas";"35";"Mil pessoas";"21";"Mil pessoas";"74";"Mil pessoas";"38";"Mil pessoas";"19";"Mil pessoas";"278";"Mil pessoas";"272";"Mil pessoas";"34";"Mil pessoas";"18";"Mil pessoas";"13";"Mil pessoas";"6";"Mil pessoas";"29";"Mil pessoas";"16";"Mil pessoas";"10";"Mil pessoas";"293";"Mil pessoas";"286";"Mil pessoas";"38";"Mil pessoas";"25";"Mil pessoas";"18";"Mil pessoas";"6";"Mil pessoas";"31";"Mil pessoas";"13";"Mil pessoas";"6";"Mil pessoas";"323";"Mil pessoas";"305";"Mil pessoas";"66";"Mil pessoas";"35";"Mil pessoas";"22";"Mil pessoas";"13";"Mil pessoas";"52";"Mil pessoas";"30";"Mil pessoas";"12";"Mil pessoas"
"Pará";"3950";"Mil pessoas";"3660";"Mil pessoas";"1036";"Mil pessoas";"633";"Mil pessoas";"261";"Mil pessoas";"372";"Mil pessoas";"664";"Mil pessoas";"403";"Mil pessoas";"112";"Mil pessoas";"3940";"Mil pessoas";"3690";"Mil pessoas";"880";"Mil pessoas";"533";"Mil pessoas";"255";"Mil pessoas";"279";"Mil pessoas";"602";"Mil pessoas";"347";"Mil pessoas";"98";"Mil pessoas";"3887";"Mil pessoas";"3692";"Mil pessoas";"851";"Mil pessoas";"585";"Mil pessoas";"282";"Mil pessoas";"303";"Mil pessoas";"548";"Mil pessoas";"267";"Mil pessoas";"72";"Mil pessoas";"4211";"Mil pessoas";"3962";"Mil pessoas";"-";"Mil pessoas";"-";"Mil pessoas";"363";"Mil pessoas";"-";"Mil pessoas";"731";"Mil pessoas";"368";"Mil pessoas";"120";"Mil pessoas";"4207";"Mil pessoas";"3997";"Mil pessoas";"1121";"Mil pessoas";"734";"Mil pessoas";"434";"Mil pessoas";"300";"Mil pessoas";"822";"Mil pessoas";"387";"Mil pessoas";"178";"Mil pessoas";"4408";"Mil pessoas";"4135";"Mil pessoas";"1350";"Mil pessoas";"833";"Mil pessoas";"445";"Mil pessoas";"388";"Mil pessoas";"962";"Mil pessoas";"517";"Mil pessoas";"244";"Mil pessoas";"4370";"Mil pessoas";"4118";"Mil pessoas";"1399";"Mil pessoas";"853";"Mil pessoas";"445";"Mil pessoas";"407";"Mil pessoas";"991";"Mil pessoas";"546";"Mil pessoas";"293";"Mil pessoas";"4359";"Mil pessoas";"4157";"Mil pessoas";"1219";"Mil pessoas";"794";"Mil pessoas";"416";"Mil pessoas";"378";"Mil pessoas";"841";"Mil pessoas";"425";"Mil pessoas";"223";"Mil pessoas";"4249";"Mil pessoas";"4005";"Mil pessoas";"1212";"Mil pessoas";"717";"Mil pessoas";"393";"Mil pessoas";"324";"Mil pessoas";"888";"Mil pessoas";"495";"Mil pessoas";"250";"Mil pessoas";"4521";"Mil pessoas";"4261";"Mil pessoas";"1504";"Mil pessoas";"856";"Mil pessoas";"505";"Mil pessoas";"351";"Mil pessoas";"1153";"Mil pessoas";"648";"Mil pessoas";"389";"Mil pessoas";"4604";"Mil pessoas";"4391";"Mil pessoas";"1182";"Mil pessoas";"754";"Mil pessoas";"407";"Mil pessoas";"347";"Mil pessoas";"835";"Mil pessoas";"428";"Mil pessoas";"215";"Mil pessoas";"4670";"Mil pessoas";"4440";"Mil pessoas";"1123";"Mil pessoas";"647";"Mil pessoas";"325";"Mil pessoas";"322";"Mil pessoas";"801";"Mil pessoas";"476";"Mil pessoas";"246";"Mil pessoas";"4670";"Mil pessoas";"4438";"Mil pessoas";"1071";"Mil pessoas";"630";"Mil pessoas";"305";"Mil pessoas";"326";"Mil pessoas";"746";"Mil pessoas";"441";"Mil pessoas";"209";"Mil pessoas"
"Amapá";"345";"Mil pessoas";"332";"Mil pessoas";"76";"Mil pessoas";"56";"Mil pessoas";"43";"Mil pessoas";"13";"Mil pessoas";"63";"Mil pessoas";"20";"Mil pessoas";"7";"Mil pessoas";"359";"Mil pessoas";"344";"Mil pessoas";"85";"Mil pessoas";"64";"Mil pessoas";"42";"Mil pessoas";"22";"Mil pessoas";"63";"Mil pessoas";"21";"Mil pessoas";"7";"Mil pessoas";"345";"Mil pessoas";"334";"Mil pessoas";"69";"Mil pessoas";"55";"Mil pessoas";"42";"Mil pessoas";"13";"Mil pessoas";"56";"Mil pessoas";"14";"Mil pessoas";"3";"Mil pessoas";"351";"Mil pessoas";"336";"Mil pessoas";"-";"Mil pessoas";"-";"Mil pessoas";"36";"Mil pessoas";"-";"Mil pessoas";"55";"Mil pessoas";"19";"Mil pessoas";"4";"Mil pessoas";"388";"Mil pessoas";"377";"Mil pessoas";"103";"Mil pessoas";"72";"Mil pessoas";"57";"Mil pessoas";"15";"Mil pessoas";"88";"Mil pessoas";"31";"Mil pessoas";"20";"Mil pessoas";"396";"Mil pessoas";"378";"Mil pessoas";"116";"Mil pessoas";"78";"Mil pessoas";"62";"Mil pessoas";"16";"Mil pessoas";"100";"Mil pessoas";"38";"Mil pessoas";"19";"Mil pessoas";"394";"Mil pessoas";"376";"Mil pessoas";"132";"Mil pessoas";"103";"Mil pessoas";"76";"Mil pessoas";"27";"Mil pessoas";"105";"Mil pessoas";"30";"Mil pessoas";"11";"Mil pessoas";"433";"Mil pessoas";"408";"Mil pessoas";"151";"Mil pessoas";"109";"Mil pessoas";"64";"Mil pessoas";"45";"Mil pessoas";"106";"Mil pessoas";"43";"Mil pessoas";"18";"Mil pessoas";"410";"Mil pessoas";"381";"Mil pessoas";"131";"Mil pessoas";"78";"Mil pessoas";"60";"Mil pessoas";"18";"Mil pessoas";"113";"Mil pessoas";"53";"Mil pessoas";"23";"Mil pessoas";"430";"Mil pessoas";"399";"Mil pessoas";"133";"Mil pessoas";"79";"Mil pessoas";"54";"Mil pessoas";"24";"Mil pessoas";"108";"Mil pessoas";"54";"Mil pessoas";"23";"Mil pessoas";"445";"Mil pessoas";"430";"Mil pessoas";"106";"Mil pessoas";"78";"Mil pessoas";"57";"Mil pessoas";"21";"Mil pessoas";"85";"Mil pessoas";"28";"Mil pessoas";"13";"Mil pessoas";"477";"Mil pessoas";"459";"Mil pessoas";"98";"Mil pessoas";"62";"Mil pessoas";"50";"Mil pessoas";"12";"Mil pessoas";"86";"Mil pessoas";"36";"Mil pessoas";"18";"Mil pessoas";"432";"Mil pessoas";"423";"Mil pessoas";"70";"Mil pessoas";"49";"Mil pessoas";"34";"Mil pessoas";"15";"Mil pessoas";"55";"Mil pessoas";"21";"Mil pessoas";"12";"Mil pessoas"
"Tocantins";"697";"Mil pessoas";"662";"Mil pessoas";"148";"Mil pessoas";"97";"Mil pessoas";"51";"Mil pessoas";"46";"Mil pessoas";"102";"Mil pessoas";"51";"Mil pessoas";"16";"Mil pessoas";"717";"Mil pessoas";"681";"Mil pessoas";"170";"Mil pessoas";"106";"Mil pessoas";"46";"Mil pessoas";"60";"Mil pessoas";"111";"Mil pessoas";"65";"Mil pessoas";"28";"Mil pessoas";"718";"Mil pessoas";"684";"Mil pessoas";"138";"Mil pessoas";"90";"Mil pessoas";"44";"Mil pessoas";"46";"Mil pessoas";"92";"Mil pessoas";"48";"Mil pessoas";"14";"Mil pessoas";"724";"Mil pessoas";"695";"Mil pessoas";"-";"Mil pessoas";"-";"Mil pessoas";"66";"Mil pessoas";"-";"Mil pessoas";"113";"Mil pessoas";"47";"Mil pessoas";"18";"Mil pessoas";"751";"Mil pessoas";"730";"Mil pessoas";"165";"Mil pessoas";"118";"Mil pessoas";"86";"Mil pessoas";"33";"Mil pessoas";"132";"Mil pessoas";"47";"Mil pessoas";"25";"Mil pessoas";"757";"Mil pessoas";"739";"Mil pessoas";"170";"Mil pessoas";"114";"Mil pessoas";"76";"Mil pessoas";"38";"Mil pessoas";"132";"Mil pessoas";"56";"Mil pessoas";"39";"Mil pessoas";"776";"Mil pessoas";"755";"Mil pessoas";"181";"Mil pessoas";"115";"Mil pessoas";"77";"Mil pessoas";"37";"Mil pessoas";"143";"Mil pessoas";"66";"Mil pessoas";"45";"Mil pessoas";"808";"Mil pessoas";"786";"Mil pessoas";"210";"Mil pessoas";"143";"Mil pessoas";"89";"Mil pessoas";"55";"Mil pessoas";"155";"Mil pessoas";"67";"Mil pessoas";"45";"Mil pessoas";"806";"Mil pessoas";"764";"Mil pessoas";"250";"Mil pessoas";"133";"Mil pessoas";"77";"Mil pessoas";"56";"Mil pessoas";"194";"Mil pessoas";"117";"Mil pessoas";"75";"Mil pessoas";"839";"Mil pessoas";"806";"Mil pessoas";"259";"Mil pessoas";"181";"Mil pessoas";"108";"Mil pessoas";"74";"Mil pessoas";"185";"Mil pessoas";"77";"Mil pessoas";"44";"Mil pessoas";"844";"Mil pessoas";"814";"Mil pessoas";"160";"Mil pessoas";"94";"Mil pessoas";"59";"Mil pessoas";"34";"Mil pessoas";"126";"Mil pessoas";"67";"Mil pessoas";"37";"Mil pessoas";"865";"Mil pessoas";"832";"Mil pessoas";"159";"Mil pessoas";"95";"Mil pessoas";"46";"Mil pessoas";"49";"Mil pessoas";"110";"Mil pessoas";"64";"Mil pessoas";"31";"Mil pessoas";"910";"Mil pessoas";"872";"Mil pessoas";"166";"Mil pessoas";"91";"Mil pessoas";"46";"Mil pessoas";"45";"Mil pessoas";"121";"Mil pessoas";"75";"Mil pessoas";"37";"Mil pessoas"
