"Tabela 6732 - Domicílios e Moradores com rede geral de distribuição de água como principal forma de abastecimento, por situação do domicílio e disponibilidade da rede geral"
"Variável - Domicílios com rede geral de distribuição de água como principal forma de abastecimento de água"
"Unidade da Federação";"Disponibilidade da rede geral de distribuição de água";"Ano x Situação do domicílio"
"Unidade da Federação";"Disponibilidade da rede geral de distribuição de água";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Disponibilidade da rede geral de distribuição de água";"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural"
"Pará";"Total";"960";"Mil unidades";"189";"Mil unidades";"947";"Mil unidades";"168";"Mil unidades";"980";"Mil unidades";"190";"Mil unidades";"1003";"Mil unidades";"197";"Mil unidades";"1111";"Mil unidades";"181";"Mil unidades";"1146";"Mil unidades";"156";"Mil unidades";"1224";"Mil unidades";"192";"Mil unidades"
"Pará";"Diária";"808";"Mil unidades";"177";"Mil unidades";"826";"Mil unidades";"156";"Mil unidades";"822";"Mil unidades";"179";"Mil unidades";"877";"Mil unidades";"187";"Mil unidades";"949";"Mil unidades";"170";"Mil unidades";"996";"Mil unidades";"149";"Mil unidades";"1053";"Mil unidades";"174";"Mil unidades"
"Pará";"De 4 a 6 dias na semana";"73";"Mil unidades";"7";"Mil unidades";"79";"Mil unidades";"5";"Mil unidades";"91";"Mil unidades";"3";"Mil unidades";"77";"Mil unidades";"4";"Mil unidades";"109";"Mil unidades";"9";"Mil unidades";"98";"Mil unidades";"2";"Mil unidades";"118";"Mil unidades";"9";"Mil unidades"
"Pará";"De 1 a 3 dias na semana";"68";"Mil unidades";"3";"Mil unidades";"33";"Mil unidades";"6";"Mil unidades";"56";"Mil unidades";"5";"Mil unidades";"41";"Mil unidades";"4";"Mil unidades";"45";"Mil unidades";"1";"Mil unidades";"40";"Mil unidades";"4";"Mil unidades";"43";"Mil unidades";"8";"Mil unidades"
"Amapá";"Total";"114";"Mil unidades";"1";"Mil unidades";"110";"Mil unidades";"1";"Mil unidades";"114";"Mil unidades";"2";"Mil unidades";"104";"Mil unidades";"5";"Mil unidades";"107";"Mil unidades";"3";"Mil unidades";"125";"Mil unidades";"4";"Mil unidades";"123";"Mil unidades";"4";"Mil unidades"
"Amapá";"Diária";"111";"Mil unidades";"1";"Mil unidades";"90";"Mil unidades";"1";"Mil unidades";"84";"Mil unidades";"2";"Mil unidades";"87";"Mil unidades";"4";"Mil unidades";"93";"Mil unidades";"3";"Mil unidades";"114";"Mil unidades";"4";"Mil unidades";"104";"Mil unidades";"4";"Mil unidades"
"Amapá";"De 4 a 6 dias na semana";"3";"Mil unidades";"-";"Mil unidades";"16";"Mil unidades";"-";"Mil unidades";"21";"Mil unidades";"-";"Mil unidades";"9";"Mil unidades";"0";"Mil unidades";"10";"Mil unidades";"-";"Mil unidades";"9";"Mil unidades";"0";"Mil unidades";"13";"Mil unidades";"-";"Mil unidades"
"Amapá";"De 1 a 3 dias na semana";"1";"Mil unidades";"-";"Mil unidades";"3";"Mil unidades";"-";"Mil unidades";"8";"Mil unidades";"-";"Mil unidades";"7";"Mil unidades";"-";"Mil unidades";"4";"Mil unidades";"-";"Mil unidades";"1";"Mil unidades";"-";"Mil unidades";"3";"Mil unidades";"-";"Mil unidades"
"Tocantins";"Total";"373";"Mil unidades";"18";"Mil unidades";"377";"Mil unidades";"15";"Mil unidades";"387";"Mil unidades";"14";"Mil unidades";"395";"Mil unidades";"14";"Mil unidades";"420";"Mil unidades";"13";"Mil unidades";"432";"Mil unidades";"16";"Mil unidades";"449";"Mil unidades";"16";"Mil unidades"
"Tocantins";"Diária";"368";"Mil unidades";"18";"Mil unidades";"349";"Mil unidades";"15";"Mil unidades";"378";"Mil unidades";"14";"Mil unidades";"381";"Mil unidades";"14";"Mil unidades";"407";"Mil unidades";"13";"Mil unidades";"416";"Mil unidades";"16";"Mil unidades";"427";"Mil unidades";"14";"Mil unidades"
"Tocantins";"De 4 a 6 dias na semana";"3";"Mil unidades";"0";"Mil unidades";"12";"Mil unidades";"-";"Mil unidades";"5";"Mil unidades";"-";"Mil unidades";"10";"Mil unidades";"0";"Mil unidades";"8";"Mil unidades";"-";"Mil unidades";"14";"Mil unidades";"1";"Mil unidades";"13";"Mil unidades";"1";"Mil unidades"
"Tocantins";"De 1 a 3 dias na semana";"2";"Mil unidades";"0";"Mil unidades";"8";"Mil unidades";"-";"Mil unidades";"3";"Mil unidades";"-";"Mil unidades";"3";"Mil unidades";"-";"Mil unidades";"4";"Mil unidades";"0";"Mil unidades";"2";"Mil unidades";"-";"Mil unidades";"6";"Mil unidades";"0";"Mil unidades"
"Maranhão";"Total";"1039";"Mil unidades";"263";"Mil unidades";"1110";"Mil unidades";"285";"Mil unidades";"1086";"Mil unidades";"295";"Mil unidades";"1120";"Mil unidades";"288";"Mil unidades";"1286";"Mil unidades";"258";"Mil unidades";"1367";"Mil unidades";"276";"Mil unidades";"1359";"Mil unidades";"274";"Mil unidades"
"Maranhão";"Diária";"731";"Mil unidades";"199";"Mil unidades";"796";"Mil unidades";"227";"Mil unidades";"792";"Mil unidades";"252";"Mil unidades";"876";"Mil unidades";"236";"Mil unidades";"944";"Mil unidades";"216";"Mil unidades";"1033";"Mil unidades";"227";"Mil unidades";"1061";"Mil unidades";"235";"Mil unidades"
"Maranhão";"De 4 a 6 dias na semana";"139";"Mil unidades";"29";"Mil unidades";"155";"Mil unidades";"30";"Mil unidades";"163";"Mil unidades";"23";"Mil unidades";"163";"Mil unidades";"24";"Mil unidades";"212";"Mil unidades";"19";"Mil unidades";"217";"Mil unidades";"21";"Mil unidades";"173";"Mil unidades";"22";"Mil unidades"
"Maranhão";"De 1 a 3 dias na semana";"151";"Mil unidades";"30";"Mil unidades";"123";"Mil unidades";"21";"Mil unidades";"106";"Mil unidades";"14";"Mil unidades";"61";"Mil unidades";"16";"Mil unidades";"105";"Mil unidades";"17";"Mil unidades";"90";"Mil unidades";"19";"Mil unidades";"96";"Mil unidades";"10";"Mil unidades"
"Piauí";"Total";"637";"Mil unidades";"171";"Mil unidades";"660";"Mil unidades";"187";"Mil unidades";"640";"Mil unidades";"208";"Mil unidades";"646";"Mil unidades";"223";"Mil unidades";"679";"Mil unidades";"173";"Mil unidades";"774";"Mil unidades";"167";"Mil unidades";"790";"Mil unidades";"177";"Mil unidades"
"Piauí";"Diária";"596";"Mil unidades";"161";"Mil unidades";"595";"Mil unidades";"177";"Mil unidades";"603";"Mil unidades";"192";"Mil unidades";"610";"Mil unidades";"211";"Mil unidades";"624";"Mil unidades";"156";"Mil unidades";"725";"Mil unidades";"150";"Mil unidades";"710";"Mil unidades";"152";"Mil unidades"
"Piauí";"De 4 a 6 dias na semana";"32";"Mil unidades";"6";"Mil unidades";"42";"Mil unidades";"4";"Mil unidades";"26";"Mil unidades";"12";"Mil unidades";"32";"Mil unidades";"7";"Mil unidades";"27";"Mil unidades";"11";"Mil unidades";"34";"Mil unidades";"12";"Mil unidades";"39";"Mil unidades";"16";"Mil unidades"
"Piauí";"De 1 a 3 dias na semana";"8";"Mil unidades";"3";"Mil unidades";"5";"Mil unidades";"4";"Mil unidades";"11";"Mil unidades";"3";"Mil unidades";"2";"Mil unidades";"4";"Mil unidades";"27";"Mil unidades";"5";"Mil unidades";"13";"Mil unidades";"5";"Mil unidades";"30";"Mil unidades";"8";"Mil unidades"
"Ceará";"Total";"1971";"Mil unidades";"221";"Mil unidades";"1967";"Mil unidades";"250";"Mil unidades";"2042";"Mil unidades";"246";"Mil unidades";"2022";"Mil unidades";"239";"Mil unidades";"2190";"Mil unidades";"312";"Mil unidades";"2327";"Mil unidades";"336";"Mil unidades";"2394";"Mil unidades";"309";"Mil unidades"
"Ceará";"Diária";"1565";"Mil unidades";"143";"Mil unidades";"1639";"Mil unidades";"162";"Mil unidades";"1724";"Mil unidades";"175";"Mil unidades";"1717";"Mil unidades";"168";"Mil unidades";"1942";"Mil unidades";"243";"Mil unidades";"2031";"Mil unidades";"259";"Mil unidades";"2124";"Mil unidades";"254";"Mil unidades"
"Ceará";"De 4 a 6 dias na semana";"192";"Mil unidades";"29";"Mil unidades";"175";"Mil unidades";"43";"Mil unidades";"188";"Mil unidades";"38";"Mil unidades";"189";"Mil unidades";"31";"Mil unidades";"128";"Mil unidades";"38";"Mil unidades";"176";"Mil unidades";"41";"Mil unidades";"158";"Mil unidades";"32";"Mil unidades"
"Ceará";"De 1 a 3 dias na semana";"173";"Mil unidades";"39";"Mil unidades";"125";"Mil unidades";"40";"Mil unidades";"109";"Mil unidades";"26";"Mil unidades";"86";"Mil unidades";"32";"Mil unidades";"106";"Mil unidades";"24";"Mil unidades";"97";"Mil unidades";"29";"Mil unidades";"78";"Mil unidades";"20";"Mil unidades"
"Rio Grande do Norte";"Total";"759";"Mil unidades";"116";"Mil unidades";"766";"Mil unidades";"111";"Mil unidades";"778";"Mil unidades";"114";"Mil unidades";"808";"Mil unidades";"131";"Mil unidades";"907";"Mil unidades";"112";"Mil unidades";"948";"Mil unidades";"105";"Mil unidades";"984";"Mil unidades";"90";"Mil unidades"
"Rio Grande do Norte";"Diária";"473";"Mil unidades";"61";"Mil unidades";"442";"Mil unidades";"56";"Mil unidades";"484";"Mil unidades";"51";"Mil unidades";"545";"Mil unidades";"58";"Mil unidades";"623";"Mil unidades";"49";"Mil unidades";"647";"Mil unidades";"55";"Mil unidades";"678";"Mil unidades";"35";"Mil unidades"
"Rio Grande do Norte";"De 4 a 6 dias na semana";"116";"Mil unidades";"13";"Mil unidades";"138";"Mil unidades";"13";"Mil unidades";"122";"Mil unidades";"24";"Mil unidades";"100";"Mil unidades";"28";"Mil unidades";"130";"Mil unidades";"17";"Mil unidades";"105";"Mil unidades";"10";"Mil unidades";"107";"Mil unidades";"15";"Mil unidades"
"Rio Grande do Norte";"De 1 a 3 dias na semana";"137";"Mil unidades";"35";"Mil unidades";"154";"Mil unidades";"24";"Mil unidades";"139";"Mil unidades";"27";"Mil unidades";"127";"Mil unidades";"36";"Mil unidades";"131";"Mil unidades";"41";"Mil unidades";"145";"Mil unidades";"33";"Mil unidades";"159";"Mil unidades";"34";"Mil unidades"
"Paraíba";"Total";"880";"Mil unidades";"53";"Mil unidades";"872";"Mil unidades";"40";"Mil unidades";"896";"Mil unidades";"59";"Mil unidades";"916";"Mil unidades";"65";"Mil unidades";"952";"Mil unidades";"35";"Mil unidades";"1079";"Mil unidades";"56";"Mil unidades";"1100";"Mil unidades";"54";"Mil unidades"
"Paraíba";"Diária";"455";"Mil unidades";"23";"Mil unidades";"507";"Mil unidades";"14";"Mil unidades";"655";"Mil unidades";"42";"Mil unidades";"624";"Mil unidades";"46";"Mil unidades";"739";"Mil unidades";"20";"Mil unidades";"812";"Mil unidades";"35";"Mil unidades";"888";"Mil unidades";"34";"Mil unidades"
"Paraíba";"De 4 a 6 dias na semana";"108";"Mil unidades";"4";"Mil unidades";"118";"Mil unidades";"6";"Mil unidades";"91";"Mil unidades";"4";"Mil unidades";"142";"Mil unidades";"8";"Mil unidades";"92";"Mil unidades";"3";"Mil unidades";"118";"Mil unidades";"6";"Mil unidades";"85";"Mil unidades";"7";"Mil unidades"
"Paraíba";"De 1 a 3 dias na semana";"278";"Mil unidades";"21";"Mil unidades";"192";"Mil unidades";"12";"Mil unidades";"125";"Mil unidades";"11";"Mil unidades";"132";"Mil unidades";"11";"Mil unidades";"108";"Mil unidades";"10";"Mil unidades";"135";"Mil unidades";"12";"Mil unidades";"112";"Mil unidades";"12";"Mil unidades"
"Pernambuco";"Total";"2224";"Mil unidades";"117";"Mil unidades";"2196";"Mil unidades";"138";"Mil unidades";"2217";"Mil unidades";"134";"Mil unidades";"2242";"Mil unidades";"110";"Mil unidades";"2340";"Mil unidades";"115";"Mil unidades";"2592";"Mil unidades";"101";"Mil unidades";"2561";"Mil unidades";"88";"Mil unidades"
"Pernambuco";"Diária";"995";"Mil unidades";"50";"Mil unidades";"839";"Mil unidades";"45";"Mil unidades";"851";"Mil unidades";"53";"Mil unidades";"829";"Mil unidades";"42";"Mil unidades";"1019";"Mil unidades";"26";"Mil unidades";"1297";"Mil unidades";"39";"Mil unidades";"1143";"Mil unidades";"31";"Mil unidades"
"Pernambuco";"De 4 a 6 dias na semana";"280";"Mil unidades";"19";"Mil unidades";"256";"Mil unidades";"20";"Mil unidades";"291";"Mil unidades";"12";"Mil unidades";"353";"Mil unidades";"5";"Mil unidades";"265";"Mil unidades";"14";"Mil unidades";"279";"Mil unidades";"14";"Mil unidades";"270";"Mil unidades";"11";"Mil unidades"
"Pernambuco";"De 1 a 3 dias na semana";"617";"Mil unidades";"28";"Mil unidades";"763";"Mil unidades";"42";"Mil unidades";"774";"Mil unidades";"44";"Mil unidades";"726";"Mil unidades";"39";"Mil unidades";"646";"Mil unidades";"42";"Mil unidades";"659";"Mil unidades";"27";"Mil unidades";"604";"Mil unidades";"27";"Mil unidades"
"Alagoas";"Total";"638";"Mil unidades";"93";"Mil unidades";"685";"Mil unidades";"96";"Mil unidades";"716";"Mil unidades";"103";"Mil unidades";"747";"Mil unidades";"100";"Mil unidades";"673";"Mil unidades";"85";"Mil unidades";"723";"Mil unidades";"88";"Mil unidades";"734";"Mil unidades";"71";"Mil unidades"
"Alagoas";"Diária";"526";"Mil unidades";"60";"Mil unidades";"526";"Mil unidades";"61";"Mil unidades";"576";"Mil unidades";"66";"Mil unidades";"618";"Mil unidades";"60";"Mil unidades";"501";"Mil unidades";"47";"Mil unidades";"545";"Mil unidades";"55";"Mil unidades";"541";"Mil unidades";"37";"Mil unidades"
"Alagoas";"De 4 a 6 dias na semana";"49";"Mil unidades";"10";"Mil unidades";"80";"Mil unidades";"14";"Mil unidades";"87";"Mil unidades";"17";"Mil unidades";"60";"Mil unidades";"11";"Mil unidades";"68";"Mil unidades";"10";"Mil unidades";"67";"Mil unidades";"12";"Mil unidades";"75";"Mil unidades";"10";"Mil unidades"
"Alagoas";"De 1 a 3 dias na semana";"52";"Mil unidades";"17";"Mil unidades";"59";"Mil unidades";"14";"Mil unidades";"38";"Mil unidades";"11";"Mil unidades";"50";"Mil unidades";"19";"Mil unidades";"75";"Mil unidades";"17";"Mil unidades";"79";"Mil unidades";"12";"Mil unidades";"93";"Mil unidades";"13";"Mil unidades"
"Sergipe";"Total";"522";"Mil unidades";"99";"Mil unidades";"531";"Mil unidades";"97";"Mil unidades";"528";"Mil unidades";"96";"Mil unidades";"548";"Mil unidades";"89";"Mil unidades";"592";"Mil unidades";"94";"Mil unidades";"615";"Mil unidades";"104";"Mil unidades";"620";"Mil unidades";"101";"Mil unidades"
"Sergipe";"Diária";"440";"Mil unidades";"67";"Mil unidades";"426";"Mil unidades";"67";"Mil unidades";"422";"Mil unidades";"51";"Mil unidades";"398";"Mil unidades";"53";"Mil unidades";"445";"Mil unidades";"48";"Mil unidades";"460";"Mil unidades";"66";"Mil unidades";"453";"Mil unidades";"56";"Mil unidades"
"Sergipe";"De 4 a 6 dias na semana";"46";"Mil unidades";"15";"Mil unidades";"58";"Mil unidades";"14";"Mil unidades";"55";"Mil unidades";"22";"Mil unidades";"75";"Mil unidades";"16";"Mil unidades";"83";"Mil unidades";"17";"Mil unidades";"88";"Mil unidades";"12";"Mil unidades";"86";"Mil unidades";"14";"Mil unidades"
"Sergipe";"De 1 a 3 dias na semana";"26";"Mil unidades";"10";"Mil unidades";"40";"Mil unidades";"14";"Mil unidades";"42";"Mil unidades";"18";"Mil unidades";"62";"Mil unidades";"16";"Mil unidades";"48";"Mil unidades";"25";"Mil unidades";"50";"Mil unidades";"17";"Mil unidades";"57";"Mil unidades";"21";"Mil unidades"
"Bahia";"Total";"3421";"Mil unidades";"621";"Mil unidades";"3412";"Mil unidades";"640";"Mil unidades";"3342";"Mil unidades";"721";"Mil unidades";"3487";"Mil unidades";"752";"Mil unidades";"3598";"Mil unidades";"732";"Mil unidades";"3782";"Mil unidades";"756";"Mil unidades";"4065";"Mil unidades";"612";"Mil unidades"
"Bahia";"Diária";"2339";"Mil unidades";"327";"Mil unidades";"2369";"Mil unidades";"309";"Mil unidades";"2469";"Mil unidades";"370";"Mil unidades";"2547";"Mil unidades";"373";"Mil unidades";"2846";"Mil unidades";"365";"Mil unidades";"2950";"Mil unidades";"381";"Mil unidades";"3146";"Mil unidades";"323";"Mil unidades"
"Bahia";"De 4 a 6 dias na semana";"375";"Mil unidades";"82";"Mil unidades";"429";"Mil unidades";"89";"Mil unidades";"326";"Mil unidades";"109";"Mil unidades";"369";"Mil unidades";"71";"Mil unidades";"351";"Mil unidades";"127";"Mil unidades";"374";"Mil unidades";"75";"Mil unidades";"435";"Mil unidades";"62";"Mil unidades"
"Bahia";"De 1 a 3 dias na semana";"493";"Mil unidades";"144";"Mil unidades";"452";"Mil unidades";"156";"Mil unidades";"441";"Mil unidades";"162";"Mil unidades";"418";"Mil unidades";"231";"Mil unidades";"309";"Mil unidades";"179";"Mil unidades";"350";"Mil unidades";"219";"Mil unidades";"366";"Mil unidades";"146";"Mil unidades"
"Minas Gerais";"Total";"5846";"Mil unidades";"193";"Mil unidades";"5978";"Mil unidades";"201";"Mil unidades";"6082";"Mil unidades";"191";"Mil unidades";"6186";"Mil unidades";"224";"Mil unidades";"6364";"Mil unidades";"166";"Mil unidades";"6727";"Mil unidades";"165";"Mil unidades";"7010";"Mil unidades";"172";"Mil unidades"
"Minas Gerais";"Diária";"5639";"Mil unidades";"166";"Mil unidades";"5659";"Mil unidades";"168";"Mil unidades";"5828";"Mil unidades";"178";"Mil unidades";"5949";"Mil unidades";"203";"Mil unidades";"5962";"Mil unidades";"131";"Mil unidades";"6438";"Mil unidades";"145";"Mil unidades";"6611";"Mil unidades";"156";"Mil unidades"
"Minas Gerais";"De 4 a 6 dias na semana";"130";"Mil unidades";"15";"Mil unidades";"233";"Mil unidades";"21";"Mil unidades";"180";"Mil unidades";"6";"Mil unidades";"181";"Mil unidades";"12";"Mil unidades";"285";"Mil unidades";"18";"Mil unidades";"205";"Mil unidades";"10";"Mil unidades";"279";"Mil unidades";"9";"Mil unidades"
"Minas Gerais";"De 1 a 3 dias na semana";"67";"Mil unidades";"9";"Mil unidades";"80";"Mil unidades";"12";"Mil unidades";"62";"Mil unidades";"7";"Mil unidades";"49";"Mil unidades";"8";"Mil unidades";"103";"Mil unidades";"14";"Mil unidades";"74";"Mil unidades";"9";"Mil unidades";"101";"Mil unidades";"7";"Mil unidades"
"Espírito Santo";"Total";"1110";"Mil unidades";"25";"Mil unidades";"1105";"Mil unidades";"19";"Mil unidades";"1139";"Mil unidades";"19";"Mil unidades";"1142";"Mil unidades";"24";"Mil unidades";"1189";"Mil unidades";"20";"Mil unidades";"1258";"Mil unidades";"29";"Mil unidades";"1276";"Mil unidades";"25";"Mil unidades"
"Espírito Santo";"Diária";"1073";"Mil unidades";"25";"Mil unidades";"1091";"Mil unidades";"19";"Mil unidades";"1117";"Mil unidades";"19";"Mil unidades";"1111";"Mil unidades";"22";"Mil unidades";"1106";"Mil unidades";"19";"Mil unidades";"1170";"Mil unidades";"28";"Mil unidades";"1209";"Mil unidades";"24";"Mil unidades"
"Espírito Santo";"De 4 a 6 dias na semana";"21";"Mil unidades";"0";"Mil unidades";"9";"Mil unidades";"-";"Mil unidades";"16";"Mil unidades";"-";"Mil unidades";"17";"Mil unidades";"1";"Mil unidades";"39";"Mil unidades";"1";"Mil unidades";"42";"Mil unidades";"0";"Mil unidades";"39";"Mil unidades";"1";"Mil unidades"
"Espírito Santo";"De 1 a 3 dias na semana";"11";"Mil unidades";"0";"Mil unidades";"2";"Mil unidades";"-";"Mil unidades";"6";"Mil unidades";"-";"Mil unidades";"7";"Mil unidades";"0";"Mil unidades";"33";"Mil unidades";"-";"Mil unidades";"23";"Mil unidades";"-";"Mil unidades";"15";"Mil unidades";"-";"Mil unidades"
