"Tabela 6737 - Domicílios e Moradores com energia elétrica, por situação do domicílio e fonte de energia elétrica"
"Variável - Domicílios com energia elétrica"
"Unidade da Federação";"Fonte de energia elétrica";"Ano x Situação do domicílio"
"Unidade da Federação";"Fonte de energia elétrica";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Fonte de energia elétrica";"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural"
"Piauí";"Rede geral ou fonte alternativa";"655";"Mil unidades";"327";"Mil unidades";"671";"Mil unidades";"324";"Mil unidades";"658";"Mil unidades";"332";"Mil unidades";"666";"Mil unidades";"344";"Mil unidades";"716";"Mil unidades";"324";"Mil unidades";"787";"Mil unidades";"349";"Mil unidades";"814";"Mil unidades";"322";"Mil unidades"
"Piauí";"Rede geral";"655";"Mil unidades";"323";"Mil unidades";"671";"Mil unidades";"322";"Mil unidades";"658";"Mil unidades";"330";"Mil unidades";"666";"Mil unidades";"339";"Mil unidades";"714";"Mil unidades";"321";"Mil unidades";"777";"Mil unidades";"347";"Mil unidades";"812";"Mil unidades";"320";"Mil unidades"
"Ceará";"Rede geral ou fonte alternativa";"2128";"Mil unidades";"623";"Mil unidades";"2149";"Mil unidades";"636";"Mil unidades";"2216";"Mil unidades";"662";"Mil unidades";"2197";"Mil unidades";"668";"Mil unidades";"2396";"Mil unidades";"625";"Mil unidades";"2536";"Mil unidades";"683";"Mil unidades";"2561";"Mil unidades";"691";"Mil unidades"
"Ceará";"Rede geral";"2128";"Mil unidades";"623";"Mil unidades";"2149";"Mil unidades";"636";"Mil unidades";"2216";"Mil unidades";"662";"Mil unidades";"2196";"Mil unidades";"668";"Mil unidades";"2394";"Mil unidades";"624";"Mil unidades";"2533";"Mil unidades";"682";"Mil unidades";"2553";"Mil unidades";"690";"Mil unidades"
"Rio Grande do Norte";"Rede geral ou fonte alternativa";"808";"Mil unidades";"225";"Mil unidades";"816";"Mil unidades";"222";"Mil unidades";"821";"Mil unidades";"222";"Mil unidades";"850";"Mil unidades";"230";"Mil unidades";"934";"Mil unidades";"205";"Mil unidades";"977";"Mil unidades";"212";"Mil unidades";"1032";"Mil unidades";"205";"Mil unidades"
"Rio Grande do Norte";"Rede geral";"808";"Mil unidades";"225";"Mil unidades";"816";"Mil unidades";"222";"Mil unidades";"819";"Mil unidades";"222";"Mil unidades";"848";"Mil unidades";"230";"Mil unidades";"930";"Mil unidades";"205";"Mil unidades";"968";"Mil unidades";"212";"Mil unidades";"1019";"Mil unidades";"204";"Mil unidades"
"Paraíba";"Rede geral ou fonte alternativa";"958";"Mil unidades";"261";"Mil unidades";"973";"Mil unidades";"267";"Mil unidades";"981";"Mil unidades";"279";"Mil unidades";"1004";"Mil unidades";"280";"Mil unidades";"1044";"Mil unidades";"316";"Mil unidades";"1151";"Mil unidades";"322";"Mil unidades";"1166";"Mil unidades";"301";"Mil unidades"
"Paraíba";"Rede geral";"958";"Mil unidades";"261";"Mil unidades";"973";"Mil unidades";"267";"Mil unidades";"981";"Mil unidades";"279";"Mil unidades";"1003";"Mil unidades";"280";"Mil unidades";"1043";"Mil unidades";"315";"Mil unidades";"1150";"Mil unidades";"322";"Mil unidades";"1164";"Mil unidades";"301";"Mil unidades"
"Pernambuco";"Rede geral ou fonte alternativa";"2466";"Mil unidades";"529";"Mil unidades";"2466";"Mil unidades";"519";"Mil unidades";"2508";"Mil unidades";"528";"Mil unidades";"2617";"Mil unidades";"516";"Mil unidades";"2699";"Mil unidades";"502";"Mil unidades";"2912";"Mil unidades";"505";"Mil unidades";"3021";"Mil unidades";"502";"Mil unidades"
"Pernambuco";"Rede geral";"2465";"Mil unidades";"529";"Mil unidades";"2466";"Mil unidades";"519";"Mil unidades";"2508";"Mil unidades";"525";"Mil unidades";"2617";"Mil unidades";"516";"Mil unidades";"2696";"Mil unidades";"502";"Mil unidades";"2905";"Mil unidades";"504";"Mil unidades";"3007";"Mil unidades";"501";"Mil unidades"
"Alagoas";"Rede geral ou fonte alternativa";"739";"Mil unidades";"240";"Mil unidades";"763";"Mil unidades";"241";"Mil unidades";"788";"Mil unidades";"242";"Mil unidades";"819";"Mil unidades";"234";"Mil unidades";"826";"Mil unidades";"212";"Mil unidades";"876";"Mil unidades";"224";"Mil unidades";"888";"Mil unidades";"211";"Mil unidades"
"Alagoas";"Rede geral";"739";"Mil unidades";"240";"Mil unidades";"763";"Mil unidades";"241";"Mil unidades";"788";"Mil unidades";"242";"Mil unidades";"819";"Mil unidades";"234";"Mil unidades";"824";"Mil unidades";"212";"Mil unidades";"874";"Mil unidades";"224";"Mil unidades";"881";"Mil unidades";"211";"Mil unidades"
"Sergipe";"Rede geral ou fonte alternativa";"541";"Mil unidades";"181";"Mil unidades";"558";"Mil unidades";"175";"Mil unidades";"554";"Mil unidades";"168";"Mil unidades";"579";"Mil unidades";"167";"Mil unidades";"613";"Mil unidades";"172";"Mil unidades";"649";"Mil unidades";"171";"Mil unidades";"658";"Mil unidades";"169";"Mil unidades"
"Sergipe";"Rede geral";"541";"Mil unidades";"181";"Mil unidades";"558";"Mil unidades";"175";"Mil unidades";"552";"Mil unidades";"168";"Mil unidades";"579";"Mil unidades";"167";"Mil unidades";"613";"Mil unidades";"172";"Mil unidades";"648";"Mil unidades";"171";"Mil unidades";"658";"Mil unidades";"169";"Mil unidades"
"Bahia";"Rede geral ou fonte alternativa";"3509";"Mil unidades";"1213";"Mil unidades";"3518";"Mil unidades";"1238";"Mil unidades";"3480";"Mil unidades";"1312";"Mil unidades";"3624";"Mil unidades";"1342";"Mil unidades";"3749";"Mil unidades";"1403";"Mil unidades";"3925";"Mil unidades";"1426";"Mil unidades";"4179";"Mil unidades";"1320";"Mil unidades"
"Bahia";"Rede geral";"3509";"Mil unidades";"1201";"Mil unidades";"3517";"Mil unidades";"1223";"Mil unidades";"3480";"Mil unidades";"1298";"Mil unidades";"3622";"Mil unidades";"1325";"Mil unidades";"3742";"Mil unidades";"1393";"Mil unidades";"3920";"Mil unidades";"1417";"Mil unidades";"4160";"Mil unidades";"1311";"Mil unidades"
"Minas Gerais";"Rede geral ou fonte alternativa";"5948";"Mil unidades";"868";"Mil unidades";"6052";"Mil unidades";"874";"Mil unidades";"6169";"Mil unidades";"890";"Mil unidades";"6271";"Mil unidades";"908";"Mil unidades";"6460";"Mil unidades";"1026";"Mil unidades";"6842";"Mil unidades";"980";"Mil unidades";"7133";"Mil unidades";"873";"Mil unidades"
"Minas Gerais";"Rede geral";"5947";"Mil unidades";"868";"Mil unidades";"6052";"Mil unidades";"873";"Mil unidades";"6167";"Mil unidades";"887";"Mil unidades";"6271";"Mil unidades";"907";"Mil unidades";"6450";"Mil unidades";"1023";"Mil unidades";"6834";"Mil unidades";"978";"Mil unidades";"7121";"Mil unidades";"870";"Mil unidades"
"Espírito Santo";"Rede geral ou fonte alternativa";"1127";"Mil unidades";"189";"Mil unidades";"1131";"Mil unidades";"180";"Mil unidades";"1164";"Mil unidades";"185";"Mil unidades";"1177";"Mil unidades";"188";"Mil unidades";"1245";"Mil unidades";"169";"Mil unidades";"1307";"Mil unidades";"176";"Mil unidades";"1330";"Mil unidades";"178";"Mil unidades"
"Espírito Santo";"Rede geral";"1127";"Mil unidades";"189";"Mil unidades";"1131";"Mil unidades";"180";"Mil unidades";"1163";"Mil unidades";"185";"Mil unidades";"1176";"Mil unidades";"188";"Mil unidades";"1244";"Mil unidades";"168";"Mil unidades";"1304";"Mil unidades";"175";"Mil unidades";"1324";"Mil unidades";"177";"Mil unidades"
"Rio de Janeiro";"Rede geral ou fonte alternativa";"5957";"Mil unidades";"192";"Mil unidades";"5984";"Mil unidades";"187";"Mil unidades";"6018";"Mil unidades";"196";"Mil unidades";"6116";"Mil unidades";"178";"Mil unidades";"6259";"Mil unidades";"166";"Mil unidades";"6395";"Mil unidades";"164";"Mil unidades";"6539";"Mil unidades";"149";"Mil unidades"
"Rio de Janeiro";"Rede geral";"5957";"Mil unidades";"192";"Mil unidades";"5984";"Mil unidades";"187";"Mil unidades";"6018";"Mil unidades";"196";"Mil unidades";"6116";"Mil unidades";"177";"Mil unidades";"6255";"Mil unidades";"166";"Mil unidades";"6391";"Mil unidades";"164";"Mil unidades";"6534";"Mil unidades";"149";"Mil unidades"
"São Paulo";"Rede geral ou fonte alternativa";"14321";"Mil unidades";"630";"Mil unidades";"14347";"Mil unidades";"620";"Mil unidades";"14734";"Mil unidades";"617";"Mil unidades";"14893";"Mil unidades";"611";"Mil unidades";"15566";"Mil unidades";"570";"Mil unidades";"16329";"Mil unidades";"563";"Mil unidades";"16557";"Mil unidades";"540";"Mil unidades"
"São Paulo";"Rede geral";"14318";"Mil unidades";"625";"Mil unidades";"14346";"Mil unidades";"619";"Mil unidades";"14732";"Mil unidades";"615";"Mil unidades";"14889";"Mil unidades";"609";"Mil unidades";"15535";"Mil unidades";"567";"Mil unidades";"16314";"Mil unidades";"558";"Mil unidades";"16544";"Mil unidades";"537";"Mil unidades"
"Paraná";"Rede geral ou fonte alternativa";"3321";"Mil unidades";"465";"Mil unidades";"3338";"Mil unidades";"474";"Mil unidades";"3379";"Mil unidades";"496";"Mil unidades";"3439";"Mil unidades";"500";"Mil unidades";"3669";"Mil unidades";"486";"Mil unidades";"3776";"Mil unidades";"482";"Mil unidades";"3870";"Mil unidades";"458";"Mil unidades"
"Paraná";"Rede geral";"3321";"Mil unidades";"465";"Mil unidades";"3334";"Mil unidades";"474";"Mil unidades";"3377";"Mil unidades";"495";"Mil unidades";"3438";"Mil unidades";"500";"Mil unidades";"3664";"Mil unidades";"483";"Mil unidades";"3771";"Mil unidades";"479";"Mil unidades";"3859";"Mil unidades";"456";"Mil unidades"
"Santa Catarina";"Rede geral ou fonte alternativa";"2027";"Mil unidades";"358";"Mil unidades";"2106";"Mil unidades";"353";"Mil unidades";"2193";"Mil unidades";"358";"Mil unidades";"2226";"Mil unidades";"354";"Mil unidades";"2364";"Mil unidades";"363";"Mil unidades";"2537";"Mil unidades";"340";"Mil unidades";"2667";"Mil unidades";"318";"Mil unidades"
"Santa Catarina";"Rede geral";"2027";"Mil unidades";"358";"Mil unidades";"2106";"Mil unidades";"353";"Mil unidades";"2193";"Mil unidades";"357";"Mil unidades";"2225";"Mil unidades";"353";"Mil unidades";"2362";"Mil unidades";"362";"Mil unidades";"2534";"Mil unidades";"339";"Mil unidades";"2663";"Mil unidades";"316";"Mil unidades"
"Rio Grande do Sul";"Rede geral ou fonte alternativa";"3449";"Mil unidades";"538";"Mil unidades";"3490";"Mil unidades";"534";"Mil unidades";"3525";"Mil unidades";"525";"Mil unidades";"3625";"Mil unidades";"529";"Mil unidades";"3665";"Mil unidades";"581";"Mil unidades";"3769";"Mil unidades";"563";"Mil unidades";"3842";"Mil unidades";"495";"Mil unidades"
"Rio Grande do Sul";"Rede geral";"3449";"Mil unidades";"538";"Mil unidades";"3490";"Mil unidades";"534";"Mil unidades";"3524";"Mil unidades";"525";"Mil unidades";"3623";"Mil unidades";"528";"Mil unidades";"3659";"Mil unidades";"580";"Mil unidades";"3762";"Mil unidades";"560";"Mil unidades";"3837";"Mil unidades";"494";"Mil unidades"
