"Tabela 7134 - Pessoas de 25 anos ou mais de idade, por cor ou raça e grupos de anos de estudo"
"Variável - Pessoas de 25 anos ou mais de idade"
"Unidade da Federação";"Grupos de anos de estudo";"Ano x Cor ou raça"
"Unidade da Federação";"Grupos de anos de estudo";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupos de anos de estudo";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Roraima";"12 anos ou mais";"36";"Mil pessoas";"92";"Mil pessoas";"38";"Mil pessoas";"100";"Mil pessoas";"38";"Mil pessoas";"107";"Mil pessoas";"42";"Mil pessoas";"119";"Mil pessoas";"43";"Mil pessoas";"156";"Mil pessoas";"52";"Mil pessoas";"146";"Mil pessoas";"51";"Mil pessoas";"155";"Mil pessoas"
"Pará";"Sem instrução ou menos de 5 anos";"125";"Mil pessoas";"978";"Mil pessoas";"144";"Mil pessoas";"927";"Mil pessoas";"133";"Mil pessoas";"889";"Mil pessoas";"128";"Mil pessoas";"893";"Mil pessoas";"146";"Mil pessoas";"864";"Mil pessoas";"135";"Mil pessoas";"860";"Mil pessoas";"148";"Mil pessoas";"815";"Mil pessoas"
"Pará";"5 a 8 anos";"165";"Mil pessoas";"876";"Mil pessoas";"150";"Mil pessoas";"886";"Mil pessoas";"138";"Mil pessoas";"930";"Mil pessoas";"154";"Mil pessoas";"881";"Mil pessoas";"172";"Mil pessoas";"918";"Mil pessoas";"171";"Mil pessoas";"862";"Mil pessoas";"148";"Mil pessoas";"817";"Mil pessoas"
"Pará";"9 a 11 anos";"96";"Mil pessoas";"494";"Mil pessoas";"108";"Mil pessoas";"511";"Mil pessoas";"99";"Mil pessoas";"517";"Mil pessoas";"92";"Mil pessoas";"520";"Mil pessoas";"107";"Mil pessoas";"543";"Mil pessoas";"106";"Mil pessoas";"546";"Mil pessoas";"118";"Mil pessoas";"582";"Mil pessoas"
"Pará";"12 anos ou mais";"336";"Mil pessoas";"1294";"Mil pessoas";"353";"Mil pessoas";"1371";"Mil pessoas";"386";"Mil pessoas";"1479";"Mil pessoas";"429";"Mil pessoas";"1535";"Mil pessoas";"492";"Mil pessoas";"1717";"Mil pessoas";"518";"Mil pessoas";"1901";"Mil pessoas";"584";"Mil pessoas";"2010";"Mil pessoas"
"Amapá";"Sem instrução ou menos de 5 anos";"7";"Mil pessoas";"58";"Mil pessoas";"9";"Mil pessoas";"51";"Mil pessoas";"8";"Mil pessoas";"59";"Mil pessoas";"11";"Mil pessoas";"62";"Mil pessoas";"10";"Mil pessoas";"58";"Mil pessoas";"6";"Mil pessoas";"58";"Mil pessoas";"7";"Mil pessoas";"59";"Mil pessoas"
"Amapá";"5 a 8 anos";"12";"Mil pessoas";"55";"Mil pessoas";"10";"Mil pessoas";"61";"Mil pessoas";"12";"Mil pessoas";"68";"Mil pessoas";"7";"Mil pessoas";"59";"Mil pessoas";"9";"Mil pessoas";"60";"Mil pessoas";"8";"Mil pessoas";"65";"Mil pessoas";"12";"Mil pessoas";"68";"Mil pessoas"
"Amapá";"9 a 11 anos";"7";"Mil pessoas";"34";"Mil pessoas";"7";"Mil pessoas";"45";"Mil pessoas";"8";"Mil pessoas";"38";"Mil pessoas";"8";"Mil pessoas";"42";"Mil pessoas";"6";"Mil pessoas";"45";"Mil pessoas";"6";"Mil pessoas";"42";"Mil pessoas";"9";"Mil pessoas";"44";"Mil pessoas"
"Amapá";"12 anos ou mais";"50";"Mil pessoas";"164";"Mil pessoas";"42";"Mil pessoas";"177";"Mil pessoas";"45";"Mil pessoas";"182";"Mil pessoas";"50";"Mil pessoas";"197";"Mil pessoas";"63";"Mil pessoas";"228";"Mil pessoas";"59";"Mil pessoas";"259";"Mil pessoas";"66";"Mil pessoas";"254";"Mil pessoas"
"Tocantins";"Sem instrução ou menos de 5 anos";"38";"Mil pessoas";"182";"Mil pessoas";"39";"Mil pessoas";"168";"Mil pessoas";"36";"Mil pessoas";"175";"Mil pessoas";"34";"Mil pessoas";"175";"Mil pessoas";"29";"Mil pessoas";"154";"Mil pessoas";"26";"Mil pessoas";"161";"Mil pessoas";"27";"Mil pessoas";"149";"Mil pessoas"
