"Tabela 6821 - Domicílios e Moradores, por condição de ocupação do domicílio"
"Variável - Domicílios"
"Unidade da Federação";"Ano x Condição de ocupação do domicílio"
"Unidade da Federação";"2016";;;;;;;;;;"2017";;;;;;;;;;"2018";;;;;;;;;;"2019";;;;;;;;;;"2022";;;;;;;;;;"2023";;;;;;;;;;"2024"
"Unidade da Federação";"Próprio de algum morador - já pago";;"Próprio de algum morador - ainda pagando";;"Alugado";;"Cedido";;"Outra condição";;"Próprio de algum morador - já pago";;"Próprio de algum morador - ainda pagando";;"Alugado";;"Cedido";;"Outra condição";;"Próprio de algum morador - já pago";;"Próprio de algum morador - ainda pagando";;"Alugado";;"Cedido";;"Outra condição";;"Próprio de algum morador - já pago";;"Próprio de algum morador - ainda pagando";;"Alugado";;"Cedido";;"Outra condição";;"Próprio de algum morador - já pago";;"Próprio de algum morador - ainda pagando";;"Alugado";;"Cedido";;"Outra condição";;"Próprio de algum morador - já pago";;"Próprio de algum morador - ainda pagando";;"Alugado";;"Cedido";;"Outra condição";;"Próprio de algum morador - já pago";;"Próprio de algum morador - ainda pagando";;"Alugado";;"Cedido";;"Outra condição"
"Rio Grande do Norte";"708";"Mil unidades";"78";"Mil unidades";"167";"Mil unidades";"80";"Mil unidades";"1";"Mil unidades";"710";"Mil unidades";"63";"Mil unidades";"185";"Mil unidades";"78";"Mil unidades";"2";"Mil unidades";"703";"Mil unidades";"87";"Mil unidades";"162";"Mil unidades";"88";"Mil unidades";"6";"Mil unidades";"717";"Mil unidades";"72";"Mil unidades";"194";"Mil unidades";"100";"Mil unidades";"1";"Mil unidades";"729";"Mil unidades";"77";"Mil unidades";"242";"Mil unidades";"91";"Mil unidades";"1";"Mil unidades";"754";"Mil unidades";"66";"Mil unidades";"260";"Mil unidades";"109";"Mil unidades";"2";"Mil unidades";"787";"Mil unidades";"73";"Mil unidades";"276";"Mil unidades";"103";"Mil unidades";"1";"Mil unidades"
"Paraíba";"851";"Mil unidades";"52";"Mil unidades";"195";"Mil unidades";"121";"Mil unidades";"2";"Mil unidades";"833";"Mil unidades";"54";"Mil unidades";"213";"Mil unidades";"135";"Mil unidades";"5";"Mil unidades";"829";"Mil unidades";"66";"Mil unidades";"219";"Mil unidades";"145";"Mil unidades";"1";"Mil unidades";"855";"Mil unidades";"64";"Mil unidades";"229";"Mil unidades";"135";"Mil unidades";"2";"Mil unidades";"887";"Mil unidades";"81";"Mil unidades";"249";"Mil unidades";"139";"Mil unidades";"6";"Mil unidades";"931";"Mil unidades";"82";"Mil unidades";"299";"Mil unidades";"155";"Mil unidades";"9";"Mil unidades";"900";"Mil unidades";"96";"Mil unidades";"313";"Mil unidades";"159";"Mil unidades";"3";"Mil unidades"
"Pernambuco";"2182";"Mil unidades";"89";"Mil unidades";"513";"Mil unidades";"207";"Mil unidades";"5";"Mil unidades";"2140";"Mil unidades";"103";"Mil unidades";"514";"Mil unidades";"228";"Mil unidades";"7";"Mil unidades";"2047";"Mil unidades";"127";"Mil unidades";"611";"Mil unidades";"260";"Mil unidades";"10";"Mil unidades";"2209";"Mil unidades";"100";"Mil unidades";"560";"Mil unidades";"268";"Mil unidades";"2";"Mil unidades";"2246";"Mil unidades";"62";"Mil unidades";"637";"Mil unidades";"259";"Mil unidades";"8";"Mil unidades";"2346";"Mil unidades";"61";"Mil unidades";"723";"Mil unidades";"290";"Mil unidades";"2";"Mil unidades";"2286";"Mil unidades";"72";"Mil unidades";"794";"Mil unidades";"368";"Mil unidades";"8";"Mil unidades"
"Alagoas";"696";"Mil unidades";"15";"Mil unidades";"179";"Mil unidades";"91";"Mil unidades";"0";"Mil unidades";"742";"Mil unidades";"15";"Mil unidades";"155";"Mil unidades";"93";"Mil unidades";"2";"Mil unidades";"725";"Mil unidades";"21";"Mil unidades";"179";"Mil unidades";"109";"Mil unidades";"2";"Mil unidades";"731";"Mil unidades";"22";"Mil unidades";"202";"Mil unidades";"100";"Mil unidades";"2";"Mil unidades";"684";"Mil unidades";"47";"Mil unidades";"208";"Mil unidades";"100";"Mil unidades";"1";"Mil unidades";"705";"Mil unidades";"47";"Mil unidades";"236";"Mil unidades";"112";"Mil unidades";"2";"Mil unidades";"721";"Mil unidades";"39";"Mil unidades";"234";"Mil unidades";"108";"Mil unidades";"1";"Mil unidades"
"Sergipe";"528";"Mil unidades";"25";"Mil unidades";"126";"Mil unidades";"44";"Mil unidades";"1";"Mil unidades";"524";"Mil unidades";"20";"Mil unidades";"135";"Mil unidades";"52";"Mil unidades";"1";"Mil unidades";"499";"Mil unidades";"35";"Mil unidades";"123";"Mil unidades";"64";"Mil unidades";"4";"Mil unidades";"484";"Mil unidades";"29";"Mil unidades";"150";"Mil unidades";"84";"Mil unidades";"5";"Mil unidades";"489";"Mil unidades";"37";"Mil unidades";"173";"Mil unidades";"86";"Mil unidades";"4";"Mil unidades";"532";"Mil unidades";"33";"Mil unidades";"172";"Mil unidades";"80";"Mil unidades";"5";"Mil unidades";"503";"Mil unidades";"54";"Mil unidades";"206";"Mil unidades";"66";"Mil unidades";"-";"Mil unidades"
"Bahia";"3531";"Mil unidades";"199";"Mil unidades";"616";"Mil unidades";"393";"Mil unidades";"15";"Mil unidades";"3582";"Mil unidades";"185";"Mil unidades";"612";"Mil unidades";"404";"Mil unidades";"11";"Mil unidades";"3565";"Mil unidades";"159";"Mil unidades";"666";"Mil unidades";"434";"Mil unidades";"6";"Mil unidades";"3796";"Mil unidades";"124";"Mil unidades";"665";"Mil unidades";"404";"Mil unidades";"7";"Mil unidades";"3841";"Mil unidades";"154";"Mil unidades";"773";"Mil unidades";"405";"Mil unidades";"8";"Mil unidades";"4032";"Mil unidades";"116";"Mil unidades";"770";"Mil unidades";"443";"Mil unidades";"18";"Mil unidades";"4114";"Mil unidades";"115";"Mil unidades";"822";"Mil unidades";"454";"Mil unidades";"9";"Mil unidades"
"Minas Gerais";"4405";"Mil unidades";"455";"Mil unidades";"1221";"Mil unidades";"741";"Mil unidades";"8";"Mil unidades";"4394";"Mil unidades";"469";"Mil unidades";"1261";"Mil unidades";"803";"Mil unidades";"5";"Mil unidades";"4501";"Mil unidades";"459";"Mil unidades";"1332";"Mil unidades";"770";"Mil unidades";"9";"Mil unidades";"4588";"Mil unidades";"548";"Mil unidades";"1315";"Mil unidades";"729";"Mil unidades";"9";"Mil unidades";"4731";"Mil unidades";"450";"Mil unidades";"1563";"Mil unidades";"736";"Mil unidades";"17";"Mil unidades";"4706";"Mil unidades";"522";"Mil unidades";"1798";"Mil unidades";"795";"Mil unidades";"11";"Mil unidades";"4677";"Mil unidades";"533";"Mil unidades";"1982";"Mil unidades";"820";"Mil unidades";"8";"Mil unidades"
"Espírito Santo";"938";"Mil unidades";"36";"Mil unidades";"217";"Mil unidades";"125";"Mil unidades";"1";"Mil unidades";"855";"Mil unidades";"63";"Mil unidades";"240";"Mil unidades";"153";"Mil unidades";"1";"Mil unidades";"851";"Mil unidades";"61";"Mil unidades";"251";"Mil unidades";"185";"Mil unidades";"1";"Mil unidades";"874";"Mil unidades";"67";"Mil unidades";"270";"Mil unidades";"153";"Mil unidades";"2";"Mil unidades";"901";"Mil unidades";"66";"Mil unidades";"302";"Mil unidades";"141";"Mil unidades";"4";"Mil unidades";"919";"Mil unidades";"66";"Mil unidades";"340";"Mil unidades";"159";"Mil unidades";"1";"Mil unidades";"926";"Mil unidades";"56";"Mil unidades";"352";"Mil unidades";"171";"Mil unidades";"1";"Mil unidades"
"Rio de Janeiro";"4538";"Mil unidades";"104";"Mil unidades";"1120";"Mil unidades";"376";"Mil unidades";"12";"Mil unidades";"4444";"Mil unidades";"133";"Mil unidades";"1174";"Mil unidades";"413";"Mil unidades";"9";"Mil unidades";"4260";"Mil unidades";"185";"Mil unidades";"1285";"Mil unidades";"470";"Mil unidades";"14";"Mil unidades";"4402";"Mil unidades";"182";"Mil unidades";"1185";"Mil unidades";"505";"Mil unidades";"20";"Mil unidades";"4291";"Mil unidades";"240";"Mil unidades";"1375";"Mil unidades";"506";"Mil unidades";"17";"Mil unidades";"4245";"Mil unidades";"279";"Mil unidades";"1475";"Mil unidades";"543";"Mil unidades";"18";"Mil unidades";"4236";"Mil unidades";"272";"Mil unidades";"1552";"Mil unidades";"617";"Mil unidades";"14";"Mil unidades"
"São Paulo";"8707";"Mil unidades";"1473";"Mil unidades";"3487";"Mil unidades";"1240";"Mil unidades";"45";"Mil unidades";"8845";"Mil unidades";"1246";"Mil unidades";"3404";"Mil unidades";"1430";"Mil unidades";"46";"Mil unidades";"8950";"Mil unidades";"1329";"Mil unidades";"3567";"Mil unidades";"1491";"Mil unidades";"18";"Mil unidades";"8612";"Mil unidades";"1570";"Mil unidades";"3805";"Mil unidades";"1462";"Mil unidades";"60";"Mil unidades";"9208";"Mil unidades";"1352";"Mil unidades";"4067";"Mil unidades";"1453";"Mil unidades";"59";"Mil unidades";"9388";"Mil unidades";"1502";"Mil unidades";"4438";"Mil unidades";"1509";"Mil unidades";"64";"Mil unidades";"9417";"Mil unidades";"1568";"Mil unidades";"4564";"Mil unidades";"1510";"Mil unidades";"53";"Mil unidades"
