"Tabela 7111 - Pessoas de 15 anos ou mais, analfabetas, por sexo e grupo de idade"
"Variável - Pessoas de 15 anos ou mais de idade, analfabetas"
"Unidade da Federação";"Grupo de idade";"Ano x Sexo"
"Unidade da Federação";"Grupo de idade";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupo de idade";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Roraima";"15 anos ou mais";"11";"Mil pessoas";"10";"Mil pessoas";"10";"Mil pessoas";"10";"Mil pessoas";"11";"Mil pessoas";"10";"Mil pessoas";"10";"Mil pessoas";"7";"Mil pessoas";"9";"Mil pessoas";"8";"Mil pessoas";"11";"Mil pessoas";"8";"Mil pessoas";"11";"Mil pessoas";"6";"Mil pessoas"
"Roraima";"18 anos ou mais";"11";"Mil pessoas";"10";"Mil pessoas";"10";"Mil pessoas";"10";"Mil pessoas";"11";"Mil pessoas";"10";"Mil pessoas";"10";"Mil pessoas";"7";"Mil pessoas";"9";"Mil pessoas";"8";"Mil pessoas";"11";"Mil pessoas";"8";"Mil pessoas";"11";"Mil pessoas";"6";"Mil pessoas"
"Roraima";"25 anos ou mais";"10";"Mil pessoas";"9";"Mil pessoas";"10";"Mil pessoas";"9";"Mil pessoas";"10";"Mil pessoas";"10";"Mil pessoas";"10";"Mil pessoas";"7";"Mil pessoas";"9";"Mil pessoas";"8";"Mil pessoas";"11";"Mil pessoas";"8";"Mil pessoas";"10";"Mil pessoas";"6";"Mil pessoas"
"Roraima";"40 anos ou mais";"9";"Mil pessoas";"8";"Mil pessoas";"8";"Mil pessoas";"9";"Mil pessoas";"9";"Mil pessoas";"9";"Mil pessoas";"9";"Mil pessoas";"7";"Mil pessoas";"8";"Mil pessoas";"7";"Mil pessoas";"9";"Mil pessoas";"7";"Mil pessoas";"10";"Mil pessoas";"6";"Mil pessoas"
"Roraima";"60 anos ou mais";"4";"Mil pessoas";"5";"Mil pessoas";"5";"Mil pessoas";"6";"Mil pessoas";"5";"Mil pessoas";"5";"Mil pessoas";"5";"Mil pessoas";"4";"Mil pessoas";"5";"Mil pessoas";"5";"Mil pessoas";"5";"Mil pessoas";"5";"Mil pessoas";"5";"Mil pessoas";"4";"Mil pessoas"
"Pará";"15 anos ou mais";"290";"Mil pessoas";"226";"Mil pessoas";"276";"Mil pessoas";"223";"Mil pessoas";"284";"Mil pessoas";"226";"Mil pessoas";"270";"Mil pessoas";"222";"Mil pessoas";"271";"Mil pessoas";"220";"Mil pessoas";"252";"Mil pessoas";"212";"Mil pessoas";"256";"Mil pessoas";"189";"Mil pessoas"
"Pará";"18 anos ou mais";"286";"Mil pessoas";"225";"Mil pessoas";"274";"Mil pessoas";"222";"Mil pessoas";"282";"Mil pessoas";"224";"Mil pessoas";"267";"Mil pessoas";"220";"Mil pessoas";"269";"Mil pessoas";"220";"Mil pessoas";"251";"Mil pessoas";"210";"Mil pessoas";"254";"Mil pessoas";"186";"Mil pessoas"
"Pará";"25 anos ou mais";"276";"Mil pessoas";"220";"Mil pessoas";"261";"Mil pessoas";"214";"Mil pessoas";"270";"Mil pessoas";"219";"Mil pessoas";"259";"Mil pessoas";"211";"Mil pessoas";"261";"Mil pessoas";"215";"Mil pessoas";"244";"Mil pessoas";"208";"Mil pessoas";"248";"Mil pessoas";"184";"Mil pessoas"
"Pará";"40 anos ou mais";"223";"Mil pessoas";"201";"Mil pessoas";"210";"Mil pessoas";"190";"Mil pessoas";"224";"Mil pessoas";"201";"Mil pessoas";"205";"Mil pessoas";"186";"Mil pessoas";"223";"Mil pessoas";"192";"Mil pessoas";"209";"Mil pessoas";"187";"Mil pessoas";"217";"Mil pessoas";"172";"Mil pessoas"
"Pará";"60 anos ou mais";"109";"Mil pessoas";"113";"Mil pessoas";"96";"Mil pessoas";"108";"Mil pessoas";"102";"Mil pessoas";"116";"Mil pessoas";"103";"Mil pessoas";"112";"Mil pessoas";"120";"Mil pessoas";"119";"Mil pessoas";"102";"Mil pessoas";"100";"Mil pessoas";"112";"Mil pessoas";"105";"Mil pessoas"
"Amapá";"15 anos ou mais";"11";"Mil pessoas";"15";"Mil pessoas";"15";"Mil pessoas";"13";"Mil pessoas";"16";"Mil pessoas";"18";"Mil pessoas";"15";"Mil pessoas";"16";"Mil pessoas";"16";"Mil pessoas";"17";"Mil pessoas";"20";"Mil pessoas";"19";"Mil pessoas";"18";"Mil pessoas";"19";"Mil pessoas"
"Amapá";"18 anos ou mais";"11";"Mil pessoas";"15";"Mil pessoas";"15";"Mil pessoas";"13";"Mil pessoas";"16";"Mil pessoas";"17";"Mil pessoas";"15";"Mil pessoas";"16";"Mil pessoas";"16";"Mil pessoas";"17";"Mil pessoas";"20";"Mil pessoas";"19";"Mil pessoas";"18";"Mil pessoas";"19";"Mil pessoas"
"Amapá";"25 anos ou mais";"10";"Mil pessoas";"13";"Mil pessoas";"13";"Mil pessoas";"13";"Mil pessoas";"16";"Mil pessoas";"17";"Mil pessoas";"15";"Mil pessoas";"16";"Mil pessoas";"15";"Mil pessoas";"17";"Mil pessoas";"19";"Mil pessoas";"19";"Mil pessoas";"18";"Mil pessoas";"19";"Mil pessoas"
"Amapá";"40 anos ou mais";"9";"Mil pessoas";"11";"Mil pessoas";"8";"Mil pessoas";"11";"Mil pessoas";"14";"Mil pessoas";"16";"Mil pessoas";"13";"Mil pessoas";"14";"Mil pessoas";"13";"Mil pessoas";"15";"Mil pessoas";"18";"Mil pessoas";"17";"Mil pessoas";"16";"Mil pessoas";"18";"Mil pessoas"
"Amapá";"60 anos ou mais";"5";"Mil pessoas";"6";"Mil pessoas";"3";"Mil pessoas";"7";"Mil pessoas";"7";"Mil pessoas";"10";"Mil pessoas";"7";"Mil pessoas";"8";"Mil pessoas";"8";"Mil pessoas";"8";"Mil pessoas";"10";"Mil pessoas";"12";"Mil pessoas";"8";"Mil pessoas";"13";"Mil pessoas"
"Tocantins";"15 anos ou mais";"59";"Mil pessoas";"47";"Mil pessoas";"58";"Mil pessoas";"48";"Mil pessoas";"59";"Mil pessoas";"47";"Mil pessoas";"55";"Mil pessoas";"50";"Mil pessoas";"51";"Mil pessoas";"40";"Mil pessoas";"50";"Mil pessoas";"46";"Mil pessoas";"48";"Mil pessoas";"36";"Mil pessoas"
"Tocantins";"18 anos ou mais";"58";"Mil pessoas";"47";"Mil pessoas";"58";"Mil pessoas";"48";"Mil pessoas";"59";"Mil pessoas";"47";"Mil pessoas";"55";"Mil pessoas";"50";"Mil pessoas";"50";"Mil pessoas";"40";"Mil pessoas";"50";"Mil pessoas";"46";"Mil pessoas";"47";"Mil pessoas";"36";"Mil pessoas"
"Tocantins";"25 anos ou mais";"57";"Mil pessoas";"47";"Mil pessoas";"57";"Mil pessoas";"48";"Mil pessoas";"57";"Mil pessoas";"46";"Mil pessoas";"53";"Mil pessoas";"50";"Mil pessoas";"50";"Mil pessoas";"38";"Mil pessoas";"50";"Mil pessoas";"46";"Mil pessoas";"46";"Mil pessoas";"36";"Mil pessoas"
"Tocantins";"40 anos ou mais";"50";"Mil pessoas";"42";"Mil pessoas";"52";"Mil pessoas";"45";"Mil pessoas";"53";"Mil pessoas";"42";"Mil pessoas";"48";"Mil pessoas";"45";"Mil pessoas";"47";"Mil pessoas";"35";"Mil pessoas";"47";"Mil pessoas";"43";"Mil pessoas";"43";"Mil pessoas";"33";"Mil pessoas"
"Tocantins";"60 anos ou mais";"29";"Mil pessoas";"29";"Mil pessoas";"30";"Mil pessoas";"30";"Mil pessoas";"33";"Mil pessoas";"28";"Mil pessoas";"31";"Mil pessoas";"31";"Mil pessoas";"29";"Mil pessoas";"27";"Mil pessoas";"28";"Mil pessoas";"31";"Mil pessoas";"28";"Mil pessoas";"25";"Mil pessoas"
"Maranhão";"15 anos ou mais";"409";"Mil pessoas";"368";"Mil pessoas";"423";"Mil pessoas";"369";"Mil pessoas";"421";"Mil pessoas";"357";"Mil pessoas";"398";"Mil pessoas";"360";"Mil pessoas";"345";"Mil pessoas";"302";"Mil pessoas";"332";"Mil pessoas";"291";"Mil pessoas";"343";"Mil pessoas";"281";"Mil pessoas"
"Maranhão";"18 anos ou mais";"407";"Mil pessoas";"366";"Mil pessoas";"419";"Mil pessoas";"367";"Mil pessoas";"417";"Mil pessoas";"357";"Mil pessoas";"395";"Mil pessoas";"360";"Mil pessoas";"344";"Mil pessoas";"302";"Mil pessoas";"331";"Mil pessoas";"290";"Mil pessoas";"340";"Mil pessoas";"280";"Mil pessoas"
"Maranhão";"25 anos ou mais";"394";"Mil pessoas";"359";"Mil pessoas";"407";"Mil pessoas";"363";"Mil pessoas";"406";"Mil pessoas";"352";"Mil pessoas";"384";"Mil pessoas";"354";"Mil pessoas";"335";"Mil pessoas";"292";"Mil pessoas";"325";"Mil pessoas";"288";"Mil pessoas";"335";"Mil pessoas";"276";"Mil pessoas"
"Maranhão";"40 anos ou mais";"315";"Mil pessoas";"313";"Mil pessoas";"328";"Mil pessoas";"320";"Mil pessoas";"333";"Mil pessoas";"311";"Mil pessoas";"314";"Mil pessoas";"317";"Mil pessoas";"285";"Mil pessoas";"267";"Mil pessoas";"286";"Mil pessoas";"270";"Mil pessoas";"300";"Mil pessoas";"260";"Mil pessoas"
"Maranhão";"60 anos ou mais";"159";"Mil pessoas";"183";"Mil pessoas";"164";"Mil pessoas";"189";"Mil pessoas";"169";"Mil pessoas";"182";"Mil pessoas";"163";"Mil pessoas";"191";"Mil pessoas";"137";"Mil pessoas";"165";"Mil pessoas";"143";"Mil pessoas";"166";"Mil pessoas";"159";"Mil pessoas";"159";"Mil pessoas"
"Piauí";"15 anos ou mais";"221";"Mil pessoas";"177";"Mil pessoas";"217";"Mil pessoas";"170";"Mil pessoas";"207";"Mil pessoas";"179";"Mil pessoas";"206";"Mil pessoas";"169";"Mil pessoas";"205";"Mil pessoas";"178";"Mil pessoas";"188";"Mil pessoas";"157";"Mil pessoas";"196";"Mil pessoas";"163";"Mil pessoas"
"Piauí";"18 anos ou mais";"220";"Mil pessoas";"177";"Mil pessoas";"216";"Mil pessoas";"170";"Mil pessoas";"206";"Mil pessoas";"179";"Mil pessoas";"205";"Mil pessoas";"169";"Mil pessoas";"204";"Mil pessoas";"177";"Mil pessoas";"187";"Mil pessoas";"155";"Mil pessoas";"195";"Mil pessoas";"161";"Mil pessoas"
"Piauí";"25 anos ou mais";"212";"Mil pessoas";"174";"Mil pessoas";"210";"Mil pessoas";"170";"Mil pessoas";"202";"Mil pessoas";"178";"Mil pessoas";"201";"Mil pessoas";"168";"Mil pessoas";"201";"Mil pessoas";"175";"Mil pessoas";"182";"Mil pessoas";"154";"Mil pessoas";"191";"Mil pessoas";"161";"Mil pessoas"
"Piauí";"40 anos ou mais";"176";"Mil pessoas";"152";"Mil pessoas";"177";"Mil pessoas";"154";"Mil pessoas";"169";"Mil pessoas";"160";"Mil pessoas";"169";"Mil pessoas";"155";"Mil pessoas";"178";"Mil pessoas";"165";"Mil pessoas";"162";"Mil pessoas";"145";"Mil pessoas";"171";"Mil pessoas";"151";"Mil pessoas"
"Piauí";"60 anos ou mais";"88";"Mil pessoas";"93";"Mil pessoas";"88";"Mil pessoas";"94";"Mil pessoas";"83";"Mil pessoas";"97";"Mil pessoas";"91";"Mil pessoas";"99";"Mil pessoas";"91";"Mil pessoas";"99";"Mil pessoas";"76";"Mil pessoas";"87";"Mil pessoas";"77";"Mil pessoas";"92";"Mil pessoas"
"Ceará";"15 anos ou mais";"551";"Mil pessoas";"424";"Mil pessoas";"515";"Mil pessoas";"419";"Mil pessoas";"475";"Mil pessoas";"398";"Mil pessoas";"506";"Mil pessoas";"393";"Mil pessoas";"496";"Mil pessoas";"396";"Mil pessoas";"498";"Mil pessoas";"349";"Mil pessoas";"479";"Mil pessoas";"388";"Mil pessoas"
"Ceará";"18 anos ou mais";"541";"Mil pessoas";"422";"Mil pessoas";"510";"Mil pessoas";"419";"Mil pessoas";"474";"Mil pessoas";"398";"Mil pessoas";"503";"Mil pessoas";"392";"Mil pessoas";"493";"Mil pessoas";"395";"Mil pessoas";"497";"Mil pessoas";"348";"Mil pessoas";"477";"Mil pessoas";"388";"Mil pessoas"
"Ceará";"25 anos ou mais";"530";"Mil pessoas";"418";"Mil pessoas";"499";"Mil pessoas";"414";"Mil pessoas";"463";"Mil pessoas";"394";"Mil pessoas";"493";"Mil pessoas";"386";"Mil pessoas";"485";"Mil pessoas";"391";"Mil pessoas";"492";"Mil pessoas";"347";"Mil pessoas";"472";"Mil pessoas";"387";"Mil pessoas"
"Ceará";"40 anos ou mais";"435";"Mil pessoas";"372";"Mil pessoas";"424";"Mil pessoas";"374";"Mil pessoas";"400";"Mil pessoas";"363";"Mil pessoas";"432";"Mil pessoas";"363";"Mil pessoas";"433";"Mil pessoas";"368";"Mil pessoas";"452";"Mil pessoas";"330";"Mil pessoas";"432";"Mil pessoas";"366";"Mil pessoas"
"Ceará";"60 anos ou mais";"203";"Mil pessoas";"210";"Mil pessoas";"203";"Mil pessoas";"215";"Mil pessoas";"203";"Mil pessoas";"224";"Mil pessoas";"216";"Mil pessoas";"213";"Mil pessoas";"219";"Mil pessoas";"232";"Mil pessoas";"248";"Mil pessoas";"208";"Mil pessoas";"236";"Mil pessoas";"236";"Mil pessoas"
"Rio Grande do Norte";"15 anos ou mais";"211";"Mil pessoas";"157";"Mil pessoas";"194";"Mil pessoas";"152";"Mil pessoas";"181";"Mil pessoas";"149";"Mil pessoas";"197";"Mil pessoas";"148";"Mil pessoas";"173";"Mil pessoas";"125";"Mil pessoas";"189";"Mil pessoas";"124";"Mil pessoas";"186";"Mil pessoas";"116";"Mil pessoas"
"Rio Grande do Norte";"18 anos ou mais";"209";"Mil pessoas";"156";"Mil pessoas";"193";"Mil pessoas";"151";"Mil pessoas";"179";"Mil pessoas";"148";"Mil pessoas";"197";"Mil pessoas";"148";"Mil pessoas";"173";"Mil pessoas";"125";"Mil pessoas";"188";"Mil pessoas";"124";"Mil pessoas";"185";"Mil pessoas";"116";"Mil pessoas"
"Rio Grande do Norte";"25 anos ou mais";"204";"Mil pessoas";"154";"Mil pessoas";"191";"Mil pessoas";"150";"Mil pessoas";"178";"Mil pessoas";"146";"Mil pessoas";"191";"Mil pessoas";"147";"Mil pessoas";"168";"Mil pessoas";"125";"Mil pessoas";"185";"Mil pessoas";"124";"Mil pessoas";"182";"Mil pessoas";"116";"Mil pessoas"
"Rio Grande do Norte";"40 anos ou mais";"167";"Mil pessoas";"138";"Mil pessoas";"160";"Mil pessoas";"135";"Mil pessoas";"151";"Mil pessoas";"128";"Mil pessoas";"168";"Mil pessoas";"136";"Mil pessoas";"151";"Mil pessoas";"119";"Mil pessoas";"163";"Mil pessoas";"119";"Mil pessoas";"161";"Mil pessoas";"108";"Mil pessoas"
"Rio Grande do Norte";"60 anos ou mais";"81";"Mil pessoas";"79";"Mil pessoas";"76";"Mil pessoas";"79";"Mil pessoas";"73";"Mil pessoas";"78";"Mil pessoas";"81";"Mil pessoas";"82";"Mil pessoas";"81";"Mil pessoas";"73";"Mil pessoas";"85";"Mil pessoas";"80";"Mil pessoas";"86";"Mil pessoas";"68";"Mil pessoas"
"Paraíba";"15 anos ou mais";"248";"Mil pessoas";"214";"Mil pessoas";"262";"Mil pessoas";"216";"Mil pessoas";"270";"Mil pessoas";"197";"Mil pessoas";"264";"Mil pessoas";"204";"Mil pessoas";"244";"Mil pessoas";"187";"Mil pessoas";"244";"Mil pessoas";"173";"Mil pessoas";"235";"Mil pessoas";"174";"Mil pessoas"
"Paraíba";"18 anos ou mais";"247";"Mil pessoas";"213";"Mil pessoas";"260";"Mil pessoas";"215";"Mil pessoas";"270";"Mil pessoas";"196";"Mil pessoas";"263";"Mil pessoas";"204";"Mil pessoas";"244";"Mil pessoas";"186";"Mil pessoas";"244";"Mil pessoas";"172";"Mil pessoas";"235";"Mil pessoas";"174";"Mil pessoas"
"Paraíba";"25 anos ou mais";"242";"Mil pessoas";"209";"Mil pessoas";"255";"Mil pessoas";"212";"Mil pessoas";"262";"Mil pessoas";"194";"Mil pessoas";"258";"Mil pessoas";"203";"Mil pessoas";"241";"Mil pessoas";"183";"Mil pessoas";"240";"Mil pessoas";"170";"Mil pessoas";"231";"Mil pessoas";"172";"Mil pessoas"
"Paraíba";"40 anos ou mais";"195";"Mil pessoas";"181";"Mil pessoas";"208";"Mil pessoas";"190";"Mil pessoas";"217";"Mil pessoas";"171";"Mil pessoas";"221";"Mil pessoas";"180";"Mil pessoas";"217";"Mil pessoas";"171";"Mil pessoas";"215";"Mil pessoas";"159";"Mil pessoas";"206";"Mil pessoas";"164";"Mil pessoas"
