"Tabela 7128 - Pessoas de 14 anos ou mais de idade, por sexo e nível de instrução"
"Variável - Pessoas de 14 anos ou mais de idade"
"Unidade da Federação";"Nível de instrução";"Ano x Sexo"
"Unidade da Federação";"Nível de instrução";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Nível de instrução";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Ceará";"Sem instrução";"456";"Mil pessoas";"369";"Mil pessoas";"412";"Mil pessoas";"342";"Mil pessoas";"363";"Mil pessoas";"330";"Mil pessoas";"374";"Mil pessoas";"292";"Mil pessoas";"392";"Mil pessoas";"338";"Mil pessoas";"405";"Mil pessoas";"320";"Mil pessoas";"377";"Mil pessoas";"325";"Mil pessoas"
"Ceará";"Ensino fundamental incompleto ou equivalente";"1153";"Mil pessoas";"1116";"Mil pessoas";"1189";"Mil pessoas";"1116";"Mil pessoas";"1143";"Mil pessoas";"1091";"Mil pessoas";"1140";"Mil pessoas";"1085";"Mil pessoas";"1040";"Mil pessoas";"1041";"Mil pessoas";"983";"Mil pessoas";"1013";"Mil pessoas";"969";"Mil pessoas";"1043";"Mil pessoas"
"Ceará";"Ensino fundamental completo ou equivalente";"363";"Mil pessoas";"436";"Mil pessoas";"345";"Mil pessoas";"390";"Mil pessoas";"344";"Mil pessoas";"375";"Mil pessoas";"327";"Mil pessoas";"365";"Mil pessoas";"335";"Mil pessoas";"356";"Mil pessoas";"305";"Mil pessoas";"342";"Mil pessoas";"305";"Mil pessoas";"345";"Mil pessoas"
"Ceará";"Ensino médio incompleto ou equivalente";"284";"Mil pessoas";"298";"Mil pessoas";"305";"Mil pessoas";"319";"Mil pessoas";"328";"Mil pessoas";"318";"Mil pessoas";"319";"Mil pessoas";"317";"Mil pessoas";"322";"Mil pessoas";"325";"Mil pessoas";"345";"Mil pessoas";"366";"Mil pessoas";"342";"Mil pessoas";"355";"Mil pessoas"
"Ceará";"Ensino médio completo ou equivalente";"807";"Mil pessoas";"937";"Mil pessoas";"844";"Mil pessoas";"989";"Mil pessoas";"883";"Mil pessoas";"1023";"Mil pessoas";"897";"Mil pessoas";"1046";"Mil pessoas";"1083";"Mil pessoas";"1165";"Mil pessoas";"1072";"Mil pessoas";"1185";"Mil pessoas";"1081";"Mil pessoas";"1201";"Mil pessoas"
"Ceará";"Ensino superior incompleto ou equivalente";"123";"Mil pessoas";"157";"Mil pessoas";"148";"Mil pessoas";"164";"Mil pessoas";"163";"Mil pessoas";"183";"Mil pessoas";"161";"Mil pessoas";"185";"Mil pessoas";"157";"Mil pessoas";"191";"Mil pessoas";"161";"Mil pessoas";"193";"Mil pessoas";"172";"Mil pessoas";"177";"Mil pessoas"
"Ceará";"Superior completo";"167";"Mil pessoas";"325";"Mil pessoas";"208";"Mil pessoas";"352";"Mil pessoas";"257";"Mil pessoas";"409";"Mil pessoas";"272";"Mil pessoas";"441";"Mil pessoas";"306";"Mil pessoas";"489";"Mil pessoas";"333";"Mil pessoas";"501";"Mil pessoas";"365";"Mil pessoas";"520";"Mil pessoas"
"Rio Grande do Norte";"Sem instrução";"118";"Mil pessoas";"107";"Mil pessoas";"107";"Mil pessoas";"82";"Mil pessoas";"82";"Mil pessoas";"79";"Mil pessoas";"102";"Mil pessoas";"87";"Mil pessoas";"117";"Mil pessoas";"87";"Mil pessoas";"130";"Mil pessoas";"93";"Mil pessoas";"131";"Mil pessoas";"83";"Mil pessoas"
"Rio Grande do Norte";"Ensino fundamental incompleto ou equivalente";"511";"Mil pessoas";"471";"Mil pessoas";"528";"Mil pessoas";"508";"Mil pessoas";"557";"Mil pessoas";"491";"Mil pessoas";"517";"Mil pessoas";"485";"Mil pessoas";"466";"Mil pessoas";"441";"Mil pessoas";"458";"Mil pessoas";"444";"Mil pessoas";"411";"Mil pessoas";"421";"Mil pessoas"
"Rio Grande do Norte";"Ensino fundamental completo ou equivalente";"100";"Mil pessoas";"103";"Mil pessoas";"102";"Mil pessoas";"111";"Mil pessoas";"106";"Mil pessoas";"106";"Mil pessoas";"102";"Mil pessoas";"109";"Mil pessoas";"118";"Mil pessoas";"122";"Mil pessoas";"108";"Mil pessoas";"111";"Mil pessoas";"100";"Mil pessoas";"121";"Mil pessoas"
"Rio Grande do Norte";"Ensino médio incompleto ou equivalente";"114";"Mil pessoas";"129";"Mil pessoas";"108";"Mil pessoas";"126";"Mil pessoas";"100";"Mil pessoas";"107";"Mil pessoas";"117";"Mil pessoas";"117";"Mil pessoas";"131";"Mil pessoas";"134";"Mil pessoas";"121";"Mil pessoas";"127";"Mil pessoas";"125";"Mil pessoas";"126";"Mil pessoas"
"Rio Grande do Norte";"Ensino médio completo ou equivalente";"313";"Mil pessoas";"374";"Mil pessoas";"321";"Mil pessoas";"373";"Mil pessoas";"318";"Mil pessoas";"383";"Mil pessoas";"308";"Mil pessoas";"362";"Mil pessoas";"345";"Mil pessoas";"441";"Mil pessoas";"392";"Mil pessoas";"436";"Mil pessoas";"393";"Mil pessoas";"460";"Mil pessoas"
"Rio Grande do Norte";"Ensino superior incompleto ou equivalente";"48";"Mil pessoas";"67";"Mil pessoas";"48";"Mil pessoas";"65";"Mil pessoas";"76";"Mil pessoas";"65";"Mil pessoas";"58";"Mil pessoas";"78";"Mil pessoas";"72";"Mil pessoas";"67";"Mil pessoas";"66";"Mil pessoas";"65";"Mil pessoas";"71";"Mil pessoas";"71";"Mil pessoas"
"Rio Grande do Norte";"Superior completo";"100";"Mil pessoas";"168";"Mil pessoas";"103";"Mil pessoas";"165";"Mil pessoas";"116";"Mil pessoas";"190";"Mil pessoas";"147";"Mil pessoas";"207";"Mil pessoas";"143";"Mil pessoas";"215";"Mil pessoas";"151";"Mil pessoas";"219";"Mil pessoas";"174";"Mil pessoas";"253";"Mil pessoas"
"Paraíba";"Sem instrução";"168";"Mil pessoas";"162";"Mil pessoas";"170";"Mil pessoas";"144";"Mil pessoas";"184";"Mil pessoas";"145";"Mil pessoas";"169";"Mil pessoas";"137";"Mil pessoas";"184";"Mil pessoas";"144";"Mil pessoas";"185";"Mil pessoas";"139";"Mil pessoas";"159";"Mil pessoas";"128";"Mil pessoas"
"Paraíba";"Ensino fundamental incompleto ou equivalente";"613";"Mil pessoas";"576";"Mil pessoas";"590";"Mil pessoas";"582";"Mil pessoas";"595";"Mil pessoas";"575";"Mil pessoas";"612";"Mil pessoas";"582";"Mil pessoas";"559";"Mil pessoas";"539";"Mil pessoas";"530";"Mil pessoas";"519";"Mil pessoas";"539";"Mil pessoas";"506";"Mil pessoas"
"Paraíba";"Ensino fundamental completo ou equivalente";"110";"Mil pessoas";"128";"Mil pessoas";"121";"Mil pessoas";"128";"Mil pessoas";"106";"Mil pessoas";"122";"Mil pessoas";"109";"Mil pessoas";"119";"Mil pessoas";"118";"Mil pessoas";"116";"Mil pessoas";"107";"Mil pessoas";"119";"Mil pessoas";"113";"Mil pessoas";"129";"Mil pessoas"
"Paraíba";"Ensino médio incompleto ou equivalente";"107";"Mil pessoas";"130";"Mil pessoas";"106";"Mil pessoas";"122";"Mil pessoas";"108";"Mil pessoas";"119";"Mil pessoas";"111";"Mil pessoas";"121";"Mil pessoas";"136";"Mil pessoas";"154";"Mil pessoas";"135";"Mil pessoas";"148";"Mil pessoas";"135";"Mil pessoas";"135";"Mil pessoas"
"Paraíba";"Ensino médio completo ou equivalente";"293";"Mil pessoas";"375";"Mil pessoas";"312";"Mil pessoas";"379";"Mil pessoas";"325";"Mil pessoas";"411";"Mil pessoas";"318";"Mil pessoas";"395";"Mil pessoas";"361";"Mil pessoas";"444";"Mil pessoas";"370";"Mil pessoas";"470";"Mil pessoas";"399";"Mil pessoas";"466";"Mil pessoas"
"Paraíba";"Ensino superior incompleto ou equivalente";"61";"Mil pessoas";"77";"Mil pessoas";"61";"Mil pessoas";"78";"Mil pessoas";"59";"Mil pessoas";"79";"Mil pessoas";"70";"Mil pessoas";"74";"Mil pessoas";"67";"Mil pessoas";"61";"Mil pessoas";"71";"Mil pessoas";"65";"Mil pessoas";"68";"Mil pessoas";"80";"Mil pessoas"
"Paraíba";"Superior completo";"103";"Mil pessoas";"167";"Mil pessoas";"118";"Mil pessoas";"197";"Mil pessoas";"118";"Mil pessoas";"192";"Mil pessoas";"128";"Mil pessoas";"216";"Mil pessoas";"130";"Mil pessoas";"205";"Mil pessoas";"147";"Mil pessoas";"215";"Mil pessoas";"156";"Mil pessoas";"253";"Mil pessoas"
"Pernambuco";"Sem instrução";"351";"Mil pessoas";"373";"Mil pessoas";"354";"Mil pessoas";"361";"Mil pessoas";"293";"Mil pessoas";"317";"Mil pessoas";"294";"Mil pessoas";"308";"Mil pessoas";"330";"Mil pessoas";"347";"Mil pessoas";"300";"Mil pessoas";"305";"Mil pessoas";"276";"Mil pessoas";"282";"Mil pessoas"
"Pernambuco";"Ensino fundamental incompleto ou equivalente";"1297";"Mil pessoas";"1229";"Mil pessoas";"1278";"Mil pessoas";"1243";"Mil pessoas";"1257";"Mil pessoas";"1190";"Mil pessoas";"1212";"Mil pessoas";"1161";"Mil pessoas";"1152";"Mil pessoas";"1116";"Mil pessoas";"1156";"Mil pessoas";"1093";"Mil pessoas";"1161";"Mil pessoas";"1119";"Mil pessoas"
"Pernambuco";"Ensino fundamental completo ou equivalente";"310";"Mil pessoas";"315";"Mil pessoas";"301";"Mil pessoas";"302";"Mil pessoas";"274";"Mil pessoas";"302";"Mil pessoas";"301";"Mil pessoas";"315";"Mil pessoas";"293";"Mil pessoas";"317";"Mil pessoas";"305";"Mil pessoas";"298";"Mil pessoas";"294";"Mil pessoas";"314";"Mil pessoas"
"Pernambuco";"Ensino médio incompleto ou equivalente";"275";"Mil pessoas";"288";"Mil pessoas";"285";"Mil pessoas";"309";"Mil pessoas";"267";"Mil pessoas";"307";"Mil pessoas";"279";"Mil pessoas";"305";"Mil pessoas";"276";"Mil pessoas";"309";"Mil pessoas";"302";"Mil pessoas";"308";"Mil pessoas";"292";"Mil pessoas";"318";"Mil pessoas"
"Pernambuco";"Ensino médio completo ou equivalente";"862";"Mil pessoas";"1066";"Mil pessoas";"917";"Mil pessoas";"1120";"Mil pessoas";"968";"Mil pessoas";"1154";"Mil pessoas";"984";"Mil pessoas";"1183";"Mil pessoas";"1091";"Mil pessoas";"1322";"Mil pessoas";"1101";"Mil pessoas";"1384";"Mil pessoas";"1123";"Mil pessoas";"1347";"Mil pessoas"
"Pernambuco";"Ensino superior incompleto ou equivalente";"125";"Mil pessoas";"161";"Mil pessoas";"120";"Mil pessoas";"149";"Mil pessoas";"159";"Mil pessoas";"191";"Mil pessoas";"159";"Mil pessoas";"188";"Mil pessoas";"140";"Mil pessoas";"167";"Mil pessoas";"152";"Mil pessoas";"180";"Mil pessoas";"144";"Mil pessoas";"205";"Mil pessoas"
"Pernambuco";"Superior completo";"264";"Mil pessoas";"445";"Mil pessoas";"264";"Mil pessoas";"436";"Mil pessoas";"325";"Mil pessoas";"503";"Mil pessoas";"331";"Mil pessoas";"524";"Mil pessoas";"318";"Mil pessoas";"511";"Mil pessoas";"390";"Mil pessoas";"550";"Mil pessoas";"374";"Mil pessoas";"590";"Mil pessoas"
"Alagoas";"Sem instrução";"170";"Mil pessoas";"180";"Mil pessoas";"170";"Mil pessoas";"169";"Mil pessoas";"157";"Mil pessoas";"162";"Mil pessoas";"149";"Mil pessoas";"159";"Mil pessoas";"126";"Mil pessoas";"131";"Mil pessoas";"128";"Mil pessoas";"132";"Mil pessoas";"131";"Mil pessoas";"143";"Mil pessoas"
"Alagoas";"Ensino fundamental incompleto ou equivalente";"496";"Mil pessoas";"471";"Mil pessoas";"495";"Mil pessoas";"485";"Mil pessoas";"495";"Mil pessoas";"467";"Mil pessoas";"479";"Mil pessoas";"456";"Mil pessoas";"441";"Mil pessoas";"423";"Mil pessoas";"417";"Mil pessoas";"393";"Mil pessoas";"401";"Mil pessoas";"390";"Mil pessoas"
"Alagoas";"Ensino fundamental completo ou equivalente";"105";"Mil pessoas";"120";"Mil pessoas";"103";"Mil pessoas";"110";"Mil pessoas";"97";"Mil pessoas";"113";"Mil pessoas";"115";"Mil pessoas";"112";"Mil pessoas";"105";"Mil pessoas";"117";"Mil pessoas";"104";"Mil pessoas";"119";"Mil pessoas";"93";"Mil pessoas";"114";"Mil pessoas"
"Alagoas";"Ensino médio incompleto ou equivalente";"95";"Mil pessoas";"103";"Mil pessoas";"100";"Mil pessoas";"106";"Mil pessoas";"100";"Mil pessoas";"112";"Mil pessoas";"94";"Mil pessoas";"116";"Mil pessoas";"116";"Mil pessoas";"113";"Mil pessoas";"115";"Mil pessoas";"121";"Mil pessoas";"118";"Mil pessoas";"117";"Mil pessoas"
"Alagoas";"Ensino médio completo ou equivalente";"232";"Mil pessoas";"284";"Mil pessoas";"244";"Mil pessoas";"325";"Mil pessoas";"266";"Mil pessoas";"324";"Mil pessoas";"263";"Mil pessoas";"325";"Mil pessoas";"296";"Mil pessoas";"376";"Mil pessoas";"324";"Mil pessoas";"381";"Mil pessoas";"345";"Mil pessoas";"395";"Mil pessoas"
"Alagoas";"Ensino superior incompleto ou equivalente";"39";"Mil pessoas";"60";"Mil pessoas";"37";"Mil pessoas";"52";"Mil pessoas";"44";"Mil pessoas";"53";"Mil pessoas";"40";"Mil pessoas";"46";"Mil pessoas";"54";"Mil pessoas";"59";"Mil pessoas";"55";"Mil pessoas";"67";"Mil pessoas";"55";"Mil pessoas";"66";"Mil pessoas"
"Alagoas";"Superior completo";"62";"Mil pessoas";"100";"Mil pessoas";"65";"Mil pessoas";"101";"Mil pessoas";"76";"Mil pessoas";"129";"Mil pessoas";"100";"Mil pessoas";"145";"Mil pessoas";"101";"Mil pessoas";"169";"Mil pessoas";"101";"Mil pessoas";"174";"Mil pessoas";"107";"Mil pessoas";"194";"Mil pessoas"
"Sergipe";"Sem instrução";"90";"Mil pessoas";"93";"Mil pessoas";"75";"Mil pessoas";"81";"Mil pessoas";"75";"Mil pessoas";"79";"Mil pessoas";"62";"Mil pessoas";"68";"Mil pessoas";"75";"Mil pessoas";"69";"Mil pessoas";"68";"Mil pessoas";"66";"Mil pessoas";"65";"Mil pessoas";"70";"Mil pessoas"
"Sergipe";"Ensino fundamental incompleto ou equivalente";"337";"Mil pessoas";"314";"Mil pessoas";"353";"Mil pessoas";"325";"Mil pessoas";"344";"Mil pessoas";"334";"Mil pessoas";"369";"Mil pessoas";"334";"Mil pessoas";"326";"Mil pessoas";"306";"Mil pessoas";"303";"Mil pessoas";"294";"Mil pessoas";"309";"Mil pessoas";"287";"Mil pessoas"
"Sergipe";"Ensino fundamental completo ou equivalente";"67";"Mil pessoas";"79";"Mil pessoas";"73";"Mil pessoas";"74";"Mil pessoas";"67";"Mil pessoas";"72";"Mil pessoas";"65";"Mil pessoas";"73";"Mil pessoas";"72";"Mil pessoas";"80";"Mil pessoas";"72";"Mil pessoas";"78";"Mil pessoas";"79";"Mil pessoas";"78";"Mil pessoas"
"Sergipe";"Ensino médio incompleto ou equivalente";"55";"Mil pessoas";"67";"Mil pessoas";"67";"Mil pessoas";"74";"Mil pessoas";"64";"Mil pessoas";"74";"Mil pessoas";"59";"Mil pessoas";"68";"Mil pessoas";"81";"Mil pessoas";"85";"Mil pessoas";"80";"Mil pessoas";"82";"Mil pessoas";"76";"Mil pessoas";"83";"Mil pessoas"
"Sergipe";"Ensino médio completo ou equivalente";"179";"Mil pessoas";"226";"Mil pessoas";"181";"Mil pessoas";"230";"Mil pessoas";"190";"Mil pessoas";"220";"Mil pessoas";"211";"Mil pessoas";"238";"Mil pessoas";"229";"Mil pessoas";"253";"Mil pessoas";"232";"Mil pessoas";"263";"Mil pessoas";"240";"Mil pessoas";"284";"Mil pessoas"
"Sergipe";"Ensino superior incompleto ou equivalente";"33";"Mil pessoas";"44";"Mil pessoas";"41";"Mil pessoas";"45";"Mil pessoas";"38";"Mil pessoas";"44";"Mil pessoas";"37";"Mil pessoas";"48";"Mil pessoas";"40";"Mil pessoas";"56";"Mil pessoas";"39";"Mil pessoas";"51";"Mil pessoas";"40";"Mil pessoas";"54";"Mil pessoas"
"Sergipe";"Superior completo";"68";"Mil pessoas";"97";"Mil pessoas";"60";"Mil pessoas";"97";"Mil pessoas";"61";"Mil pessoas";"107";"Mil pessoas";"67";"Mil pessoas";"112";"Mil pessoas";"76";"Mil pessoas";"119";"Mil pessoas";"82";"Mil pessoas";"149";"Mil pessoas";"96";"Mil pessoas";"146";"Mil pessoas"
"Bahia";"Sem instrução";"617";"Mil pessoas";"603";"Mil pessoas";"609";"Mil pessoas";"630";"Mil pessoas";"641";"Mil pessoas";"627";"Mil pessoas";"589";"Mil pessoas";"586";"Mil pessoas";"590";"Mil pessoas";"578";"Mil pessoas";"620";"Mil pessoas";"626";"Mil pessoas";"556";"Mil pessoas";"550";"Mil pessoas"
"Bahia";"Ensino fundamental incompleto ou equivalente";"2189";"Mil pessoas";"1917";"Mil pessoas";"2233";"Mil pessoas";"1909";"Mil pessoas";"2203";"Mil pessoas";"1865";"Mil pessoas";"2205";"Mil pessoas";"1869";"Mil pessoas";"1961";"Mil pessoas";"1679";"Mil pessoas";"1878";"Mil pessoas";"1688";"Mil pessoas";"1785";"Mil pessoas";"1589";"Mil pessoas"
"Bahia";"Ensino fundamental completo ou equivalente";"403";"Mil pessoas";"401";"Mil pessoas";"427";"Mil pessoas";"414";"Mil pessoas";"446";"Mil pessoas";"401";"Mil pessoas";"437";"Mil pessoas";"411";"Mil pessoas";"390";"Mil pessoas";"445";"Mil pessoas";"446";"Mil pessoas";"441";"Mil pessoas";"469";"Mil pessoas";"424";"Mil pessoas"
"Bahia";"Ensino médio incompleto ou equivalente";"466";"Mil pessoas";"534";"Mil pessoas";"503";"Mil pessoas";"519";"Mil pessoas";"481";"Mil pessoas";"495";"Mil pessoas";"468";"Mil pessoas";"519";"Mil pessoas";"546";"Mil pessoas";"562";"Mil pessoas";"495";"Mil pessoas";"486";"Mil pessoas";"562";"Mil pessoas";"560";"Mil pessoas"
"Bahia";"Ensino médio completo ou equivalente";"1318";"Mil pessoas";"1700";"Mil pessoas";"1312";"Mil pessoas";"1745";"Mil pessoas";"1338";"Mil pessoas";"1753";"Mil pessoas";"1409";"Mil pessoas";"1797";"Mil pessoas";"1657";"Mil pessoas";"2041";"Mil pessoas";"1711";"Mil pessoas";"2086";"Mil pessoas";"1727";"Mil pessoas";"2178";"Mil pessoas"
"Bahia";"Ensino superior incompleto ou equivalente";"164";"Mil pessoas";"268";"Mil pessoas";"161";"Mil pessoas";"249";"Mil pessoas";"223";"Mil pessoas";"269";"Mil pessoas";"189";"Mil pessoas";"277";"Mil pessoas";"183";"Mil pessoas";"232";"Mil pessoas";"182";"Mil pessoas";"264";"Mil pessoas";"199";"Mil pessoas";"265";"Mil pessoas"
"Bahia";"Superior completo";"310";"Mil pessoas";"523";"Mil pessoas";"325";"Mil pessoas";"566";"Mil pessoas";"346";"Mil pessoas";"598";"Mil pessoas";"399";"Mil pessoas";"666";"Mil pessoas";"401";"Mil pessoas";"759";"Mil pessoas";"460";"Mil pessoas";"744";"Mil pessoas";"515";"Mil pessoas";"862";"Mil pessoas"
"Minas Gerais";"Sem instrução";"310";"Mil pessoas";"388";"Mil pessoas";"261";"Mil pessoas";"365";"Mil pessoas";"266";"Mil pessoas";"373";"Mil pessoas";"281";"Mil pessoas";"340";"Mil pessoas";"250";"Mil pessoas";"337";"Mil pessoas";"314";"Mil pessoas";"345";"Mil pessoas";"263";"Mil pessoas";"309";"Mil pessoas"
"Minas Gerais";"Ensino fundamental incompleto ou equivalente";"3081";"Mil pessoas";"2832";"Mil pessoas";"3108";"Mil pessoas";"2820";"Mil pessoas";"3048";"Mil pessoas";"2777";"Mil pessoas";"3011";"Mil pessoas";"2781";"Mil pessoas";"2928";"Mil pessoas";"2547";"Mil pessoas";"2697";"Mil pessoas";"2475";"Mil pessoas";"2678";"Mil pessoas";"2359";"Mil pessoas"
"Minas Gerais";"Ensino fundamental completo ou equivalente";"955";"Mil pessoas";"854";"Mil pessoas";"944";"Mil pessoas";"846";"Mil pessoas";"915";"Mil pessoas";"794";"Mil pessoas";"881";"Mil pessoas";"816";"Mil pessoas";"835";"Mil pessoas";"695";"Mil pessoas";"821";"Mil pessoas";"725";"Mil pessoas";"826";"Mil pessoas";"770";"Mil pessoas"
"Minas Gerais";"Ensino médio incompleto ou equivalente";"672";"Mil pessoas";"642";"Mil pessoas";"697";"Mil pessoas";"682";"Mil pessoas";"698";"Mil pessoas";"689";"Mil pessoas";"732";"Mil pessoas";"653";"Mil pessoas";"832";"Mil pessoas";"642";"Mil pessoas";"764";"Mil pessoas";"716";"Mil pessoas";"819";"Mil pessoas";"654";"Mil pessoas"
"Minas Gerais";"Ensino médio completo ou equivalente";"1999";"Mil pessoas";"2267";"Mil pessoas";"2079";"Mil pessoas";"2396";"Mil pessoas";"2195";"Mil pessoas";"2381";"Mil pessoas";"2226";"Mil pessoas";"2430";"Mil pessoas";"2381";"Mil pessoas";"2716";"Mil pessoas";"2625";"Mil pessoas";"2680";"Mil pessoas";"2561";"Mil pessoas";"2771";"Mil pessoas"
"Minas Gerais";"Ensino superior incompleto ou equivalente";"438";"Mil pessoas";"465";"Mil pessoas";"401";"Mil pessoas";"453";"Mil pessoas";"397";"Mil pessoas";"464";"Mil pessoas";"435";"Mil pessoas";"482";"Mil pessoas";"403";"Mil pessoas";"425";"Mil pessoas";"424";"Mil pessoas";"454";"Mil pessoas";"406";"Mil pessoas";"474";"Mil pessoas"
"Minas Gerais";"Superior completo";"780";"Mil pessoas";"1215";"Mil pessoas";"746";"Mil pessoas";"1158";"Mil pessoas";"840";"Mil pessoas";"1327";"Mil pessoas";"887";"Mil pessoas";"1341";"Mil pessoas";"1086";"Mil pessoas";"1503";"Mil pessoas";"1078";"Mil pessoas";"1602";"Mil pessoas";"1217";"Mil pessoas";"1666";"Mil pessoas"
"Espírito Santo";"Sem instrução";"80";"Mil pessoas";"102";"Mil pessoas";"68";"Mil pessoas";"85";"Mil pessoas";"60";"Mil pessoas";"84";"Mil pessoas";"55";"Mil pessoas";"70";"Mil pessoas";"62";"Mil pessoas";"81";"Mil pessoas";"66";"Mil pessoas";"82";"Mil pessoas";"54";"Mil pessoas";"64";"Mil pessoas"
"Espírito Santo";"Ensino fundamental incompleto ou equivalente";"501";"Mil pessoas";"459";"Mil pessoas";"494";"Mil pessoas";"479";"Mil pessoas";"513";"Mil pessoas";"465";"Mil pessoas";"506";"Mil pessoas";"477";"Mil pessoas";"475";"Mil pessoas";"450";"Mil pessoas";"462";"Mil pessoas";"453";"Mil pessoas";"450";"Mil pessoas";"427";"Mil pessoas"
"Espírito Santo";"Ensino fundamental completo ou equivalente";"160";"Mil pessoas";"156";"Mil pessoas";"168";"Mil pessoas";"155";"Mil pessoas";"166";"Mil pessoas";"138";"Mil pessoas";"148";"Mil pessoas";"140";"Mil pessoas";"158";"Mil pessoas";"156";"Mil pessoas";"154";"Mil pessoas";"131";"Mil pessoas";"153";"Mil pessoas";"148";"Mil pessoas"
"Espírito Santo";"Ensino médio incompleto ou equivalente";"118";"Mil pessoas";"125";"Mil pessoas";"120";"Mil pessoas";"121";"Mil pessoas";"128";"Mil pessoas";"133";"Mil pessoas";"131";"Mil pessoas";"132";"Mil pessoas";"141";"Mil pessoas";"128";"Mil pessoas";"140";"Mil pessoas";"128";"Mil pessoas";"145";"Mil pessoas";"114";"Mil pessoas"
"Espírito Santo";"Ensino médio completo ou equivalente";"427";"Mil pessoas";"445";"Mil pessoas";"443";"Mil pessoas";"444";"Mil pessoas";"445";"Mil pessoas";"463";"Mil pessoas";"446";"Mil pessoas";"465";"Mil pessoas";"502";"Mil pessoas";"499";"Mil pessoas";"489";"Mil pessoas";"518";"Mil pessoas";"539";"Mil pessoas";"549";"Mil pessoas"
"Espírito Santo";"Ensino superior incompleto ou equivalente";"68";"Mil pessoas";"84";"Mil pessoas";"69";"Mil pessoas";"82";"Mil pessoas";"78";"Mil pessoas";"89";"Mil pessoas";"85";"Mil pessoas";"90";"Mil pessoas";"79";"Mil pessoas";"96";"Mil pessoas";"85";"Mil pessoas";"92";"Mil pessoas";"80";"Mil pessoas";"89";"Mil pessoas"
"Espírito Santo";"Superior completo";"151";"Mil pessoas";"226";"Mil pessoas";"163";"Mil pessoas";"253";"Mil pessoas";"157";"Mil pessoas";"247";"Mil pessoas";"176";"Mil pessoas";"260";"Mil pessoas";"212";"Mil pessoas";"307";"Mil pessoas";"232";"Mil pessoas";"334";"Mil pessoas";"244";"Mil pessoas";"341";"Mil pessoas"
"Rio de Janeiro";"Sem instrução";"208";"Mil pessoas";"262";"Mil pessoas";"206";"Mil pessoas";"258";"Mil pessoas";"177";"Mil pessoas";"240";"Mil pessoas";"172";"Mil pessoas";"207";"Mil pessoas";"189";"Mil pessoas";"243";"Mil pessoas";"176";"Mil pessoas";"228";"Mil pessoas";"165";"Mil pessoas";"196";"Mil pessoas"
"Rio de Janeiro";"Ensino fundamental incompleto ou equivalente";"1758";"Mil pessoas";"1877";"Mil pessoas";"1727";"Mil pessoas";"1885";"Mil pessoas";"1647";"Mil pessoas";"1771";"Mil pessoas";"1522";"Mil pessoas";"1751";"Mil pessoas";"1357";"Mil pessoas";"1549";"Mil pessoas";"1333";"Mil pessoas";"1507";"Mil pessoas";"1370";"Mil pessoas";"1560";"Mil pessoas"
"Rio de Janeiro";"Ensino fundamental completo ou equivalente";"796";"Mil pessoas";"872";"Mil pessoas";"764";"Mil pessoas";"804";"Mil pessoas";"680";"Mil pessoas";"720";"Mil pessoas";"685";"Mil pessoas";"729";"Mil pessoas";"636";"Mil pessoas";"685";"Mil pessoas";"568";"Mil pessoas";"645";"Mil pessoas";"545";"Mil pessoas";"641";"Mil pessoas"
"Rio de Janeiro";"Ensino médio incompleto ou equivalente";"495";"Mil pessoas";"509";"Mil pessoas";"553";"Mil pessoas";"534";"Mil pessoas";"545";"Mil pessoas";"545";"Mil pessoas";"532";"Mil pessoas";"547";"Mil pessoas";"557";"Mil pessoas";"580";"Mil pessoas";"529";"Mil pessoas";"567";"Mil pessoas";"502";"Mil pessoas";"529";"Mil pessoas"
"Rio de Janeiro";"Ensino médio completo ou equivalente";"2095";"Mil pessoas";"2335";"Mil pessoas";"2199";"Mil pessoas";"2381";"Mil pessoas";"2189";"Mil pessoas";"2454";"Mil pessoas";"2267";"Mil pessoas";"2463";"Mil pessoas";"2358";"Mil pessoas";"2593";"Mil pessoas";"2424";"Mil pessoas";"2648";"Mil pessoas";"2391";"Mil pessoas";"2698";"Mil pessoas"
"Rio de Janeiro";"Ensino superior incompleto ou equivalente";"332";"Mil pessoas";"353";"Mil pessoas";"376";"Mil pessoas";"412";"Mil pessoas";"445";"Mil pessoas";"481";"Mil pessoas";"479";"Mil pessoas";"474";"Mil pessoas";"487";"Mil pessoas";"531";"Mil pessoas";"501";"Mil pessoas";"519";"Mil pessoas";"469";"Mil pessoas";"500";"Mil pessoas"
"Rio de Janeiro";"Superior completo";"929";"Mil pessoas";"1119";"Mil pessoas";"971";"Mil pessoas";"1166";"Mil pessoas";"1073";"Mil pessoas";"1331";"Mil pessoas";"1112";"Mil pessoas";"1468";"Mil pessoas";"1278";"Mil pessoas";"1748";"Mil pessoas";"1383";"Mil pessoas";"1759";"Mil pessoas";"1435";"Mil pessoas";"1806";"Mil pessoas"
