"Tabela 7128 - Pessoas de 14 anos ou mais de idade, por sexo e nível de instrução"
"Variável - Pessoas de 14 anos ou mais de idade"
"Unidade da Federação";"Nível de instrução";"Ano x Sexo"
"Unidade da Federação";"Nível de instrução";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Nível de instrução";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Amazonas";"Ensino fundamental incompleto ou equivalente";"439";"Mil pessoas";"360";"Mil pessoas";"442";"Mil pessoas";"377";"Mil pessoas";"446";"Mil pessoas";"387";"Mil pessoas";"445";"Mil pessoas";"379";"Mil pessoas";"406";"Mil pessoas";"345";"Mil pessoas";"396";"Mil pessoas";"345";"Mil pessoas";"376";"Mil pessoas";"322";"Mil pessoas"
"Amazonas";"Ensino fundamental completo ou equivalente";"137";"Mil pessoas";"143";"Mil pessoas";"118";"Mil pessoas";"121";"Mil pessoas";"122";"Mil pessoas";"117";"Mil pessoas";"120";"Mil pessoas";"123";"Mil pessoas";"116";"Mil pessoas";"120";"Mil pessoas";"114";"Mil pessoas";"122";"Mil pessoas";"120";"Mil pessoas";"118";"Mil pessoas"
"Amazonas";"Ensino médio incompleto ou equivalente";"125";"Mil pessoas";"124";"Mil pessoas";"133";"Mil pessoas";"129";"Mil pessoas";"134";"Mil pessoas";"138";"Mil pessoas";"143";"Mil pessoas";"137";"Mil pessoas";"153";"Mil pessoas";"134";"Mil pessoas";"145";"Mil pessoas";"143";"Mil pessoas";"144";"Mil pessoas";"137";"Mil pessoas"
"Amazonas";"Ensino médio completo ou equivalente";"403";"Mil pessoas";"416";"Mil pessoas";"424";"Mil pessoas";"455";"Mil pessoas";"453";"Mil pessoas";"469";"Mil pessoas";"452";"Mil pessoas";"484";"Mil pessoas";"549";"Mil pessoas";"562";"Mil pessoas";"569";"Mil pessoas";"580";"Mil pessoas";"626";"Mil pessoas";"642";"Mil pessoas"
"Amazonas";"Ensino superior incompleto ou equivalente";"65";"Mil pessoas";"79";"Mil pessoas";"74";"Mil pessoas";"83";"Mil pessoas";"91";"Mil pessoas";"75";"Mil pessoas";"95";"Mil pessoas";"95";"Mil pessoas";"78";"Mil pessoas";"96";"Mil pessoas";"78";"Mil pessoas";"94";"Mil pessoas";"70";"Mil pessoas";"99";"Mil pessoas"
"Amazonas";"Superior completo";"106";"Mil pessoas";"149";"Mil pessoas";"123";"Mil pessoas";"160";"Mil pessoas";"135";"Mil pessoas";"187";"Mil pessoas";"150";"Mil pessoas";"197";"Mil pessoas";"167";"Mil pessoas";"230";"Mil pessoas";"183";"Mil pessoas";"235";"Mil pessoas";"202";"Mil pessoas";"248";"Mil pessoas"
"Roraima";"Sem instrução";"13";"Mil pessoas";"11";"Mil pessoas";"10";"Mil pessoas";"10";"Mil pessoas";"11";"Mil pessoas";"9";"Mil pessoas";"12";"Mil pessoas";"8";"Mil pessoas";"10";"Mil pessoas";"9";"Mil pessoas";"11";"Mil pessoas";"9";"Mil pessoas";"11";"Mil pessoas";"7";"Mil pessoas"
"Roraima";"Ensino fundamental incompleto ou equivalente";"48";"Mil pessoas";"36";"Mil pessoas";"50";"Mil pessoas";"37";"Mil pessoas";"52";"Mil pessoas";"40";"Mil pessoas";"48";"Mil pessoas";"36";"Mil pessoas";"44";"Mil pessoas";"39";"Mil pessoas";"48";"Mil pessoas";"35";"Mil pessoas";"53";"Mil pessoas";"36";"Mil pessoas"
"Roraima";"Ensino fundamental completo ou equivalente";"16";"Mil pessoas";"15";"Mil pessoas";"16";"Mil pessoas";"14";"Mil pessoas";"16";"Mil pessoas";"14";"Mil pessoas";"15";"Mil pessoas";"13";"Mil pessoas";"19";"Mil pessoas";"20";"Mil pessoas";"18";"Mil pessoas";"16";"Mil pessoas";"17";"Mil pessoas";"16";"Mil pessoas"
"Roraima";"Ensino médio incompleto ou equivalente";"17";"Mil pessoas";"16";"Mil pessoas";"18";"Mil pessoas";"19";"Mil pessoas";"20";"Mil pessoas";"18";"Mil pessoas";"22";"Mil pessoas";"18";"Mil pessoas";"22";"Mil pessoas";"19";"Mil pessoas";"26";"Mil pessoas";"20";"Mil pessoas";"25";"Mil pessoas";"24";"Mil pessoas"
