"Tabela 6409 - População residente, por sexo e condição no domicílio"
"Variável - População"
"Unidade da Federação";"Condição no domicílio";"Ano x Sexo"
"Unidade da Federação";"Condição no domicílio";"2012";;;;"2013";;;;"2014";;;;"2015";;;;"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2020";;;;"2021";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Condição no domicílio";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Amazonas";"Filho(a) ou enteado(a)";"807";"Mil pessoas";"699";"Mil pessoas";"810";"Mil pessoas";"711";"Mil pessoas";"815";"Mil pessoas";"727";"Mil pessoas";"842";"Mil pessoas";"708";"Mil pessoas";"852";"Mil pessoas";"722";"Mil pessoas";"824";"Mil pessoas";"703";"Mil pessoas";"825";"Mil pessoas";"704";"Mil pessoas";"842";"Mil pessoas";"742";"Mil pessoas";"897";"Mil pessoas";"765";"Mil pessoas";"901";"Mil pessoas";"702";"Mil pessoas";"804";"Mil pessoas";"674";"Mil pessoas";"850";"Mil pessoas";"672";"Mil pessoas";"779";"Mil pessoas";"677";"Mil pessoas"
"Amazonas";"Outra condição";"284";"Mil pessoas";"296";"Mil pessoas";"287";"Mil pessoas";"282";"Mil pessoas";"268";"Mil pessoas";"273";"Mil pessoas";"263";"Mil pessoas";"270";"Mil pessoas";"288";"Mil pessoas";"265";"Mil pessoas";"282";"Mil pessoas";"293";"Mil pessoas";"314";"Mil pessoas";"314";"Mil pessoas";"308";"Mil pessoas";"306";"Mil pessoas";"283";"Mil pessoas";"270";"Mil pessoas";"300";"Mil pessoas";"317";"Mil pessoas";"351";"Mil pessoas";"398";"Mil pessoas";"329";"Mil pessoas";"360";"Mil pessoas";"355";"Mil pessoas";"356";"Mil pessoas"
"Roraima";"Responsável";"66";"Mil pessoas";"51";"Mil pessoas";"73";"Mil pessoas";"50";"Mil pessoas";"72";"Mil pessoas";"57";"Mil pessoas";"72";"Mil pessoas";"55";"Mil pessoas";"77";"Mil pessoas";"60";"Mil pessoas";"73";"Mil pessoas";"70";"Mil pessoas";"80";"Mil pessoas";"72";"Mil pessoas";"84";"Mil pessoas";"66";"Mil pessoas";"85";"Mil pessoas";"71";"Mil pessoas";"80";"Mil pessoas";"84";"Mil pessoas";"90";"Mil pessoas";"82";"Mil pessoas";"90";"Mil pessoas";"88";"Mil pessoas";"90";"Mil pessoas";"102";"Mil pessoas"
"Roraima";"Cônjuge ou companheiro(a)";"27";"Mil pessoas";"53";"Mil pessoas";"21";"Mil pessoas";"57";"Mil pessoas";"25";"Mil pessoas";"55";"Mil pessoas";"26";"Mil pessoas";"56";"Mil pessoas";"30";"Mil pessoas";"58";"Mil pessoas";"35";"Mil pessoas";"52";"Mil pessoas";"37";"Mil pessoas";"58";"Mil pessoas";"36";"Mil pessoas";"59";"Mil pessoas";"35";"Mil pessoas";"62";"Mil pessoas";"40";"Mil pessoas";"57";"Mil pessoas";"43";"Mil pessoas";"62";"Mil pessoas";"48";"Mil pessoas";"64";"Mil pessoas";"50";"Mil pessoas";"60";"Mil pessoas"
"Roraima";"Filho(a) ou enteado(a)";"100";"Mil pessoas";"88";"Mil pessoas";"98";"Mil pessoas";"87";"Mil pessoas";"102";"Mil pessoas";"89";"Mil pessoas";"105";"Mil pessoas";"87";"Mil pessoas";"104";"Mil pessoas";"88";"Mil pessoas";"104";"Mil pessoas";"89";"Mil pessoas";"106";"Mil pessoas";"88";"Mil pessoas";"114";"Mil pessoas";"101";"Mil pessoas";"122";"Mil pessoas";"108";"Mil pessoas";"112";"Mil pessoas";"107";"Mil pessoas";"114";"Mil pessoas";"103";"Mil pessoas";"127";"Mil pessoas";"98";"Mil pessoas";"123";"Mil pessoas";"109";"Mil pessoas"
"Roraima";"Outra condição";"26";"Mil pessoas";"27";"Mil pessoas";"33";"Mil pessoas";"30";"Mil pessoas";"32";"Mil pessoas";"29";"Mil pessoas";"34";"Mil pessoas";"36";"Mil pessoas";"33";"Mil pessoas";"33";"Mil pessoas";"36";"Mil pessoas";"38";"Mil pessoas";"40";"Mil pessoas";"36";"Mil pessoas";"39";"Mil pessoas";"43";"Mil pessoas";"38";"Mil pessoas";"41";"Mil pessoas";"52";"Mil pessoas";"41";"Mil pessoas";"48";"Mil pessoas";"48";"Mil pessoas";"45";"Mil pessoas";"49";"Mil pessoas";"47";"Mil pessoas";"46";"Mil pessoas"
"Pará";"Responsável";"1336";"Mil pessoas";"690";"Mil pessoas";"1416";"Mil pessoas";"716";"Mil pessoas";"1437";"Mil pessoas";"737";"Mil pessoas";"1410";"Mil pessoas";"815";"Mil pessoas";"1415";"Mil pessoas";"830";"Mil pessoas";"1402";"Mil pessoas";"877";"Mil pessoas";"1372";"Mil pessoas";"978";"Mil pessoas";"1387";"Mil pessoas";"1038";"Mil pessoas";"1433";"Mil pessoas";"1081";"Mil pessoas";"1331";"Mil pessoas";"1123";"Mil pessoas";"1351";"Mil pessoas";"1183";"Mil pessoas";"1431";"Mil pessoas";"1203";"Mil pessoas";"1371";"Mil pessoas";"1347";"Mil pessoas"
"Pará";"Cônjuge ou companheiro(a)";"285";"Mil pessoas";"1135";"Mil pessoas";"296";"Mil pessoas";"1169";"Mil pessoas";"285";"Mil pessoas";"1203";"Mil pessoas";"337";"Mil pessoas";"1170";"Mil pessoas";"353";"Mil pessoas";"1188";"Mil pessoas";"395";"Mil pessoas";"1154";"Mil pessoas";"483";"Mil pessoas";"1132";"Mil pessoas";"487";"Mil pessoas";"1096";"Mil pessoas";"510";"Mil pessoas";"1155";"Mil pessoas";"566";"Mil pessoas";"1033";"Mil pessoas";"563";"Mil pessoas";"1021";"Mil pessoas";"572";"Mil pessoas";"1098";"Mil pessoas";"690";"Mil pessoas";"959";"Mil pessoas"
"Pará";"Filho(a) ou enteado(a)";"1670";"Mil pessoas";"1552";"Mil pessoas";"1678";"Mil pessoas";"1517";"Mil pessoas";"1746";"Mil pessoas";"1458";"Mil pessoas";"1713";"Mil pessoas";"1505";"Mil pessoas";"1748";"Mil pessoas";"1463";"Mil pessoas";"1712";"Mil pessoas";"1498";"Mil pessoas";"1723";"Mil pessoas";"1462";"Mil pessoas";"1673";"Mil pessoas";"1459";"Mil pessoas";"1685";"Mil pessoas";"1448";"Mil pessoas";"1823";"Mil pessoas";"1482";"Mil pessoas";"1731";"Mil pessoas";"1434";"Mil pessoas";"1709";"Mil pessoas";"1391";"Mil pessoas";"1684";"Mil pessoas";"1452";"Mil pessoas"
"Pará";"Outra condição";"578";"Mil pessoas";"590";"Mil pessoas";"550";"Mil pessoas";"578";"Mil pessoas";"564";"Mil pessoas";"574";"Mil pessoas";"568";"Mil pessoas";"569";"Mil pessoas";"560";"Mil pessoas";"606";"Mil pessoas";"593";"Mil pessoas";"600";"Mil pessoas";"576";"Mil pessoas";"567";"Mil pessoas";"596";"Mil pessoas";"620";"Mil pessoas";"532";"Mil pessoas";"574";"Mil pessoas";"561";"Mil pessoas";"551";"Mil pessoas";"628";"Mil pessoas";"608";"Mil pessoas";"551";"Mil pessoas";"609";"Mil pessoas";"528";"Mil pessoas";"581";"Mil pessoas"
"Amapá";"Responsável";"99";"Mil pessoas";"72";"Mil pessoas";"118";"Mil pessoas";"73";"Mil pessoas";"102";"Mil pessoas";"84";"Mil pessoas";"105";"Mil pessoas";"87";"Mil pessoas";"107";"Mil pessoas";"88";"Mil pessoas";"101";"Mil pessoas";"98";"Mil pessoas";"97";"Mil pessoas";"97";"Mil pessoas";"107";"Mil pessoas";"92";"Mil pessoas";"112";"Mil pessoas";"90";"Mil pessoas";"121";"Mil pessoas";"97";"Mil pessoas";"103";"Mil pessoas";"114";"Mil pessoas";"110";"Mil pessoas";"124";"Mil pessoas";"108";"Mil pessoas";"129";"Mil pessoas"
"Amapá";"Cônjuge ou companheiro(a)";"34";"Mil pessoas";"75";"Mil pessoas";"28";"Mil pessoas";"88";"Mil pessoas";"35";"Mil pessoas";"76";"Mil pessoas";"39";"Mil pessoas";"77";"Mil pessoas";"39";"Mil pessoas";"85";"Mil pessoas";"45";"Mil pessoas";"82";"Mil pessoas";"47";"Mil pessoas";"76";"Mil pessoas";"39";"Mil pessoas";"83";"Mil pessoas";"40";"Mil pessoas";"85";"Mil pessoas";"38";"Mil pessoas";"85";"Mil pessoas";"59";"Mil pessoas";"72";"Mil pessoas";"57";"Mil pessoas";"74";"Mil pessoas";"67";"Mil pessoas";"70";"Mil pessoas"
"Amapá";"Filho(a) ou enteado(a)";"174";"Mil pessoas";"145";"Mil pessoas";"161";"Mil pessoas";"148";"Mil pessoas";"161";"Mil pessoas";"153";"Mil pessoas";"167";"Mil pessoas";"152";"Mil pessoas";"161";"Mil pessoas";"153";"Mil pessoas";"183";"Mil pessoas";"148";"Mil pessoas";"174";"Mil pessoas";"153";"Mil pessoas";"152";"Mil pessoas";"161";"Mil pessoas";"158";"Mil pessoas";"159";"Mil pessoas";"156";"Mil pessoas";"154";"Mil pessoas";"155";"Mil pessoas";"137";"Mil pessoas";"151";"Mil pessoas";"141";"Mil pessoas";"160";"Mil pessoas";"140";"Mil pessoas"
"Amapá";"Outra condição";"48";"Mil pessoas";"57";"Mil pessoas";"54";"Mil pessoas";"47";"Mil pessoas";"56";"Mil pessoas";"60";"Mil pessoas";"56";"Mil pessoas";"56";"Mil pessoas";"58";"Mil pessoas";"60";"Mil pessoas";"50";"Mil pessoas";"50";"Mil pessoas";"61";"Mil pessoas";"59";"Mil pessoas";"71";"Mil pessoas";"67";"Mil pessoas";"68";"Mil pessoas";"65";"Mil pessoas";"62";"Mil pessoas";"68";"Mil pessoas";"79";"Mil pessoas";"67";"Mil pessoas";"66";"Mil pessoas";"67";"Mil pessoas";"55";"Mil pessoas";"65";"Mil pessoas"
"Tocantins";"Responsável";"270";"Mil pessoas";"139";"Mil pessoas";"282";"Mil pessoas";"152";"Mil pessoas";"280";"Mil pessoas";"158";"Mil pessoas";"284";"Mil pessoas";"164";"Mil pessoas";"280";"Mil pessoas";"180";"Mil pessoas";"280";"Mil pessoas";"193";"Mil pessoas";"286";"Mil pessoas";"205";"Mil pessoas";"254";"Mil pessoas";"243";"Mil pessoas";"260";"Mil pessoas";"231";"Mil pessoas";"251";"Mil pessoas";"250";"Mil pessoas";"254";"Mil pessoas";"258";"Mil pessoas";"265";"Mil pessoas";"267";"Mil pessoas";"268";"Mil pessoas";"276";"Mil pessoas"
"Tocantins";"Cônjuge ou companheiro(a)";"54";"Mil pessoas";"220";"Mil pessoas";"62";"Mil pessoas";"222";"Mil pessoas";"75";"Mil pessoas";"221";"Mil pessoas";"70";"Mil pessoas";"225";"Mil pessoas";"78";"Mil pessoas";"220";"Mil pessoas";"83";"Mil pessoas";"218";"Mil pessoas";"95";"Mil pessoas";"211";"Mil pessoas";"131";"Mil pessoas";"181";"Mil pessoas";"120";"Mil pessoas";"190";"Mil pessoas";"136";"Mil pessoas";"179";"Mil pessoas";"134";"Mil pessoas";"173";"Mil pessoas";"136";"Mil pessoas";"177";"Mil pessoas";"138";"Mil pessoas";"178";"Mil pessoas"
"Tocantins";"Filho(a) ou enteado(a)";"291";"Mil pessoas";"263";"Mil pessoas";"294";"Mil pessoas";"252";"Mil pessoas";"295";"Mil pessoas";"263";"Mil pessoas";"290";"Mil pessoas";"259";"Mil pessoas";"299";"Mil pessoas";"262";"Mil pessoas";"300";"Mil pessoas";"242";"Mil pessoas";"296";"Mil pessoas";"227";"Mil pessoas";"287";"Mil pessoas";"244";"Mil pessoas";"294";"Mil pessoas";"253";"Mil pessoas";"295";"Mil pessoas";"249";"Mil pessoas";"273";"Mil pessoas";"241";"Mil pessoas";"287";"Mil pessoas";"246";"Mil pessoas";"303";"Mil pessoas";"231";"Mil pessoas"
"Tocantins";"Outra condição";"97";"Mil pessoas";"79";"Mil pessoas";"83";"Mil pessoas";"80";"Mil pessoas";"76";"Mil pessoas";"75";"Mil pessoas";"86";"Mil pessoas";"82";"Mil pessoas";"76";"Mil pessoas";"76";"Mil pessoas";"88";"Mil pessoas";"79";"Mil pessoas";"90";"Mil pessoas";"86";"Mil pessoas";"84";"Mil pessoas";"86";"Mil pessoas";"80";"Mil pessoas";"95";"Mil pessoas";"90";"Mil pessoas";"83";"Mil pessoas";"105";"Mil pessoas";"103";"Mil pessoas";"89";"Mil pessoas";"84";"Mil pessoas";"92";"Mil pessoas";"75";"Mil pessoas"
"Maranhão";"Responsável";"1058";"Mil pessoas";"711";"Mil pessoas";"1080";"Mil pessoas";"742";"Mil pessoas";"1042";"Mil pessoas";"795";"Mil pessoas";"1092";"Mil pessoas";"770";"Mil pessoas";"1091";"Mil pessoas";"836";"Mil pessoas";"1051";"Mil pessoas";"896";"Mil pessoas";"1027";"Mil pessoas";"928";"Mil pessoas";"1000";"Mil pessoas";"1008";"Mil pessoas";"1013";"Mil pessoas";"991";"Mil pessoas";"914";"Mil pessoas";"1115";"Mil pessoas";"899";"Mil pessoas";"1181";"Mil pessoas";"907";"Mil pessoas";"1319";"Mil pessoas";"929";"Mil pessoas";"1305";"Mil pessoas"
"Maranhão";"Cônjuge ou companheiro(a)";"299";"Mil pessoas";"886";"Mil pessoas";"306";"Mil pessoas";"907";"Mil pessoas";"340";"Mil pessoas";"875";"Mil pessoas";"318";"Mil pessoas";"922";"Mil pessoas";"395";"Mil pessoas";"908";"Mil pessoas";"438";"Mil pessoas";"871";"Mil pessoas";"443";"Mil pessoas";"838";"Mil pessoas";"517";"Mil pessoas";"782";"Mil pessoas";"497";"Mil pessoas";"815";"Mil pessoas";"540";"Mil pessoas";"691";"Mil pessoas";"613";"Mil pessoas";"672";"Mil pessoas";"694";"Mil pessoas";"611";"Mil pessoas";"667";"Mil pessoas";"616";"Mil pessoas"
"Maranhão";"Filho(a) ou enteado(a)";"1452";"Mil pessoas";"1289";"Mil pessoas";"1454";"Mil pessoas";"1247";"Mil pessoas";"1465";"Mil pessoas";"1273";"Mil pessoas";"1463";"Mil pessoas";"1254";"Mil pessoas";"1438";"Mil pessoas";"1227";"Mil pessoas";"1386";"Mil pessoas";"1262";"Mil pessoas";"1425";"Mil pessoas";"1229";"Mil pessoas";"1405";"Mil pessoas";"1202";"Mil pessoas";"1437";"Mil pessoas";"1206";"Mil pessoas";"1467";"Mil pessoas";"1250";"Mil pessoas";"1368";"Mil pessoas";"1125";"Mil pessoas";"1281";"Mil pessoas";"1190";"Mil pessoas";"1283";"Mil pessoas";"1157";"Mil pessoas"
"Maranhão";"Outra condição";"480";"Mil pessoas";"501";"Mil pessoas";"479";"Mil pessoas";"502";"Mil pessoas";"488";"Mil pessoas";"477";"Mil pessoas";"488";"Mil pessoas";"488";"Mil pessoas";"448";"Mil pessoas";"482";"Mil pessoas";"467";"Mil pessoas";"479";"Mil pessoas";"501";"Mil pessoas";"486";"Mil pessoas";"502";"Mil pessoas";"490";"Mil pessoas";"496";"Mil pessoas";"473";"Mil pessoas";"477";"Mil pessoas";"490";"Mil pessoas";"542";"Mil pessoas";"554";"Mil pessoas";"460";"Mil pessoas";"497";"Mil pessoas";"490";"Mil pessoas";"520";"Mil pessoas"
