"Tabela 6409 - População residente, por sexo e condição no domicílio"
"Variável - População"
"Unidade da Federação";"Condição no domicílio";"Ano x Sexo"
"Unidade da Federação";"Condição no domicílio";"2012";;;;"2013";;;;"2014";;;;"2015";;;;"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2020";;;;"2021";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Condição no domicílio";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Piauí";"Responsável";"588";"Mil pessoas";"325";"Mil pessoas";"633";"Mil pessoas";"313";"Mil pessoas";"607";"Mil pessoas";"341";"Mil pessoas";"574";"Mil pessoas";"415";"Mil pessoas";"592";"Mil pessoas";"404";"Mil pessoas";"578";"Mil pessoas";"433";"Mil pessoas";"559";"Mil pessoas";"440";"Mil pessoas";"538";"Mil pessoas";"482";"Mil pessoas";"560";"Mil pessoas";"489";"Mil pessoas";"533";"Mil pessoas";"517";"Mil pessoas";"505";"Mil pessoas";"543";"Mil pessoas";"511";"Mil pessoas";"631";"Mil pessoas";"540";"Mil pessoas";"606";"Mil pessoas"
"Piauí";"Cônjuge ou companheiro(a)";"102";"Mil pessoas";"508";"Mil pessoas";"97";"Mil pessoas";"553";"Mil pessoas";"127";"Mil pessoas";"529";"Mil pessoas";"185";"Mil pessoas";"478";"Mil pessoas";"169";"Mil pessoas";"507";"Mil pessoas";"177";"Mil pessoas";"470";"Mil pessoas";"204";"Mil pessoas";"458";"Mil pessoas";"233";"Mil pessoas";"429";"Mil pessoas";"225";"Mil pessoas";"445";"Mil pessoas";"214";"Mil pessoas";"414";"Mil pessoas";"260";"Mil pessoas";"379";"Mil pessoas";"303";"Mil pessoas";"360";"Mil pessoas";"301";"Mil pessoas";"380";"Mil pessoas"
"Piauí";"Filho(a) ou enteado(a)";"675";"Mil pessoas";"608";"Mil pessoas";"663";"Mil pessoas";"577";"Mil pessoas";"681";"Mil pessoas";"555";"Mil pessoas";"673";"Mil pessoas";"551";"Mil pessoas";"653";"Mil pessoas";"557";"Mil pessoas";"645";"Mil pessoas";"582";"Mil pessoas";"657";"Mil pessoas";"556";"Mil pessoas";"630";"Mil pessoas";"571";"Mil pessoas";"636";"Mil pessoas";"583";"Mil pessoas";"655";"Mil pessoas";"547";"Mil pessoas";"667";"Mil pessoas";"535";"Mil pessoas";"629";"Mil pessoas";"534";"Mil pessoas";"639";"Mil pessoas";"512";"Mil pessoas"
"Piauí";"Outra condição";"189";"Mil pessoas";"217";"Mil pessoas";"182";"Mil pessoas";"208";"Mil pessoas";"195";"Mil pessoas";"205";"Mil pessoas";"182";"Mil pessoas";"198";"Mil pessoas";"189";"Mil pessoas";"199";"Mil pessoas";"195";"Mil pessoas";"205";"Mil pessoas";"213";"Mil pessoas";"216";"Mil pessoas";"209";"Mil pessoas";"230";"Mil pessoas";"196";"Mil pessoas";"203";"Mil pessoas";"230";"Mil pessoas";"239";"Mil pessoas";"239";"Mil pessoas";"228";"Mil pessoas";"187";"Mil pessoas";"211";"Mil pessoas";"192";"Mil pessoas";"205";"Mil pessoas"
"Ceará";"Responsável";"1577";"Mil pessoas";"901";"Mil pessoas";"1598";"Mil pessoas";"987";"Mil pessoas";"1541";"Mil pessoas";"1126";"Mil pessoas";"1580";"Mil pessoas";"1129";"Mil pessoas";"1548";"Mil pessoas";"1207";"Mil pessoas";"1584";"Mil pessoas";"1205";"Mil pessoas";"1558";"Mil pessoas";"1326";"Mil pessoas";"1469";"Mil pessoas";"1400";"Mil pessoas";"1534";"Mil pessoas";"1376";"Mil pessoas";"1431";"Mil pessoas";"1517";"Mil pessoas";"1400";"Mil pessoas";"1634";"Mil pessoas";"1461";"Mil pessoas";"1769";"Mil pessoas";"1441";"Mil pessoas";"1824";"Mil pessoas"
"Ceará";"Cônjuge ou companheiro(a)";"313";"Mil pessoas";"1360";"Mil pessoas";"344";"Mil pessoas";"1356";"Mil pessoas";"442";"Mil pessoas";"1284";"Mil pessoas";"453";"Mil pessoas";"1293";"Mil pessoas";"512";"Mil pessoas";"1263";"Mil pessoas";"520";"Mil pessoas";"1285";"Mil pessoas";"569";"Mil pessoas";"1243";"Mil pessoas";"630";"Mil pessoas";"1164";"Mil pessoas";"621";"Mil pessoas";"1224";"Mil pessoas";"745";"Mil pessoas";"1096";"Mil pessoas";"775";"Mil pessoas";"1016";"Mil pessoas";"827";"Mil pessoas";"995";"Mil pessoas";"798";"Mil pessoas";"990";"Mil pessoas"
"Ceará";"Filho(a) ou enteado(a)";"1821";"Mil pessoas";"1654";"Mil pessoas";"1817";"Mil pessoas";"1609";"Mil pessoas";"1812";"Mil pessoas";"1596";"Mil pessoas";"1781";"Mil pessoas";"1588";"Mil pessoas";"1799";"Mil pessoas";"1551";"Mil pessoas";"1785";"Mil pessoas";"1515";"Mil pessoas";"1713";"Mil pessoas";"1523";"Mil pessoas";"1730";"Mil pessoas";"1536";"Mil pessoas";"1749";"Mil pessoas";"1563";"Mil pessoas";"1718";"Mil pessoas";"1624";"Mil pessoas";"1632";"Mil pessoas";"1449";"Mil pessoas";"1668";"Mil pessoas";"1427";"Mil pessoas";"1663";"Mil pessoas";"1364";"Mil pessoas"
"Ceará";"Outra condição";"496";"Mil pessoas";"518";"Mil pessoas";"488";"Mil pessoas";"497";"Mil pessoas";"452";"Mil pessoas";"497";"Mil pessoas";"463";"Mil pessoas";"521";"Mil pessoas";"487";"Mil pessoas";"496";"Mil pessoas";"490";"Mil pessoas";"530";"Mil pessoas";"507";"Mil pessoas";"525";"Mil pessoas";"533";"Mil pessoas";"560";"Mil pessoas";"501";"Mil pessoas";"506";"Mil pessoas";"447";"Mil pessoas";"537";"Mil pessoas";"606";"Mil pessoas";"634";"Mil pessoas";"495";"Mil pessoas";"536";"Mil pessoas";"561";"Mil pessoas";"576";"Mil pessoas"
"Rio Grande do Norte";"Responsável";"633";"Mil pessoas";"325";"Mil pessoas";"647";"Mil pessoas";"333";"Mil pessoas";"608";"Mil pessoas";"381";"Mil pessoas";"624";"Mil pessoas";"393";"Mil pessoas";"594";"Mil pessoas";"440";"Mil pessoas";"585";"Mil pessoas";"453";"Mil pessoas";"551";"Mil pessoas";"495";"Mil pessoas";"547";"Mil pessoas";"536";"Mil pessoas";"572";"Mil pessoas";"518";"Mil pessoas";"619";"Mil pessoas";"540";"Mil pessoas";"552";"Mil pessoas";"588";"Mil pessoas";"531";"Mil pessoas";"660";"Mil pessoas";"539";"Mil pessoas";"701";"Mil pessoas"
"Rio Grande do Norte";"Cônjuge ou companheiro(a)";"107";"Mil pessoas";"544";"Mil pessoas";"126";"Mil pessoas";"550";"Mil pessoas";"145";"Mil pessoas";"524";"Mil pessoas";"150";"Mil pessoas";"530";"Mil pessoas";"184";"Mil pessoas";"499";"Mil pessoas";"209";"Mil pessoas";"484";"Mil pessoas";"228";"Mil pessoas";"452";"Mil pessoas";"258";"Mil pessoas";"451";"Mil pessoas";"255";"Mil pessoas";"466";"Mil pessoas";"252";"Mil pessoas";"435";"Mil pessoas";"283";"Mil pessoas";"389";"Mil pessoas";"317";"Mil pessoas";"351";"Mil pessoas";"349";"Mil pessoas";"365";"Mil pessoas"
"Rio Grande do Norte";"Filho(a) ou enteado(a)";"661";"Mil pessoas";"598";"Mil pessoas";"650";"Mil pessoas";"591";"Mil pessoas";"655";"Mil pessoas";"595";"Mil pessoas";"652";"Mil pessoas";"594";"Mil pessoas";"636";"Mil pessoas";"589";"Mil pessoas";"670";"Mil pessoas";"540";"Mil pessoas";"664";"Mil pessoas";"566";"Mil pessoas";"635";"Mil pessoas";"585";"Mil pessoas";"669";"Mil pessoas";"573";"Mil pessoas";"603";"Mil pessoas";"564";"Mil pessoas";"616";"Mil pessoas";"523";"Mil pessoas";"603";"Mil pessoas";"547";"Mil pessoas";"597";"Mil pessoas";"508";"Mil pessoas"
"Rio Grande do Norte";"Outra condição";"197";"Mil pessoas";"187";"Mil pessoas";"174";"Mil pessoas";"206";"Mil pessoas";"184";"Mil pessoas";"208";"Mil pessoas";"181";"Mil pessoas";"198";"Mil pessoas";"194";"Mil pessoas";"206";"Mil pessoas";"192";"Mil pessoas";"226";"Mil pessoas";"196";"Mil pessoas";"222";"Mil pessoas";"185";"Mil pessoas";"195";"Mil pessoas";"163";"Mil pessoas";"190";"Mil pessoas";"187";"Mil pessoas";"218";"Mil pessoas";"234";"Mil pessoas";"241";"Mil pessoas";"210";"Mil pessoas";"218";"Mil pessoas";"179";"Mil pessoas";"209";"Mil pessoas"
"Paraíba";"Responsável";"726";"Mil pessoas";"394";"Mil pessoas";"726";"Mil pessoas";"411";"Mil pessoas";"733";"Mil pessoas";"433";"Mil pessoas";"760";"Mil pessoas";"460";"Mil pessoas";"735";"Mil pessoas";"486";"Mil pessoas";"714";"Mil pessoas";"526";"Mil pessoas";"682";"Mil pessoas";"578";"Mil pessoas";"683";"Mil pessoas";"604";"Mil pessoas";"705";"Mil pessoas";"574";"Mil pessoas";"658";"Mil pessoas";"636";"Mil pessoas";"673";"Mil pessoas";"689";"Mil pessoas";"672";"Mil pessoas";"804";"Mil pessoas";"706";"Mil pessoas";"765";"Mil pessoas"
"Paraíba";"Cônjuge ou companheiro(a)";"134";"Mil pessoas";"643";"Mil pessoas";"134";"Mil pessoas";"637";"Mil pessoas";"154";"Mil pessoas";"633";"Mil pessoas";"164";"Mil pessoas";"646";"Mil pessoas";"189";"Mil pessoas";"626";"Mil pessoas";"216";"Mil pessoas";"600";"Mil pessoas";"266";"Mil pessoas";"558";"Mil pessoas";"302";"Mil pessoas";"534";"Mil pessoas";"286";"Mil pessoas";"567";"Mil pessoas";"294";"Mil pessoas";"509";"Mil pessoas";"343";"Mil pessoas";"491";"Mil pessoas";"364";"Mil pessoas";"461";"Mil pessoas";"361";"Mil pessoas";"488";"Mil pessoas"
"Paraíba";"Filho(a) ou enteado(a)";"784";"Mil pessoas";"728";"Mil pessoas";"808";"Mil pessoas";"727";"Mil pessoas";"777";"Mil pessoas";"706";"Mil pessoas";"765";"Mil pessoas";"710";"Mil pessoas";"747";"Mil pessoas";"730";"Mil pessoas";"769";"Mil pessoas";"688";"Mil pessoas";"771";"Mil pessoas";"700";"Mil pessoas";"760";"Mil pessoas";"692";"Mil pessoas";"762";"Mil pessoas";"728";"Mil pessoas";"822";"Mil pessoas";"690";"Mil pessoas";"779";"Mil pessoas";"662";"Mil pessoas";"738";"Mil pessoas";"650";"Mil pessoas";"782";"Mil pessoas";"621";"Mil pessoas"
"Paraíba";"Outra condição";"194";"Mil pessoas";"234";"Mil pessoas";"195";"Mil pessoas";"224";"Mil pessoas";"221";"Mil pessoas";"228";"Mil pessoas";"187";"Mil pessoas";"217";"Mil pessoas";"197";"Mil pessoas";"224";"Mil pessoas";"208";"Mil pessoas";"239";"Mil pessoas";"219";"Mil pessoas";"211";"Mil pessoas";"203";"Mil pessoas";"238";"Mil pessoas";"208";"Mil pessoas";"212";"Mil pessoas";"215";"Mil pessoas";"240";"Mil pessoas";"202";"Mil pessoas";"244";"Mil pessoas";"187";"Mil pessoas";"223";"Mil pessoas";"199";"Mil pessoas";"200";"Mil pessoas"
"Pernambuco";"Responsável";"1617";"Mil pessoas";"1044";"Mil pessoas";"1669";"Mil pessoas";"1123";"Mil pessoas";"1723";"Mil pessoas";"1183";"Mil pessoas";"1693";"Mil pessoas";"1289";"Mil pessoas";"1659";"Mil pessoas";"1337";"Mil pessoas";"1603";"Mil pessoas";"1390";"Mil pessoas";"1655";"Mil pessoas";"1399";"Mil pessoas";"1576";"Mil pessoas";"1564";"Mil pessoas";"1574";"Mil pessoas";"1537";"Mil pessoas";"1596";"Mil pessoas";"1548";"Mil pessoas";"1422";"Mil pessoas";"1790";"Mil pessoas";"1383";"Mil pessoas";"2039";"Mil pessoas";"1455";"Mil pessoas";"2073";"Mil pessoas"
"Pernambuco";"Cônjuge ou companheiro(a)";"345";"Mil pessoas";"1395";"Mil pessoas";"362";"Mil pessoas";"1382";"Mil pessoas";"400";"Mil pessoas";"1381";"Mil pessoas";"467";"Mil pessoas";"1360";"Mil pessoas";"537";"Mil pessoas";"1345";"Mil pessoas";"548";"Mil pessoas";"1263";"Mil pessoas";"540";"Mil pessoas";"1328";"Mil pessoas";"684";"Mil pessoas";"1197";"Mil pessoas";"684";"Mil pessoas";"1212";"Mil pessoas";"665";"Mil pessoas";"1166";"Mil pessoas";"858";"Mil pessoas";"988";"Mil pessoas";"935";"Mil pessoas";"880";"Mil pessoas";"931";"Mil pessoas";"926";"Mil pessoas"
"Pernambuco";"Filho(a) ou enteado(a)";"1854";"Mil pessoas";"1693";"Mil pessoas";"1835";"Mil pessoas";"1637";"Mil pessoas";"1837";"Mil pessoas";"1610";"Mil pessoas";"1739";"Mil pessoas";"1568";"Mil pessoas";"1762";"Mil pessoas";"1596";"Mil pessoas";"1750";"Mil pessoas";"1560";"Mil pessoas";"1783";"Mil pessoas";"1593";"Mil pessoas";"1737";"Mil pessoas";"1517";"Mil pessoas";"1785";"Mil pessoas";"1631";"Mil pessoas";"1779";"Mil pessoas";"1603";"Mil pessoas";"1666";"Mil pessoas";"1478";"Mil pessoas";"1717";"Mil pessoas";"1444";"Mil pessoas";"1602";"Mil pessoas";"1461";"Mil pessoas"
"Pernambuco";"Outra condição";"479";"Mil pessoas";"557";"Mil pessoas";"485";"Mil pessoas";"549";"Mil pessoas";"447";"Mil pessoas";"518";"Mil pessoas";"493";"Mil pessoas";"549";"Mil pessoas";"478";"Mil pessoas";"493";"Mil pessoas";"528";"Mil pessoas";"605";"Mil pessoas";"443";"Mil pessoas";"550";"Mil pessoas";"496";"Mil pessoas";"568";"Mil pessoas";"431";"Mil pessoas";"527";"Mil pessoas";"527";"Mil pessoas";"528";"Mil pessoas";"551";"Mil pessoas";"681";"Mil pessoas";"496";"Mil pessoas";"562";"Mil pessoas";"499";"Mil pessoas";"534";"Mil pessoas"
"Alagoas";"Responsável";"584";"Mil pessoas";"325";"Mil pessoas";"575";"Mil pessoas";"352";"Mil pessoas";"549";"Mil pessoas";"375";"Mil pessoas";"556";"Mil pessoas";"396";"Mil pessoas";"557";"Mil pessoas";"424";"Mil pessoas";"545";"Mil pessoas";"461";"Mil pessoas";"560";"Mil pessoas";"475";"Mil pessoas";"554";"Mil pessoas";"502";"Mil pessoas";"531";"Mil pessoas";"461";"Mil pessoas";"492";"Mil pessoas";"511";"Mil pessoas";"468";"Mil pessoas";"572";"Mil pessoas";"454";"Mil pessoas";"649";"Mil pessoas";"472";"Mil pessoas";"630";"Mil pessoas"
"Alagoas";"Cônjuge ou companheiro(a)";"102";"Mil pessoas";"496";"Mil pessoas";"122";"Mil pessoas";"477";"Mil pessoas";"140";"Mil pessoas";"473";"Mil pessoas";"148";"Mil pessoas";"466";"Mil pessoas";"169";"Mil pessoas";"460";"Mil pessoas";"195";"Mil pessoas";"428";"Mil pessoas";"203";"Mil pessoas";"420";"Mil pessoas";"203";"Mil pessoas";"407";"Mil pessoas";"195";"Mil pessoas";"425";"Mil pessoas";"236";"Mil pessoas";"388";"Mil pessoas";"284";"Mil pessoas";"339";"Mil pessoas";"314";"Mil pessoas";"311";"Mil pessoas";"301";"Mil pessoas";"324";"Mil pessoas"
"Alagoas";"Filho(a) ou enteado(a)";"675";"Mil pessoas";"626";"Mil pessoas";"666";"Mil pessoas";"593";"Mil pessoas";"663";"Mil pessoas";"608";"Mil pessoas";"643";"Mil pessoas";"592";"Mil pessoas";"627";"Mil pessoas";"577";"Mil pessoas";"608";"Mil pessoas";"563";"Mil pessoas";"614";"Mil pessoas";"549";"Mil pessoas";"619";"Mil pessoas";"518";"Mil pessoas";"637";"Mil pessoas";"552";"Mil pessoas";"619";"Mil pessoas";"572";"Mil pessoas";"584";"Mil pessoas";"555";"Mil pessoas";"591";"Mil pessoas";"534";"Mil pessoas";"581";"Mil pessoas";"528";"Mil pessoas"
"Alagoas";"Outra condição";"155";"Mil pessoas";"183";"Mil pessoas";"179";"Mil pessoas";"191";"Mil pessoas";"168";"Mil pessoas";"189";"Mil pessoas";"174";"Mil pessoas";"199";"Mil pessoas";"175";"Mil pessoas";"190";"Mil pessoas";"188";"Mil pessoas";"197";"Mil pessoas";"175";"Mil pessoas";"196";"Mil pessoas";"183";"Mil pessoas";"214";"Mil pessoas";"192";"Mil pessoas";"214";"Mil pessoas";"185";"Mil pessoas";"206";"Mil pessoas";"191";"Mil pessoas";"217";"Mil pessoas";"167";"Mil pessoas";"191";"Mil pessoas";"179";"Mil pessoas";"195";"Mil pessoas"
"Sergipe";"Responsável";"399";"Mil pessoas";"240";"Mil pessoas";"370";"Mil pessoas";"280";"Mil pessoas";"412";"Mil pessoas";"246";"Mil pessoas";"400";"Mil pessoas";"289";"Mil pessoas";"398";"Mil pessoas";"325";"Mil pessoas";"399";"Mil pessoas";"335";"Mil pessoas";"386";"Mil pessoas";"340";"Mil pessoas";"349";"Mil pessoas";"402";"Mil pessoas";"351";"Mil pessoas";"390";"Mil pessoas";"360";"Mil pessoas";"392";"Mil pessoas";"367";"Mil pessoas";"421";"Mil pessoas";"338";"Mil pessoas";"484";"Mil pessoas";"351";"Mil pessoas";"478";"Mil pessoas"
"Sergipe";"Cônjuge ou companheiro(a)";"87";"Mil pessoas";"333";"Mil pessoas";"94";"Mil pessoas";"301";"Mil pessoas";"88";"Mil pessoas";"338";"Mil pessoas";"115";"Mil pessoas";"322";"Mil pessoas";"137";"Mil pessoas";"306";"Mil pessoas";"127";"Mil pessoas";"304";"Mil pessoas";"143";"Mil pessoas";"293";"Mil pessoas";"185";"Mil pessoas";"250";"Mil pessoas";"179";"Mil pessoas";"263";"Mil pessoas";"180";"Mil pessoas";"253";"Mil pessoas";"176";"Mil pessoas";"252";"Mil pessoas";"223";"Mil pessoas";"209";"Mil pessoas";"205";"Mil pessoas";"226";"Mil pessoas"
"Sergipe";"Filho(a) ou enteado(a)";"457";"Mil pessoas";"407";"Mil pessoas";"473";"Mil pessoas";"412";"Mil pessoas";"451";"Mil pessoas";"407";"Mil pessoas";"423";"Mil pessoas";"404";"Mil pessoas";"431";"Mil pessoas";"390";"Mil pessoas";"432";"Mil pessoas";"382";"Mil pessoas";"431";"Mil pessoas";"397";"Mil pessoas";"449";"Mil pessoas";"391";"Mil pessoas";"458";"Mil pessoas";"395";"Mil pessoas";"444";"Mil pessoas";"400";"Mil pessoas";"425";"Mil pessoas";"379";"Mil pessoas";"411";"Mil pessoas";"360";"Mil pessoas";"416";"Mil pessoas";"365";"Mil pessoas"
"Sergipe";"Outra condição";"93";"Mil pessoas";"109";"Mil pessoas";"103";"Mil pessoas";"112";"Mil pessoas";"110";"Mil pessoas";"112";"Mil pessoas";"109";"Mil pessoas";"120";"Mil pessoas";"101";"Mil pessoas";"112";"Mil pessoas";"110";"Mil pessoas";"124";"Mil pessoas";"108";"Mil pessoas";"128";"Mil pessoas";"101";"Mil pessoas";"113";"Mil pessoas";"101";"Mil pessoas";"116";"Mil pessoas";"100";"Mil pessoas";"136";"Mil pessoas";"123";"Mil pessoas";"131";"Mil pessoas";"127";"Mil pessoas";"129";"Mil pessoas";"120";"Mil pessoas";"131";"Mil pessoas"
"Bahia";"Responsável";"2674";"Mil pessoas";"1706";"Mil pessoas";"2690";"Mil pessoas";"1756";"Mil pessoas";"2763";"Mil pessoas";"1796";"Mil pessoas";"2940";"Mil pessoas";"1729";"Mil pessoas";"2747";"Mil pessoas";"2007";"Mil pessoas";"2719";"Mil pessoas";"2076";"Mil pessoas";"2666";"Mil pessoas";"2164";"Mil pessoas";"2614";"Mil pessoas";"2383";"Mil pessoas";"2713";"Mil pessoas";"2397";"Mil pessoas";"2509";"Mil pessoas";"2434";"Mil pessoas";"2552";"Mil pessoas";"2630";"Mil pessoas";"2509";"Mil pessoas";"2868";"Mil pessoas";"2554";"Mil pessoas";"2959";"Mil pessoas"
"Bahia";"Cônjuge ou companheiro(a)";"544";"Mil pessoas";"2163";"Mil pessoas";"561";"Mil pessoas";"2197";"Mil pessoas";"619";"Mil pessoas";"2208";"Mil pessoas";"518";"Mil pessoas";"2323";"Mil pessoas";"729";"Mil pessoas";"2100";"Mil pessoas";"807";"Mil pessoas";"2102";"Mil pessoas";"853";"Mil pessoas";"2000";"Mil pessoas";"1031";"Mil pessoas";"1901";"Mil pessoas";"947";"Mil pessoas";"1988";"Mil pessoas";"1008";"Mil pessoas";"1835";"Mil pessoas";"1140";"Mil pessoas";"1732";"Mil pessoas";"1194";"Mil pessoas";"1636";"Mil pessoas";"1237";"Mil pessoas";"1639";"Mil pessoas"
"Bahia";"Filho(a) ou enteado(a)";"2892";"Mil pessoas";"2602";"Mil pessoas";"3011";"Mil pessoas";"2545";"Mil pessoas";"2883";"Mil pessoas";"2596";"Mil pessoas";"2842";"Mil pessoas";"2521";"Mil pessoas";"2828";"Mil pessoas";"2580";"Mil pessoas";"2813";"Mil pessoas";"2451";"Mil pessoas";"2824";"Mil pessoas";"2517";"Mil pessoas";"2793";"Mil pessoas";"2404";"Mil pessoas";"2838";"Mil pessoas";"2460";"Mil pessoas";"2810";"Mil pessoas";"2495";"Mil pessoas";"2627";"Mil pessoas";"2363";"Mil pessoas";"2658";"Mil pessoas";"2397";"Mil pessoas";"2555";"Mil pessoas";"2294";"Mil pessoas"
"Bahia";"Outra condição";"842";"Mil pessoas";"851";"Mil pessoas";"794";"Mil pessoas";"779";"Mil pessoas";"758";"Mil pessoas";"767";"Mil pessoas";"783";"Mil pessoas";"795";"Mil pessoas";"750";"Mil pessoas";"765";"Mil pessoas";"782";"Mil pessoas";"808";"Mil pessoas";"814";"Mil pessoas";"775";"Mil pessoas";"755";"Mil pessoas";"792";"Mil pessoas";"677";"Mil pessoas";"709";"Mil pessoas";"819";"Mil pessoas";"856";"Mil pessoas";"851";"Mil pessoas";"895";"Mil pessoas";"754";"Mil pessoas";"791";"Mil pessoas";"768";"Mil pessoas";"823";"Mil pessoas"
"Minas Gerais";"Responsável";"4333";"Mil pessoas";"2044";"Mil pessoas";"4392";"Mil pessoas";"2148";"Mil pessoas";"4418";"Mil pessoas";"2272";"Mil pessoas";"4513";"Mil pessoas";"2359";"Mil pessoas";"4343";"Mil pessoas";"2488";"Mil pessoas";"4207";"Mil pessoas";"2724";"Mil pessoas";"4137";"Mil pessoas";"2935";"Mil pessoas";"4093";"Mil pessoas";"3096";"Mil pessoas";"4179";"Mil pessoas";"3147";"Mil pessoas";"4120";"Mil pessoas";"3230";"Mil pessoas";"3963";"Mil pessoas";"3534";"Mil pessoas";"4188";"Mil pessoas";"3644";"Mil pessoas";"4260";"Mil pessoas";"3760";"Mil pessoas"
"Minas Gerais";"Cônjuge ou companheiro(a)";"526";"Mil pessoas";"3548";"Mil pessoas";"603";"Mil pessoas";"3537";"Mil pessoas";"599";"Mil pessoas";"3613";"Mil pessoas";"673";"Mil pessoas";"3670";"Mil pessoas";"811";"Mil pessoas";"3462";"Mil pessoas";"1007";"Mil pessoas";"3300";"Mil pessoas";"1191";"Mil pessoas";"3212";"Mil pessoas";"1353";"Mil pessoas";"3118";"Mil pessoas";"1312";"Mil pessoas";"3138";"Mil pessoas";"1325";"Mil pessoas";"3051";"Mil pessoas";"1608";"Mil pessoas";"2723";"Mil pessoas";"1601";"Mil pessoas";"2876";"Mil pessoas";"1654";"Mil pessoas";"2817";"Mil pessoas"
"Minas Gerais";"Filho(a) ou enteado(a)";"4072";"Mil pessoas";"3586";"Mil pessoas";"4039";"Mil pessoas";"3558";"Mil pessoas";"4067";"Mil pessoas";"3549";"Mil pessoas";"3938";"Mil pessoas";"3473";"Mil pessoas";"3991";"Mil pessoas";"3593";"Mil pessoas";"4045";"Mil pessoas";"3486";"Mil pessoas";"3879";"Mil pessoas";"3447";"Mil pessoas";"3974";"Mil pessoas";"3377";"Mil pessoas";"4047";"Mil pessoas";"3359";"Mil pessoas";"3983";"Mil pessoas";"3433";"Mil pessoas";"3870";"Mil pessoas";"3234";"Mil pessoas";"3723";"Mil pessoas";"3168";"Mil pessoas";"3639";"Mil pessoas";"3230";"Mil pessoas"
"Minas Gerais";"Outra condição";"961";"Mil pessoas";"1013";"Mil pessoas";"931";"Mil pessoas";"997";"Mil pessoas";"897";"Mil pessoas";"915";"Mil pessoas";"900";"Mil pessoas";"933";"Mil pessoas";"926";"Mil pessoas";"963";"Mil pessoas";"919";"Mil pessoas";"995";"Mil pessoas";"978";"Mil pessoas";"1012";"Mil pessoas";"941";"Mil pessoas";"954";"Mil pessoas";"897";"Mil pessoas";"940";"Mil pessoas";"951";"Mil pessoas";"1012";"Mil pessoas";"1106";"Mil pessoas";"1129";"Mil pessoas";"1008";"Mil pessoas";"1026";"Mil pessoas";"909";"Mil pessoas";"1041";"Mil pessoas"
"Espírito Santo";"Responsável";"790";"Mil pessoas";"393";"Mil pessoas";"828";"Mil pessoas";"399";"Mil pessoas";"825";"Mil pessoas";"438";"Mil pessoas";"827";"Mil pessoas";"462";"Mil pessoas";"804";"Mil pessoas";"513";"Mil pessoas";"797";"Mil pessoas";"515";"Mil pessoas";"788";"Mil pessoas";"562";"Mil pessoas";"766";"Mil pessoas";"600";"Mil pessoas";"808";"Mil pessoas";"589";"Mil pessoas";"738";"Mil pessoas";"653";"Mil pessoas";"740";"Mil pessoas";"674";"Mil pessoas";"752";"Mil pessoas";"733";"Mil pessoas";"751";"Mil pessoas";"757";"Mil pessoas"
"Espírito Santo";"Cônjuge ou companheiro(a)";"135";"Mil pessoas";"667";"Mil pessoas";"139";"Mil pessoas";"686";"Mil pessoas";"145";"Mil pessoas";"684";"Mil pessoas";"164";"Mil pessoas";"682";"Mil pessoas";"199";"Mil pessoas";"654";"Mil pessoas";"221";"Mil pessoas";"649";"Mil pessoas";"263";"Mil pessoas";"626";"Mil pessoas";"289";"Mil pessoas";"614";"Mil pessoas";"276";"Mil pessoas";"652";"Mil pessoas";"308";"Mil pessoas";"552";"Mil pessoas";"338";"Mil pessoas";"563";"Mil pessoas";"357";"Mil pessoas";"539";"Mil pessoas";"396";"Mil pessoas";"519";"Mil pessoas"
"Espírito Santo";"Filho(a) ou enteado(a)";"751";"Mil pessoas";"642";"Mil pessoas";"737";"Mil pessoas";"642";"Mil pessoas";"744";"Mil pessoas";"623";"Mil pessoas";"734";"Mil pessoas";"643";"Mil pessoas";"731";"Mil pessoas";"632";"Mil pessoas";"747";"Mil pessoas";"628";"Mil pessoas";"715";"Mil pessoas";"656";"Mil pessoas";"699";"Mil pessoas";"653";"Mil pessoas";"732";"Mil pessoas";"646";"Mil pessoas";"758";"Mil pessoas";"657";"Mil pessoas";"721";"Mil pessoas";"632";"Mil pessoas";"685";"Mil pessoas";"613";"Mil pessoas";"706";"Mil pessoas";"608";"Mil pessoas"
"Espírito Santo";"Outra condição";"158";"Mil pessoas";"176";"Mil pessoas";"160";"Mil pessoas";"159";"Mil pessoas";"163";"Mil pessoas";"169";"Mil pessoas";"148";"Mil pessoas";"170";"Mil pessoas";"159";"Mil pessoas";"175";"Mil pessoas";"164";"Mil pessoas";"179";"Mil pessoas";"150";"Mil pessoas";"172";"Mil pessoas";"166";"Mil pessoas";"178";"Mil pessoas";"132";"Mil pessoas";"161";"Mil pessoas";"165";"Mil pessoas";"191";"Mil pessoas";"178";"Mil pessoas";"200";"Mil pessoas";"186";"Mil pessoas";"204";"Mil pessoas";"180";"Mil pessoas";"180";"Mil pessoas"
