"Tabela 6731 - Domicílios e Moradores, por situação do domicílio e principal fonte de abastecimento de água"
"Variável - Domicílios"
"Unidade da Federação";"Principal fonte de abastecimento de água";"Ano x Situação do domicílio"
"Unidade da Federação";"Principal fonte de abastecimento de água";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Principal fonte de abastecimento de água";"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural"
"Amazonas";"Fonte ou nascente";"1";"Mil unidades";"32";"Mil unidades";"-";"Mil unidades";"30";"Mil unidades";"-";"Mil unidades";"42";"Mil unidades";"1";"Mil unidades";"47";"Mil unidades";"1";"Mil unidades";"33";"Mil unidades";"1";"Mil unidades";"38";"Mil unidades";"0";"Mil unidades";"36";"Mil unidades"
"Amazonas";"Outra";"2";"Mil unidades";"45";"Mil unidades";"0";"Mil unidades";"37";"Mil unidades";"3";"Mil unidades";"33";"Mil unidades";"3";"Mil unidades";"51";"Mil unidades";"3";"Mil unidades";"63";"Mil unidades";"8";"Mil unidades";"42";"Mil unidades";"3";"Mil unidades";"51";"Mil unidades"
"Roraima";"Total";"116";"Mil unidades";"21";"Mil unidades";"122";"Mil unidades";"21";"Mil unidades";"128";"Mil unidades";"24";"Mil unidades";"125";"Mil unidades";"25";"Mil unidades";"147";"Mil unidades";"25";"Mil unidades";"153";"Mil unidades";"25";"Mil unidades";"167";"Mil unidades";"25";"Mil unidades"
"Roraima";"Rede geral de distribuição";"114";"Mil unidades";"6";"Mil unidades";"118";"Mil unidades";"8";"Mil unidades";"126";"Mil unidades";"5";"Mil unidades";"122";"Mil unidades";"8";"Mil unidades";"144";"Mil unidades";"6";"Mil unidades";"148";"Mil unidades";"4";"Mil unidades";"162";"Mil unidades";"5";"Mil unidades"
"Roraima";"Poço profundo ou artesiano";"1";"Mil unidades";"7";"Mil unidades";"1";"Mil unidades";"6";"Mil unidades";"1";"Mil unidades";"4";"Mil unidades";"0";"Mil unidades";"5";"Mil unidades";"2";"Mil unidades";"8";"Mil unidades";"3";"Mil unidades";"9";"Mil unidades";"3";"Mil unidades";"8";"Mil unidades"
"Roraima";"Poço raso, freático ou cacimba";"1";"Mil unidades";"7";"Mil unidades";"2";"Mil unidades";"6";"Mil unidades";"1";"Mil unidades";"14";"Mil unidades";"2";"Mil unidades";"11";"Mil unidades";"0";"Mil unidades";"11";"Mil unidades";"1";"Mil unidades";"11";"Mil unidades";"2";"Mil unidades";"12";"Mil unidades"
"Roraima";"Fonte ou nascente";"-";"Mil unidades";"0";"Mil unidades";"0";"Mil unidades";"0";"Mil unidades";"-";"Mil unidades";"0";"Mil unidades";"-";"Mil unidades";"1";"Mil unidades";"-";"Mil unidades";"0";"Mil unidades";"0";"Mil unidades";"1";"Mil unidades";"-";"Mil unidades";"1";"Mil unidades"
"Roraima";"Outra";"-";"Mil unidades";"0";"Mil unidades";"0";"Mil unidades";"0";"Mil unidades";"0";"Mil unidades";"1";"Mil unidades";"0";"Mil unidades";"0";"Mil unidades";"0";"Mil unidades";"0";"Mil unidades";"0";"Mil unidades";"1";"Mil unidades";"0";"Mil unidades";"0";"Mil unidades"
"Pará";"Total";"1600";"Mil unidades";"645";"Mil unidades";"1655";"Mil unidades";"624";"Mil unidades";"1711";"Mil unidades";"639";"Mil unidades";"1753";"Mil unidades";"672";"Mil unidades";"1907";"Mil unidades";"627";"Mil unidades";"1996";"Mil unidades";"638";"Mil unidades";"2077";"Mil unidades";"642";"Mil unidades"
"Pará";"Rede geral de distribuição";"960";"Mil unidades";"189";"Mil unidades";"947";"Mil unidades";"168";"Mil unidades";"980";"Mil unidades";"190";"Mil unidades";"1003";"Mil unidades";"197";"Mil unidades";"1111";"Mil unidades";"181";"Mil unidades";"1146";"Mil unidades";"156";"Mil unidades";"1224";"Mil unidades";"192";"Mil unidades"
