"Tabela 7129 - Pessoas de 14 anos ou mais de idade, por cor ou raça e nível de instrução"
"Variável - Pessoas de 14 anos ou mais de idade"
"Unidade da Federação";"Nível de instrução";"Ano x Cor ou raça"
"Unidade da Federação";"Nível de instrução";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Nível de instrução";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Amazonas";"Ensino fundamental incompleto ou equivalente";"93";"Mil pessoas";"683";"Mil pessoas";"99";"Mil pessoas";"706";"Mil pessoas";"99";"Mil pessoas";"716";"Mil pessoas";"94";"Mil pessoas";"707";"Mil pessoas";"89";"Mil pessoas";"633";"Mil pessoas";"92";"Mil pessoas";"618";"Mil pessoas";"82";"Mil pessoas";"573";"Mil pessoas"
"Amazonas";"Ensino fundamental completo ou equivalente";"39";"Mil pessoas";"235";"Mil pessoas";"33";"Mil pessoas";"203";"Mil pessoas";"31";"Mil pessoas";"203";"Mil pessoas";"35";"Mil pessoas";"202";"Mil pessoas";"35";"Mil pessoas";"196";"Mil pessoas";"34";"Mil pessoas";"194";"Mil pessoas";"34";"Mil pessoas";"195";"Mil pessoas"
"Amazonas";"Ensino médio incompleto ou equivalente";"35";"Mil pessoas";"208";"Mil pessoas";"36";"Mil pessoas";"222";"Mil pessoas";"38";"Mil pessoas";"230";"Mil pessoas";"30";"Mil pessoas";"244";"Mil pessoas";"41";"Mil pessoas";"237";"Mil pessoas";"40";"Mil pessoas";"236";"Mil pessoas";"37";"Mil pessoas";"230";"Mil pessoas"
"Amazonas";"Ensino médio completo ou equivalente";"135";"Mil pessoas";"665";"Mil pessoas";"133";"Mil pessoas";"734";"Mil pessoas";"139";"Mil pessoas";"765";"Mil pessoas";"142";"Mil pessoas";"779";"Mil pessoas";"198";"Mil pessoas";"881";"Mil pessoas";"179";"Mil pessoas";"935";"Mil pessoas";"220";"Mil pessoas";"1002";"Mil pessoas"
"Amazonas";"Ensino superior incompleto ou equivalente";"30";"Mil pessoas";"112";"Mil pessoas";"44";"Mil pessoas";"113";"Mil pessoas";"42";"Mil pessoas";"122";"Mil pessoas";"43";"Mil pessoas";"145";"Mil pessoas";"37";"Mil pessoas";"136";"Mil pessoas";"34";"Mil pessoas";"131";"Mil pessoas";"35";"Mil pessoas";"128";"Mil pessoas"
"Amazonas";"Superior completo";"78";"Mil pessoas";"170";"Mil pessoas";"105";"Mil pessoas";"177";"Mil pessoas";"95";"Mil pessoas";"220";"Mil pessoas";"116";"Mil pessoas";"226";"Mil pessoas";"111";"Mil pessoas";"280";"Mil pessoas";"109";"Mil pessoas";"297";"Mil pessoas";"119";"Mil pessoas";"322";"Mil pessoas"
"Roraima";"Sem instrução";"3";"Mil pessoas";"18";"Mil pessoas";"3";"Mil pessoas";"15";"Mil pessoas";"3";"Mil pessoas";"15";"Mil pessoas";"3";"Mil pessoas";"15";"Mil pessoas";"3";"Mil pessoas";"15";"Mil pessoas";"4";"Mil pessoas";"14";"Mil pessoas";"4";"Mil pessoas";"13";"Mil pessoas"
"Roraima";"Ensino fundamental incompleto ou equivalente";"15";"Mil pessoas";"65";"Mil pessoas";"14";"Mil pessoas";"66";"Mil pessoas";"14";"Mil pessoas";"70";"Mil pessoas";"13";"Mil pessoas";"64";"Mil pessoas";"13";"Mil pessoas";"64";"Mil pessoas";"14";"Mil pessoas";"65";"Mil pessoas";"14";"Mil pessoas";"70";"Mil pessoas"
"Roraima";"Ensino fundamental completo ou equivalente";"6";"Mil pessoas";"24";"Mil pessoas";"6";"Mil pessoas";"23";"Mil pessoas";"6";"Mil pessoas";"22";"Mil pessoas";"4";"Mil pessoas";"22";"Mil pessoas";"6";"Mil pessoas";"31";"Mil pessoas";"6";"Mil pessoas";"27";"Mil pessoas";"8";"Mil pessoas";"23";"Mil pessoas"
"Roraima";"Ensino médio incompleto ou equivalente";"7";"Mil pessoas";"24";"Mil pessoas";"7";"Mil pessoas";"29";"Mil pessoas";"8";"Mil pessoas";"26";"Mil pessoas";"7";"Mil pessoas";"30";"Mil pessoas";"8";"Mil pessoas";"32";"Mil pessoas";"7";"Mil pessoas";"36";"Mil pessoas";"10";"Mil pessoas";"36";"Mil pessoas"
