"Tabela 7129 - Pessoas de 14 anos ou mais de idade, por cor ou raça e nível de instrução"
"Variável - Pessoas de 14 anos ou mais de idade"
"Unidade da Federação";"Nível de instrução";"Ano x Cor ou raça"
"Unidade da Federação";"Nível de instrução";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Nível de instrução";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Piauí";"Ensino fundamental incompleto ou equivalente";"154";"Mil pessoas";"836";"Mil pessoas";"167";"Mil pessoas";"811";"Mil pessoas";"133";"Mil pessoas";"833";"Mil pessoas";"139";"Mil pessoas";"824";"Mil pessoas";"146";"Mil pessoas";"726";"Mil pessoas";"139";"Mil pessoas";"687";"Mil pessoas";"139";"Mil pessoas";"721";"Mil pessoas"
"Piauí";"Ensino fundamental completo ou equivalente";"43";"Mil pessoas";"178";"Mil pessoas";"45";"Mil pessoas";"187";"Mil pessoas";"35";"Mil pessoas";"197";"Mil pessoas";"34";"Mil pessoas";"176";"Mil pessoas";"46";"Mil pessoas";"155";"Mil pessoas";"42";"Mil pessoas";"157";"Mil pessoas";"46";"Mil pessoas";"162";"Mil pessoas"
"Piauí";"Ensino médio incompleto ou equivalente";"36";"Mil pessoas";"181";"Mil pessoas";"35";"Mil pessoas";"173";"Mil pessoas";"31";"Mil pessoas";"178";"Mil pessoas";"32";"Mil pessoas";"177";"Mil pessoas";"40";"Mil pessoas";"179";"Mil pessoas";"36";"Mil pessoas";"173";"Mil pessoas";"38";"Mil pessoas";"194";"Mil pessoas"
"Piauí";"Ensino médio completo ou equivalente";"103";"Mil pessoas";"406";"Mil pessoas";"115";"Mil pessoas";"431";"Mil pessoas";"107";"Mil pessoas";"443";"Mil pessoas";"104";"Mil pessoas";"458";"Mil pessoas";"125";"Mil pessoas";"487";"Mil pessoas";"132";"Mil pessoas";"542";"Mil pessoas";"122";"Mil pessoas";"549";"Mil pessoas"
"Piauí";"Ensino superior incompleto ou equivalente";"28";"Mil pessoas";"69";"Mil pessoas";"27";"Mil pessoas";"66";"Mil pessoas";"24";"Mil pessoas";"85";"Mil pessoas";"27";"Mil pessoas";"102";"Mil pessoas";"24";"Mil pessoas";"85";"Mil pessoas";"32";"Mil pessoas";"86";"Mil pessoas";"33";"Mil pessoas";"97";"Mil pessoas"
"Piauí";"Superior completo";"75";"Mil pessoas";"141";"Mil pessoas";"76";"Mil pessoas";"157";"Mil pessoas";"77";"Mil pessoas";"159";"Mil pessoas";"70";"Mil pessoas";"179";"Mil pessoas";"113";"Mil pessoas";"226";"Mil pessoas";"98";"Mil pessoas";"241";"Mil pessoas";"108";"Mil pessoas";"226";"Mil pessoas"
"Ceará";"Sem instrução";"167";"Mil pessoas";"652";"Mil pessoas";"157";"Mil pessoas";"594";"Mil pessoas";"136";"Mil pessoas";"551";"Mil pessoas";"142";"Mil pessoas";"518";"Mil pessoas";"167";"Mil pessoas";"550";"Mil pessoas";"156";"Mil pessoas";"556";"Mil pessoas";"153";"Mil pessoas";"537";"Mil pessoas"
"Ceará";"Ensino fundamental incompleto ou equivalente";"509";"Mil pessoas";"1746";"Mil pessoas";"512";"Mil pessoas";"1784";"Mil pessoas";"473";"Mil pessoas";"1743";"Mil pessoas";"491";"Mil pessoas";"1719";"Mil pessoas";"493";"Mil pessoas";"1561";"Mil pessoas";"429";"Mil pessoas";"1539";"Mil pessoas";"411";"Mil pessoas";"1581";"Mil pessoas"
"Ceará";"Ensino fundamental completo ou equivalente";"174";"Mil pessoas";"620";"Mil pessoas";"176";"Mil pessoas";"552";"Mil pessoas";"170";"Mil pessoas";"541";"Mil pessoas";"160";"Mil pessoas";"527";"Mil pessoas";"176";"Mil pessoas";"511";"Mil pessoas";"146";"Mil pessoas";"488";"Mil pessoas";"140";"Mil pessoas";"502";"Mil pessoas"
"Ceará";"Ensino médio incompleto ou equivalente";"143";"Mil pessoas";"437";"Mil pessoas";"159";"Mil pessoas";"462";"Mil pessoas";"133";"Mil pessoas";"505";"Mil pessoas";"153";"Mil pessoas";"478";"Mil pessoas";"165";"Mil pessoas";"473";"Mil pessoas";"156";"Mil pessoas";"541";"Mil pessoas";"131";"Mil pessoas";"558";"Mil pessoas"
"Ceará";"Ensino médio completo ou equivalente";"508";"Mil pessoas";"1224";"Mil pessoas";"504";"Mil pessoas";"1321";"Mil pessoas";"549";"Mil pessoas";"1346";"Mil pessoas";"503";"Mil pessoas";"1425";"Mil pessoas";"598";"Mil pessoas";"1626";"Mil pessoas";"602";"Mil pessoas";"1629";"Mil pessoas";"550";"Mil pessoas";"1704";"Mil pessoas"
"Ceará";"Ensino superior incompleto ou equivalente";"104";"Mil pessoas";"174";"Mil pessoas";"118";"Mil pessoas";"193";"Mil pessoas";"124";"Mil pessoas";"220";"Mil pessoas";"121";"Mil pessoas";"223";"Mil pessoas";"133";"Mil pessoas";"213";"Mil pessoas";"121";"Mil pessoas";"231";"Mil pessoas";"124";"Mil pessoas";"223";"Mil pessoas"
"Ceará";"Superior completo";"233";"Mil pessoas";"254";"Mil pessoas";"251";"Mil pessoas";"308";"Mil pessoas";"276";"Mil pessoas";"375";"Mil pessoas";"319";"Mil pessoas";"390";"Mil pessoas";"363";"Mil pessoas";"430";"Mil pessoas";"339";"Mil pessoas";"486";"Mil pessoas";"398";"Mil pessoas";"478";"Mil pessoas"
"Rio Grande do Norte";"Sem instrução";"72";"Mil pessoas";"153";"Mil pessoas";"56";"Mil pessoas";"133";"Mil pessoas";"49";"Mil pessoas";"112";"Mil pessoas";"52";"Mil pessoas";"137";"Mil pessoas";"64";"Mil pessoas";"140";"Mil pessoas";"64";"Mil pessoas";"159";"Mil pessoas";"75";"Mil pessoas";"138";"Mil pessoas"
"Rio Grande do Norte";"Ensino fundamental incompleto ou equivalente";"283";"Mil pessoas";"697";"Mil pessoas";"308";"Mil pessoas";"727";"Mil pessoas";"319";"Mil pessoas";"726";"Mil pessoas";"298";"Mil pessoas";"699";"Mil pessoas";"262";"Mil pessoas";"642";"Mil pessoas";"268";"Mil pessoas";"631";"Mil pessoas";"270";"Mil pessoas";"562";"Mil pessoas"
"Rio Grande do Norte";"Ensino fundamental completo ou equivalente";"76";"Mil pessoas";"126";"Mil pessoas";"74";"Mil pessoas";"139";"Mil pessoas";"73";"Mil pessoas";"138";"Mil pessoas";"66";"Mil pessoas";"145";"Mil pessoas";"72";"Mil pessoas";"167";"Mil pessoas";"70";"Mil pessoas";"149";"Mil pessoas";"67";"Mil pessoas";"154";"Mil pessoas"
"Rio Grande do Norte";"Ensino médio incompleto ou equivalente";"82";"Mil pessoas";"161";"Mil pessoas";"75";"Mil pessoas";"159";"Mil pessoas";"70";"Mil pessoas";"137";"Mil pessoas";"86";"Mil pessoas";"148";"Mil pessoas";"79";"Mil pessoas";"185";"Mil pessoas";"80";"Mil pessoas";"168";"Mil pessoas";"84";"Mil pessoas";"166";"Mil pessoas"
"Rio Grande do Norte";"Ensino médio completo ou equivalente";"286";"Mil pessoas";"400";"Mil pessoas";"262";"Mil pessoas";"429";"Mil pessoas";"278";"Mil pessoas";"420";"Mil pessoas";"258";"Mil pessoas";"409";"Mil pessoas";"305";"Mil pessoas";"479";"Mil pessoas";"315";"Mil pessoas";"513";"Mil pessoas";"330";"Mil pessoas";"521";"Mil pessoas"
"Rio Grande do Norte";"Ensino superior incompleto ou equivalente";"48";"Mil pessoas";"66";"Mil pessoas";"55";"Mil pessoas";"59";"Mil pessoas";"55";"Mil pessoas";"86";"Mil pessoas";"65";"Mil pessoas";"71";"Mil pessoas";"73";"Mil pessoas";"66";"Mil pessoas";"64";"Mil pessoas";"67";"Mil pessoas";"65";"Mil pessoas";"75";"Mil pessoas"
"Rio Grande do Norte";"Superior completo";"132";"Mil pessoas";"134";"Mil pessoas";"131";"Mil pessoas";"136";"Mil pessoas";"162";"Mil pessoas";"141";"Mil pessoas";"179";"Mil pessoas";"174";"Mil pessoas";"185";"Mil pessoas";"171";"Mil pessoas";"193";"Mil pessoas";"177";"Mil pessoas";"199";"Mil pessoas";"226";"Mil pessoas"
"Paraíba";"Sem instrução";"91";"Mil pessoas";"238";"Mil pessoas";"86";"Mil pessoas";"228";"Mil pessoas";"85";"Mil pessoas";"243";"Mil pessoas";"77";"Mil pessoas";"228";"Mil pessoas";"78";"Mil pessoas";"245";"Mil pessoas";"85";"Mil pessoas";"237";"Mil pessoas";"73";"Mil pessoas";"212";"Mil pessoas"
"Paraíba";"Ensino fundamental incompleto ou equivalente";"347";"Mil pessoas";"838";"Mil pessoas";"313";"Mil pessoas";"856";"Mil pessoas";"321";"Mil pessoas";"842";"Mil pessoas";"334";"Mil pessoas";"856";"Mil pessoas";"306";"Mil pessoas";"784";"Mil pessoas";"286";"Mil pessoas";"755";"Mil pessoas";"284";"Mil pessoas";"753";"Mil pessoas"
"Paraíba";"Ensino fundamental completo ou equivalente";"71";"Mil pessoas";"167";"Mil pessoas";"74";"Mil pessoas";"175";"Mil pessoas";"77";"Mil pessoas";"151";"Mil pessoas";"67";"Mil pessoas";"160";"Mil pessoas";"60";"Mil pessoas";"171";"Mil pessoas";"71";"Mil pessoas";"154";"Mil pessoas";"82";"Mil pessoas";"160";"Mil pessoas"
"Paraíba";"Ensino médio incompleto ou equivalente";"76";"Mil pessoas";"161";"Mil pessoas";"72";"Mil pessoas";"156";"Mil pessoas";"70";"Mil pessoas";"156";"Mil pessoas";"75";"Mil pessoas";"156";"Mil pessoas";"78";"Mil pessoas";"209";"Mil pessoas";"81";"Mil pessoas";"197";"Mil pessoas";"83";"Mil pessoas";"185";"Mil pessoas"
"Paraíba";"Ensino médio completo ou equivalente";"238";"Mil pessoas";"427";"Mil pessoas";"233";"Mil pessoas";"454";"Mil pessoas";"245";"Mil pessoas";"487";"Mil pessoas";"230";"Mil pessoas";"477";"Mil pessoas";"257";"Mil pessoas";"542";"Mil pessoas";"276";"Mil pessoas";"557";"Mil pessoas";"287";"Mil pessoas";"572";"Mil pessoas"
"Paraíba";"Ensino superior incompleto ou equivalente";"62";"Mil pessoas";"75";"Mil pessoas";"60";"Mil pessoas";"79";"Mil pessoas";"57";"Mil pessoas";"80";"Mil pessoas";"55";"Mil pessoas";"88";"Mil pessoas";"47";"Mil pessoas";"79";"Mil pessoas";"58";"Mil pessoas";"76";"Mil pessoas";"63";"Mil pessoas";"84";"Mil pessoas"
"Paraíba";"Superior completo";"145";"Mil pessoas";"125";"Mil pessoas";"146";"Mil pessoas";"169";"Mil pessoas";"138";"Mil pessoas";"170";"Mil pessoas";"152";"Mil pessoas";"189";"Mil pessoas";"160";"Mil pessoas";"171";"Mil pessoas";"178";"Mil pessoas";"178";"Mil pessoas";"197";"Mil pessoas";"207";"Mil pessoas"
"Pernambuco";"Sem instrução";"184";"Mil pessoas";"537";"Mil pessoas";"165";"Mil pessoas";"546";"Mil pessoas";"155";"Mil pessoas";"449";"Mil pessoas";"148";"Mil pessoas";"450";"Mil pessoas";"204";"Mil pessoas";"468";"Mil pessoas";"184";"Mil pessoas";"417";"Mil pessoas";"158";"Mil pessoas";"397";"Mil pessoas"
"Pernambuco";"Ensino fundamental incompleto ou equivalente";"613";"Mil pessoas";"1907";"Mil pessoas";"592";"Mil pessoas";"1916";"Mil pessoas";"622";"Mil pessoas";"1800";"Mil pessoas";"605";"Mil pessoas";"1744";"Mil pessoas";"610";"Mil pessoas";"1639";"Mil pessoas";"647";"Mil pessoas";"1576";"Mil pessoas";"632";"Mil pessoas";"1630";"Mil pessoas"
"Pernambuco";"Ensino fundamental completo ou equivalente";"178";"Mil pessoas";"444";"Mil pessoas";"150";"Mil pessoas";"450";"Mil pessoas";"167";"Mil pessoas";"404";"Mil pessoas";"157";"Mil pessoas";"451";"Mil pessoas";"177";"Mil pessoas";"424";"Mil pessoas";"175";"Mil pessoas";"422";"Mil pessoas";"182";"Mil pessoas";"423";"Mil pessoas"
"Pernambuco";"Ensino médio incompleto ou equivalente";"150";"Mil pessoas";"409";"Mil pessoas";"150";"Mil pessoas";"437";"Mil pessoas";"155";"Mil pessoas";"411";"Mil pessoas";"143";"Mil pessoas";"433";"Mil pessoas";"169";"Mil pessoas";"411";"Mil pessoas";"173";"Mil pessoas";"426";"Mil pessoas";"183";"Mil pessoas";"425";"Mil pessoas"
"Pernambuco";"Ensino médio completo ou equivalente";"581";"Mil pessoas";"1339";"Mil pessoas";"590";"Mil pessoas";"1431";"Mil pessoas";"644";"Mil pessoas";"1449";"Mil pessoas";"677";"Mil pessoas";"1472";"Mil pessoas";"769";"Mil pessoas";"1612";"Mil pessoas";"832";"Mil pessoas";"1614";"Mil pessoas";"773";"Mil pessoas";"1670";"Mil pessoas"
"Pernambuco";"Ensino superior incompleto ou equivalente";"133";"Mil pessoas";"150";"Mil pessoas";"106";"Mil pessoas";"160";"Mil pessoas";"154";"Mil pessoas";"192";"Mil pessoas";"145";"Mil pessoas";"200";"Mil pessoas";"138";"Mil pessoas";"164";"Mil pessoas";"142";"Mil pessoas";"186";"Mil pessoas";"151";"Mil pessoas";"196";"Mil pessoas"
"Pernambuco";"Superior completo";"361";"Mil pessoas";"342";"Mil pessoas";"371";"Mil pessoas";"324";"Mil pessoas";"407";"Mil pessoas";"408";"Mil pessoas";"423";"Mil pessoas";"421";"Mil pessoas";"394";"Mil pessoas";"423";"Mil pessoas";"455";"Mil pessoas";"480";"Mil pessoas";"446";"Mil pessoas";"508";"Mil pessoas"
"Alagoas";"Sem instrução";"64";"Mil pessoas";"284";"Mil pessoas";"67";"Mil pessoas";"269";"Mil pessoas";"54";"Mil pessoas";"262";"Mil pessoas";"56";"Mil pessoas";"249";"Mil pessoas";"54";"Mil pessoas";"201";"Mil pessoas";"48";"Mil pessoas";"209";"Mil pessoas";"52";"Mil pessoas";"217";"Mil pessoas"
"Alagoas";"Ensino fundamental incompleto ou equivalente";"185";"Mil pessoas";"779";"Mil pessoas";"189";"Mil pessoas";"785";"Mil pessoas";"173";"Mil pessoas";"774";"Mil pessoas";"183";"Mil pessoas";"740";"Mil pessoas";"195";"Mil pessoas";"658";"Mil pessoas";"177";"Mil pessoas";"622";"Mil pessoas";"172";"Mil pessoas";"607";"Mil pessoas"
"Alagoas";"Ensino fundamental completo ou equivalente";"47";"Mil pessoas";"177";"Mil pessoas";"46";"Mil pessoas";"164";"Mil pessoas";"38";"Mil pessoas";"170";"Mil pessoas";"48";"Mil pessoas";"177";"Mil pessoas";"53";"Mil pessoas";"166";"Mil pessoas";"52";"Mil pessoas";"168";"Mil pessoas";"51";"Mil pessoas";"153";"Mil pessoas"
"Alagoas";"Ensino médio incompleto ou equivalente";"44";"Mil pessoas";"153";"Mil pessoas";"38";"Mil pessoas";"166";"Mil pessoas";"46";"Mil pessoas";"162";"Mil pessoas";"43";"Mil pessoas";"164";"Mil pessoas";"55";"Mil pessoas";"170";"Mil pessoas";"55";"Mil pessoas";"176";"Mil pessoas";"53";"Mil pessoas";"178";"Mil pessoas"
"Alagoas";"Ensino médio completo ou equivalente";"130";"Mil pessoas";"382";"Mil pessoas";"133";"Mil pessoas";"432";"Mil pessoas";"149";"Mil pessoas";"435";"Mil pessoas";"145";"Mil pessoas";"437";"Mil pessoas";"180";"Mil pessoas";"477";"Mil pessoas";"189";"Mil pessoas";"508";"Mil pessoas";"198";"Mil pessoas";"531";"Mil pessoas"
"Alagoas";"Ensino superior incompleto ou equivalente";"33";"Mil pessoas";"65";"Mil pessoas";"26";"Mil pessoas";"61";"Mil pessoas";"35";"Mil pessoas";"60";"Mil pessoas";"31";"Mil pessoas";"54";"Mil pessoas";"38";"Mil pessoas";"73";"Mil pessoas";"38";"Mil pessoas";"82";"Mil pessoas";"41";"Mil pessoas";"79";"Mil pessoas"
"Alagoas";"Superior completo";"71";"Mil pessoas";"90";"Mil pessoas";"69";"Mil pessoas";"97";"Mil pessoas";"93";"Mil pessoas";"111";"Mil pessoas";"104";"Mil pessoas";"138";"Mil pessoas";"103";"Mil pessoas";"162";"Mil pessoas";"108";"Mil pessoas";"165";"Mil pessoas";"122";"Mil pessoas";"176";"Mil pessoas"
"Sergipe";"Sem instrução";"35";"Mil pessoas";"147";"Mil pessoas";"26";"Mil pessoas";"129";"Mil pessoas";"26";"Mil pessoas";"128";"Mil pessoas";"23";"Mil pessoas";"107";"Mil pessoas";"31";"Mil pessoas";"113";"Mil pessoas";"31";"Mil pessoas";"103";"Mil pessoas";"27";"Mil pessoas";"106";"Mil pessoas"
"Sergipe";"Ensino fundamental incompleto ou equivalente";"124";"Mil pessoas";"524";"Mil pessoas";"118";"Mil pessoas";"556";"Mil pessoas";"129";"Mil pessoas";"539";"Mil pessoas";"141";"Mil pessoas";"557";"Mil pessoas";"126";"Mil pessoas";"503";"Mil pessoas";"127";"Mil pessoas";"465";"Mil pessoas";"113";"Mil pessoas";"480";"Mil pessoas"
"Sergipe";"Ensino fundamental completo ou equivalente";"31";"Mil pessoas";"114";"Mil pessoas";"26";"Mil pessoas";"121";"Mil pessoas";"21";"Mil pessoas";"117";"Mil pessoas";"28";"Mil pessoas";"108";"Mil pessoas";"36";"Mil pessoas";"114";"Mil pessoas";"32";"Mil pessoas";"116";"Mil pessoas";"37";"Mil pessoas";"119";"Mil pessoas"
"Sergipe";"Ensino médio incompleto ou equivalente";"25";"Mil pessoas";"97";"Mil pessoas";"24";"Mil pessoas";"115";"Mil pessoas";"25";"Mil pessoas";"109";"Mil pessoas";"22";"Mil pessoas";"104";"Mil pessoas";"31";"Mil pessoas";"135";"Mil pessoas";"38";"Mil pessoas";"121";"Mil pessoas";"36";"Mil pessoas";"122";"Mil pessoas"
"Sergipe";"Ensino médio completo ou equivalente";"87";"Mil pessoas";"314";"Mil pessoas";"82";"Mil pessoas";"323";"Mil pessoas";"82";"Mil pessoas";"323";"Mil pessoas";"95";"Mil pessoas";"351";"Mil pessoas";"134";"Mil pessoas";"346";"Mil pessoas";"103";"Mil pessoas";"384";"Mil pessoas";"124";"Mil pessoas";"396";"Mil pessoas"
"Sergipe";"Ensino superior incompleto ou equivalente";"16";"Mil pessoas";"60";"Mil pessoas";"22";"Mil pessoas";"63";"Mil pessoas";"20";"Mil pessoas";"59";"Mil pessoas";"24";"Mil pessoas";"61";"Mil pessoas";"28";"Mil pessoas";"67";"Mil pessoas";"27";"Mil pessoas";"62";"Mil pessoas";"30";"Mil pessoas";"64";"Mil pessoas"
"Sergipe";"Superior completo";"53";"Mil pessoas";"107";"Mil pessoas";"52";"Mil pessoas";"103";"Mil pessoas";"57";"Mil pessoas";"108";"Mil pessoas";"63";"Mil pessoas";"116";"Mil pessoas";"67";"Mil pessoas";"126";"Mil pessoas";"72";"Mil pessoas";"156";"Mil pessoas";"77";"Mil pessoas";"163";"Mil pessoas"
"Bahia";"Sem instrução";"215";"Mil pessoas";"992";"Mil pessoas";"216";"Mil pessoas";"1016";"Mil pessoas";"215";"Mil pessoas";"1041";"Mil pessoas";"182";"Mil pessoas";"981";"Mil pessoas";"245";"Mil pessoas";"913";"Mil pessoas";"247";"Mil pessoas";"979";"Mil pessoas";"189";"Mil pessoas";"898";"Mil pessoas"
"Bahia";"Ensino fundamental incompleto ou equivalente";"682";"Mil pessoas";"3392";"Mil pessoas";"642";"Mil pessoas";"3469";"Mil pessoas";"599";"Mil pessoas";"3435";"Mil pessoas";"618";"Mil pessoas";"3400";"Mil pessoas";"592";"Mil pessoas";"3005";"Mil pessoas";"592";"Mil pessoas";"2927";"Mil pessoas";"576";"Mil pessoas";"2744";"Mil pessoas"
"Bahia";"Ensino fundamental completo ou equivalente";"132";"Mil pessoas";"667";"Mil pessoas";"137";"Mil pessoas";"702";"Mil pessoas";"119";"Mil pessoas";"721";"Mil pessoas";"129";"Mil pessoas";"705";"Mil pessoas";"149";"Mil pessoas";"678";"Mil pessoas";"142";"Mil pessoas";"731";"Mil pessoas";"145";"Mil pessoas";"738";"Mil pessoas"
"Bahia";"Ensino médio incompleto ou equivalente";"157";"Mil pessoas";"838";"Mil pessoas";"154";"Mil pessoas";"858";"Mil pessoas";"157";"Mil pessoas";"813";"Mil pessoas";"141";"Mil pessoas";"836";"Mil pessoas";"180";"Mil pessoas";"915";"Mil pessoas";"159";"Mil pessoas";"808";"Mil pessoas";"160";"Mil pessoas";"950";"Mil pessoas"
"Bahia";"Ensino médio completo ou equivalente";"538";"Mil pessoas";"2465";"Mil pessoas";"553";"Mil pessoas";"2484";"Mil pessoas";"543";"Mil pessoas";"2535";"Mil pessoas";"557";"Mil pessoas";"2619";"Mil pessoas";"607";"Mil pessoas";"3041";"Mil pessoas";"659";"Mil pessoas";"3091";"Mil pessoas";"660";"Mil pessoas";"3205";"Mil pessoas"
"Bahia";"Ensino superior incompleto ou equivalente";"93";"Mil pessoas";"334";"Mil pessoas";"98";"Mil pessoas";"311";"Mil pessoas";"96";"Mil pessoas";"393";"Mil pessoas";"90";"Mil pessoas";"370";"Mil pessoas";"94";"Mil pessoas";"318";"Mil pessoas";"111";"Mil pessoas";"329";"Mil pessoas";"119";"Mil pessoas";"342";"Mil pessoas"
"Bahia";"Superior completo";"264";"Mil pessoas";"563";"Mil pessoas";"300";"Mil pessoas";"588";"Mil pessoas";"296";"Mil pessoas";"641";"Mil pessoas";"305";"Mil pessoas";"747";"Mil pessoas";"286";"Mil pessoas";"858";"Mil pessoas";"361";"Mil pessoas";"835";"Mil pessoas";"405";"Mil pessoas";"960";"Mil pessoas"
"Minas Gerais";"Sem instrução";"210";"Mil pessoas";"487";"Mil pessoas";"202";"Mil pessoas";"422";"Mil pessoas";"195";"Mil pessoas";"441";"Mil pessoas";"178";"Mil pessoas";"442";"Mil pessoas";"172";"Mil pessoas";"415";"Mil pessoas";"206";"Mil pessoas";"451";"Mil pessoas";"177";"Mil pessoas";"392";"Mil pessoas"
"Minas Gerais";"Ensino fundamental incompleto ou equivalente";"2037";"Mil pessoas";"3863";"Mil pessoas";"2032";"Mil pessoas";"3886";"Mil pessoas";"1979";"Mil pessoas";"3821";"Mil pessoas";"1984";"Mil pessoas";"3795";"Mil pessoas";"1925";"Mil pessoas";"3536";"Mil pessoas";"1880";"Mil pessoas";"3277";"Mil pessoas";"1775";"Mil pessoas";"3247";"Mil pessoas"
"Minas Gerais";"Ensino fundamental completo ou equivalente";"649";"Mil pessoas";"1157";"Mil pessoas";"609";"Mil pessoas";"1177";"Mil pessoas";"589";"Mil pessoas";"1116";"Mil pessoas";"611";"Mil pessoas";"1084";"Mil pessoas";"573";"Mil pessoas";"949";"Mil pessoas";"580";"Mil pessoas";"955";"Mil pessoas";"581";"Mil pessoas";"1002";"Mil pessoas"
"Minas Gerais";"Ensino médio incompleto ou equivalente";"460";"Mil pessoas";"850";"Mil pessoas";"490";"Mil pessoas";"884";"Mil pessoas";"478";"Mil pessoas";"905";"Mil pessoas";"434";"Mil pessoas";"950";"Mil pessoas";"525";"Mil pessoas";"940";"Mil pessoas";"506";"Mil pessoas";"970";"Mil pessoas";"496";"Mil pessoas";"975";"Mil pessoas"
"Minas Gerais";"Ensino médio completo ou equivalente";"1878";"Mil pessoas";"2380";"Mil pessoas";"1792";"Mil pessoas";"2673";"Mil pessoas";"1781";"Mil pessoas";"2780";"Mil pessoas";"1869";"Mil pessoas";"2777";"Mil pessoas";"2013";"Mil pessoas";"3061";"Mil pessoas";"2011";"Mil pessoas";"3268";"Mil pessoas";"2007";"Mil pessoas";"3312";"Mil pessoas"
"Minas Gerais";"Ensino superior incompleto ou equivalente";"467";"Mil pessoas";"434";"Mil pessoas";"408";"Mil pessoas";"442";"Mil pessoas";"428";"Mil pessoas";"430";"Mil pessoas";"441";"Mil pessoas";"472";"Mil pessoas";"398";"Mil pessoas";"427";"Mil pessoas";"417";"Mil pessoas";"459";"Mil pessoas";"400";"Mil pessoas";"474";"Mil pessoas"
"Minas Gerais";"Superior completo";"1257";"Mil pessoas";"727";"Mil pessoas";"1133";"Mil pessoas";"761";"Mil pessoas";"1335";"Mil pessoas";"826";"Mil pessoas";"1287";"Mil pessoas";"933";"Mil pessoas";"1534";"Mil pessoas";"1049";"Mil pessoas";"1571";"Mil pessoas";"1101";"Mil pessoas";"1694";"Mil pessoas";"1182";"Mil pessoas"
"Espírito Santo";"Sem instrução";"67";"Mil pessoas";"114";"Mil pessoas";"50";"Mil pessoas";"102";"Mil pessoas";"48";"Mil pessoas";"94";"Mil pessoas";"38";"Mil pessoas";"87";"Mil pessoas";"43";"Mil pessoas";"99";"Mil pessoas";"40";"Mil pessoas";"108";"Mil pessoas";"36";"Mil pessoas";"80";"Mil pessoas"
"Espírito Santo";"Ensino fundamental incompleto ou equivalente";"351";"Mil pessoas";"605";"Mil pessoas";"348";"Mil pessoas";"622";"Mil pessoas";"340";"Mil pessoas";"632";"Mil pessoas";"315";"Mil pessoas";"660";"Mil pessoas";"307";"Mil pessoas";"611";"Mil pessoas";"318";"Mil pessoas";"592";"Mil pessoas";"292";"Mil pessoas";"582";"Mil pessoas"
"Espírito Santo";"Ensino fundamental completo ou equivalente";"114";"Mil pessoas";"200";"Mil pessoas";"104";"Mil pessoas";"217";"Mil pessoas";"100";"Mil pessoas";"201";"Mil pessoas";"88";"Mil pessoas";"196";"Mil pessoas";"104";"Mil pessoas";"207";"Mil pessoas";"97";"Mil pessoas";"187";"Mil pessoas";"96";"Mil pessoas";"201";"Mil pessoas"
"Espírito Santo";"Ensino médio incompleto ou equivalente";"85";"Mil pessoas";"156";"Mil pessoas";"75";"Mil pessoas";"164";"Mil pessoas";"75";"Mil pessoas";"184";"Mil pessoas";"64";"Mil pessoas";"196";"Mil pessoas";"81";"Mil pessoas";"186";"Mil pessoas";"78";"Mil pessoas";"188";"Mil pessoas";"69";"Mil pessoas";"190";"Mil pessoas"
"Espírito Santo";"Ensino médio completo ou equivalente";"332";"Mil pessoas";"536";"Mil pessoas";"333";"Mil pessoas";"548";"Mil pessoas";"338";"Mil pessoas";"565";"Mil pessoas";"312";"Mil pessoas";"590";"Mil pessoas";"323";"Mil pessoas";"670";"Mil pessoas";"336";"Mil pessoas";"665";"Mil pessoas";"361";"Mil pessoas";"719";"Mil pessoas"
"Espírito Santo";"Ensino superior incompleto ou equivalente";"73";"Mil pessoas";"78";"Mil pessoas";"72";"Mil pessoas";"78";"Mil pessoas";"76";"Mil pessoas";"90";"Mil pessoas";"77";"Mil pessoas";"97";"Mil pessoas";"76";"Mil pessoas";"98";"Mil pessoas";"77";"Mil pessoas";"99";"Mil pessoas";"73";"Mil pessoas";"96";"Mil pessoas"
"Espírito Santo";"Superior completo";"231";"Mil pessoas";"143";"Mil pessoas";"245";"Mil pessoas";"170";"Mil pessoas";"230";"Mil pessoas";"172";"Mil pessoas";"241";"Mil pessoas";"191";"Mil pessoas";"277";"Mil pessoas";"239";"Mil pessoas";"309";"Mil pessoas";"253";"Mil pessoas";"332";"Mil pessoas";"251";"Mil pessoas"
"Rio de Janeiro";"Sem instrução";"174";"Mil pessoas";"294";"Mil pessoas";"169";"Mil pessoas";"292";"Mil pessoas";"161";"Mil pessoas";"253";"Mil pessoas";"151";"Mil pessoas";"225";"Mil pessoas";"156";"Mil pessoas";"273";"Mil pessoas";"142";"Mil pessoas";"257";"Mil pessoas";"145";"Mil pessoas";"209";"Mil pessoas"
