"Tabela 7161 - Estudantes de 15 anos ou mais de idade, por grupo de idade e situação de ocupação"
"Variável - Estudantes de 15 anos ou mais de idade"
"Unidade da Federação";"Situação de ocupação na semana de referência";"Ano x Grupo de idade"
"Unidade da Federação";"Situação de ocupação na semana de referência";"2016";;;;;;"2017";;;;;;"2018";;;;;;"2019";;;;;;"2022";;;;;;"2023";;;;;;"2024"
"Unidade da Federação";"Situação de ocupação na semana de referência";"15 a 17 anos";;"18 a 24 anos";;"25 anos ou mais";;"15 a 17 anos";;"18 a 24 anos";;"25 anos ou mais";;"15 a 17 anos";;"18 a 24 anos";;"25 anos ou mais";;"15 a 17 anos";;"18 a 24 anos";;"25 anos ou mais";;"15 a 17 anos";;"18 a 24 anos";;"25 anos ou mais";;"15 a 17 anos";;"18 a 24 anos";;"25 anos ou mais";;"15 a 17 anos";;"18 a 24 anos";;"25 anos ou mais"
"Amapá";"Ocupados";"3";"Mil pessoas";"10";"Mil pessoas";"16";"Mil pessoas";"3";"Mil pessoas";"10";"Mil pessoas";"23";"Mil pessoas";"1";"Mil pessoas";"9";"Mil pessoas";"17";"Mil pessoas";"3";"Mil pessoas";"15";"Mil pessoas";"13";"Mil pessoas";"4";"Mil pessoas";"14";"Mil pessoas";"17";"Mil pessoas";"3";"Mil pessoas";"13";"Mil pessoas";"16";"Mil pessoas";"3";"Mil pessoas";"10";"Mil pessoas";"14";"Mil pessoas"
"Amapá";"Não ocupados";"40";"Mil pessoas";"27";"Mil pessoas";"10";"Mil pessoas";"43";"Mil pessoas";"36";"Mil pessoas";"11";"Mil pessoas";"38";"Mil pessoas";"42";"Mil pessoas";"11";"Mil pessoas";"39";"Mil pessoas";"36";"Mil pessoas";"11";"Mil pessoas";"34";"Mil pessoas";"26";"Mil pessoas";"10";"Mil pessoas";"38";"Mil pessoas";"28";"Mil pessoas";"9";"Mil pessoas";"35";"Mil pessoas";"30";"Mil pessoas";"10";"Mil pessoas"
"Tocantins";"Ocupados";"7";"Mil pessoas";"26";"Mil pessoas";"30";"Mil pessoas";"6";"Mil pessoas";"23";"Mil pessoas";"31";"Mil pessoas";"10";"Mil pessoas";"26";"Mil pessoas";"38";"Mil pessoas";"11";"Mil pessoas";"20";"Mil pessoas";"25";"Mil pessoas";"11";"Mil pessoas";"33";"Mil pessoas";"44";"Mil pessoas";"15";"Mil pessoas";"29";"Mil pessoas";"40";"Mil pessoas";"16";"Mil pessoas";"34";"Mil pessoas";"47";"Mil pessoas"
"Tocantins";"Não ocupados";"73";"Mil pessoas";"32";"Mil pessoas";"12";"Mil pessoas";"69";"Mil pessoas";"36";"Mil pessoas";"13";"Mil pessoas";"64";"Mil pessoas";"34";"Mil pessoas";"9";"Mil pessoas";"63";"Mil pessoas";"33";"Mil pessoas";"10";"Mil pessoas";"64";"Mil pessoas";"39";"Mil pessoas";"13";"Mil pessoas";"60";"Mil pessoas";"27";"Mil pessoas";"9";"Mil pessoas";"57";"Mil pessoas";"31";"Mil pessoas";"11";"Mil pessoas"
"Maranhão";"Ocupados";"52";"Mil pessoas";"72";"Mil pessoas";"103";"Mil pessoas";"37";"Mil pessoas";"69";"Mil pessoas";"101";"Mil pessoas";"31";"Mil pessoas";"72";"Mil pessoas";"115";"Mil pessoas";"29";"Mil pessoas";"75";"Mil pessoas";"115";"Mil pessoas";"37";"Mil pessoas";"59";"Mil pessoas";"111";"Mil pessoas";"33";"Mil pessoas";"72";"Mil pessoas";"120";"Mil pessoas";"27";"Mil pessoas";"77";"Mil pessoas";"116";"Mil pessoas"
"Maranhão";"Não ocupados";"324";"Mil pessoas";"154";"Mil pessoas";"45";"Mil pessoas";"312";"Mil pessoas";"151";"Mil pessoas";"57";"Mil pessoas";"325";"Mil pessoas";"170";"Mil pessoas";"64";"Mil pessoas";"324";"Mil pessoas";"170";"Mil pessoas";"72";"Mil pessoas";"327";"Mil pessoas";"140";"Mil pessoas";"58";"Mil pessoas";"336";"Mil pessoas";"156";"Mil pessoas";"58";"Mil pessoas";"334";"Mil pessoas";"156";"Mil pessoas";"58";"Mil pessoas"
"Piauí";"Ocupados";"23";"Mil pessoas";"47";"Mil pessoas";"66";"Mil pessoas";"14";"Mil pessoas";"49";"Mil pessoas";"67";"Mil pessoas";"17";"Mil pessoas";"47";"Mil pessoas";"73";"Mil pessoas";"16";"Mil pessoas";"56";"Mil pessoas";"68";"Mil pessoas";"12";"Mil pessoas";"61";"Mil pessoas";"89";"Mil pessoas";"11";"Mil pessoas";"45";"Mil pessoas";"63";"Mil pessoas";"9";"Mil pessoas";"44";"Mil pessoas";"63";"Mil pessoas"
"Piauí";"Não ocupados";"124";"Mil pessoas";"84";"Mil pessoas";"27";"Mil pessoas";"144";"Mil pessoas";"83";"Mil pessoas";"32";"Mil pessoas";"139";"Mil pessoas";"90";"Mil pessoas";"32";"Mil pessoas";"117";"Mil pessoas";"86";"Mil pessoas";"34";"Mil pessoas";"129";"Mil pessoas";"69";"Mil pessoas";"55";"Mil pessoas";"130";"Mil pessoas";"74";"Mil pessoas";"32";"Mil pessoas";"130";"Mil pessoas";"71";"Mil pessoas";"28";"Mil pessoas"
"Ceará";"Ocupados";"33";"Mil pessoas";"106";"Mil pessoas";"160";"Mil pessoas";"30";"Mil pessoas";"106";"Mil pessoas";"162";"Mil pessoas";"30";"Mil pessoas";"107";"Mil pessoas";"191";"Mil pessoas";"38";"Mil pessoas";"121";"Mil pessoas";"202";"Mil pessoas";"26";"Mil pessoas";"106";"Mil pessoas";"181";"Mil pessoas";"20";"Mil pessoas";"99";"Mil pessoas";"185";"Mil pessoas";"23";"Mil pessoas";"98";"Mil pessoas";"188";"Mil pessoas"
"Ceará";"Não ocupados";"363";"Mil pessoas";"183";"Mil pessoas";"64";"Mil pessoas";"373";"Mil pessoas";"186";"Mil pessoas";"77";"Mil pessoas";"361";"Mil pessoas";"194";"Mil pessoas";"86";"Mil pessoas";"335";"Mil pessoas";"203";"Mil pessoas";"54";"Mil pessoas";"356";"Mil pessoas";"166";"Mil pessoas";"101";"Mil pessoas";"379";"Mil pessoas";"167";"Mil pessoas";"80";"Mil pessoas";"349";"Mil pessoas";"167";"Mil pessoas";"74";"Mil pessoas"
