"Tabela 7135 - Pessoas de 25 anos ou mais de idade, por cor ou raça e nível de instrução"
"Variável - Pessoas de 25 anos ou mais de idade"
"Unidade da Federação";"Nível de instrução";"Ano x Cor ou raça"
"Unidade da Federação";"Nível de instrução";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Nível de instrução";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Acre";"Ensino médio incompleto ou equivalente";"2";"Mil pessoas";"15";"Mil pessoas";"3";"Mil pessoas";"16";"Mil pessoas";"3";"Mil pessoas";"16";"Mil pessoas";"3";"Mil pessoas";"16";"Mil pessoas";"3";"Mil pessoas";"22";"Mil pessoas";"3";"Mil pessoas";"20";"Mil pessoas";"4";"Mil pessoas";"20";"Mil pessoas"
"Acre";"Ensino médio completo ou equivalente";"17";"Mil pessoas";"74";"Mil pessoas";"18";"Mil pessoas";"79";"Mil pessoas";"20";"Mil pessoas";"78";"Mil pessoas";"20";"Mil pessoas";"89";"Mil pessoas";"23";"Mil pessoas";"107";"Mil pessoas";"21";"Mil pessoas";"119";"Mil pessoas";"27";"Mil pessoas";"115";"Mil pessoas"
"Acre";"Ensino superior incompleto ou equivalente";"4";"Mil pessoas";"14";"Mil pessoas";"3";"Mil pessoas";"13";"Mil pessoas";"5";"Mil pessoas";"14";"Mil pessoas";"4";"Mil pessoas";"12";"Mil pessoas";"4";"Mil pessoas";"15";"Mil pessoas";"5";"Mil pessoas";"15";"Mil pessoas";"4";"Mil pessoas";"14";"Mil pessoas"
"Acre";"Superior completo";"15";"Mil pessoas";"39";"Mil pessoas";"18";"Mil pessoas";"41";"Mil pessoas";"17";"Mil pessoas";"48";"Mil pessoas";"21";"Mil pessoas";"54";"Mil pessoas";"26";"Mil pessoas";"73";"Mil pessoas";"22";"Mil pessoas";"63";"Mil pessoas";"27";"Mil pessoas";"68";"Mil pessoas"
"Amazonas";"Sem instrução";"21";"Mil pessoas";"148";"Mil pessoas";"18";"Mil pessoas";"120";"Mil pessoas";"17";"Mil pessoas";"129";"Mil pessoas";"8";"Mil pessoas";"101";"Mil pessoas";"18";"Mil pessoas";"109";"Mil pessoas";"18";"Mil pessoas";"113";"Mil pessoas";"15";"Mil pessoas";"113";"Mil pessoas"
"Amazonas";"Ensino fundamental incompleto ou equivalente";"64";"Mil pessoas";"487";"Mil pessoas";"70";"Mil pessoas";"516";"Mil pessoas";"78";"Mil pessoas";"523";"Mil pessoas";"68";"Mil pessoas";"527";"Mil pessoas";"70";"Mil pessoas";"473";"Mil pessoas";"62";"Mil pessoas";"475";"Mil pessoas";"61";"Mil pessoas";"446";"Mil pessoas"
"Amazonas";"Ensino fundamental completo ou equivalente";"21";"Mil pessoas";"126";"Mil pessoas";"19";"Mil pessoas";"114";"Mil pessoas";"18";"Mil pessoas";"108";"Mil pessoas";"18";"Mil pessoas";"106";"Mil pessoas";"21";"Mil pessoas";"128";"Mil pessoas";"16";"Mil pessoas";"117";"Mil pessoas";"19";"Mil pessoas";"119";"Mil pessoas"
"Amazonas";"Ensino médio incompleto ou equivalente";"10";"Mil pessoas";"67";"Mil pessoas";"10";"Mil pessoas";"74";"Mil pessoas";"9";"Mil pessoas";"85";"Mil pessoas";"6";"Mil pessoas";"87";"Mil pessoas";"14";"Mil pessoas";"89";"Mil pessoas";"14";"Mil pessoas";"89";"Mil pessoas";"11";"Mil pessoas";"77";"Mil pessoas"
"Amazonas";"Ensino médio completo ou equivalente";"100";"Mil pessoas";"495";"Mil pessoas";"101";"Mil pessoas";"543";"Mil pessoas";"109";"Mil pessoas";"577";"Mil pessoas";"110";"Mil pessoas";"578";"Mil pessoas";"149";"Mil pessoas";"655";"Mil pessoas";"137";"Mil pessoas";"680";"Mil pessoas";"156";"Mil pessoas";"752";"Mil pessoas"
"Amazonas";"Ensino superior incompleto ou equivalente";"16";"Mil pessoas";"63";"Mil pessoas";"24";"Mil pessoas";"70";"Mil pessoas";"23";"Mil pessoas";"74";"Mil pessoas";"28";"Mil pessoas";"81";"Mil pessoas";"22";"Mil pessoas";"91";"Mil pessoas";"20";"Mil pessoas";"86";"Mil pessoas";"17";"Mil pessoas";"76";"Mil pessoas"
"Amazonas";"Superior completo";"74";"Mil pessoas";"165";"Mil pessoas";"100";"Mil pessoas";"170";"Mil pessoas";"92";"Mil pessoas";"207";"Mil pessoas";"110";"Mil pessoas";"215";"Mil pessoas";"103";"Mil pessoas";"268";"Mil pessoas";"105";"Mil pessoas";"287";"Mil pessoas";"116";"Mil pessoas";"310";"Mil pessoas"
"Roraima";"Sem instrução";"3";"Mil pessoas";"17";"Mil pessoas";"3";"Mil pessoas";"15";"Mil pessoas";"2";"Mil pessoas";"15";"Mil pessoas";"3";"Mil pessoas";"14";"Mil pessoas";"3";"Mil pessoas";"15";"Mil pessoas";"4";"Mil pessoas";"14";"Mil pessoas";"4";"Mil pessoas";"12";"Mil pessoas"
"Roraima";"Ensino fundamental incompleto ou equivalente";"10";"Mil pessoas";"48";"Mil pessoas";"11";"Mil pessoas";"46";"Mil pessoas";"11";"Mil pessoas";"52";"Mil pessoas";"9";"Mil pessoas";"47";"Mil pessoas";"9";"Mil pessoas";"51";"Mil pessoas";"11";"Mil pessoas";"49";"Mil pessoas";"10";"Mil pessoas";"52";"Mil pessoas"
"Roraima";"Ensino fundamental completo ou equivalente";"3";"Mil pessoas";"11";"Mil pessoas";"3";"Mil pessoas";"11";"Mil pessoas";"3";"Mil pessoas";"12";"Mil pessoas";"2";"Mil pessoas";"11";"Mil pessoas";"3";"Mil pessoas";"17";"Mil pessoas";"3";"Mil pessoas";"17";"Mil pessoas";"5";"Mil pessoas";"14";"Mil pessoas"
"Roraima";"Ensino médio incompleto ou equivalente";"2";"Mil pessoas";"8";"Mil pessoas";"3";"Mil pessoas";"12";"Mil pessoas";"3";"Mil pessoas";"10";"Mil pessoas";"3";"Mil pessoas";"12";"Mil pessoas";"3";"Mil pessoas";"13";"Mil pessoas";"3";"Mil pessoas";"17";"Mil pessoas";"4";"Mil pessoas";"16";"Mil pessoas"
"Roraima";"Ensino médio completo ou equivalente";"15";"Mil pessoas";"55";"Mil pessoas";"18";"Mil pessoas";"61";"Mil pessoas";"16";"Mil pessoas";"61";"Mil pessoas";"17";"Mil pessoas";"71";"Mil pessoas";"20";"Mil pessoas";"98";"Mil pessoas";"25";"Mil pessoas";"92";"Mil pessoas";"25";"Mil pessoas";"90";"Mil pessoas"
"Roraima";"Ensino superior incompleto ou equivalente";"4";"Mil pessoas";"8";"Mil pessoas";"4";"Mil pessoas";"10";"Mil pessoas";"5";"Mil pessoas";"11";"Mil pessoas";"4";"Mil pessoas";"13";"Mil pessoas";"4";"Mil pessoas";"13";"Mil pessoas";"4";"Mil pessoas";"12";"Mil pessoas";"6";"Mil pessoas";"17";"Mil pessoas"
"Roraima";"Superior completo";"16";"Mil pessoas";"27";"Mil pessoas";"16";"Mil pessoas";"28";"Mil pessoas";"17";"Mil pessoas";"35";"Mil pessoas";"21";"Mil pessoas";"34";"Mil pessoas";"18";"Mil pessoas";"43";"Mil pessoas";"23";"Mil pessoas";"41";"Mil pessoas";"21";"Mil pessoas";"46";"Mil pessoas"
"Pará";"Sem instrução";"44";"Mil pessoas";"326";"Mil pessoas";"45";"Mil pessoas";"305";"Mil pessoas";"40";"Mil pessoas";"297";"Mil pessoas";"34";"Mil pessoas";"269";"Mil pessoas";"51";"Mil pessoas";"314";"Mil pessoas";"41";"Mil pessoas";"286";"Mil pessoas";"51";"Mil pessoas";"269";"Mil pessoas"
"Pará";"Ensino fundamental incompleto ou equivalente";"247";"Mil pessoas";"1528";"Mil pessoas";"248";"Mil pessoas";"1508";"Mil pessoas";"231";"Mil pessoas";"1523";"Mil pessoas";"248";"Mil pessoas";"1506";"Mil pessoas";"266";"Mil pessoas";"1468";"Mil pessoas";"264";"Mil pessoas";"1436";"Mil pessoas";"246";"Mil pessoas";"1362";"Mil pessoas"
"Pará";"Ensino fundamental completo ou equivalente";"55";"Mil pessoas";"285";"Mil pessoas";"53";"Mil pessoas";"294";"Mil pessoas";"62";"Mil pessoas";"289";"Mil pessoas";"53";"Mil pessoas";"294";"Mil pessoas";"62";"Mil pessoas";"284";"Mil pessoas";"63";"Mil pessoas";"308";"Mil pessoas";"65";"Mil pessoas";"331";"Mil pessoas"
"Pará";"Ensino médio incompleto ou equivalente";"46";"Mil pessoas";"217";"Mil pessoas";"59";"Mil pessoas";"233";"Mil pessoas";"38";"Mil pessoas";"241";"Mil pessoas";"38";"Mil pessoas";"238";"Mil pessoas";"49";"Mil pessoas";"271";"Mil pessoas";"48";"Mil pessoas";"256";"Mil pessoas";"55";"Mil pessoas";"267";"Mil pessoas"
"Pará";"Ensino médio completo ou equivalente";"194";"Mil pessoas";"921";"Mil pessoas";"210";"Mil pessoas";"953";"Mil pessoas";"203";"Mil pessoas";"1005";"Mil pessoas";"233";"Mil pessoas";"1060";"Mil pessoas";"267";"Mil pessoas";"1119";"Mil pessoas";"275";"Mil pessoas";"1249";"Mil pessoas";"304";"Mil pessoas";"1280";"Mil pessoas"
"Pará";"Ensino superior incompleto ou equivalente";"28";"Mil pessoas";"88";"Mil pessoas";"24";"Mil pessoas";"114";"Mil pessoas";"33";"Mil pessoas";"119";"Mil pessoas";"31";"Mil pessoas";"115";"Mil pessoas";"42";"Mil pessoas";"123";"Mil pessoas";"37";"Mil pessoas";"141";"Mil pessoas";"50";"Mil pessoas";"189";"Mil pessoas"
"Pará";"Superior completo";"109";"Mil pessoas";"278";"Mil pessoas";"115";"Mil pessoas";"289";"Mil pessoas";"148";"Mil pessoas";"341";"Mil pessoas";"165";"Mil pessoas";"348";"Mil pessoas";"178";"Mil pessoas";"463";"Mil pessoas";"200";"Mil pessoas";"492";"Mil pessoas";"228";"Mil pessoas";"525";"Mil pessoas"
"Amapá";"Sem instrução";"3";"Mil pessoas";"22";"Mil pessoas";"5";"Mil pessoas";"19";"Mil pessoas";"3";"Mil pessoas";"29";"Mil pessoas";"6";"Mil pessoas";"28";"Mil pessoas";"4";"Mil pessoas";"31";"Mil pessoas";"5";"Mil pessoas";"37";"Mil pessoas";"4";"Mil pessoas";"37";"Mil pessoas"
"Amapá";"Ensino fundamental incompleto ou equivalente";"16";"Mil pessoas";"90";"Mil pessoas";"14";"Mil pessoas";"93";"Mil pessoas";"17";"Mil pessoas";"98";"Mil pessoas";"13";"Mil pessoas";"93";"Mil pessoas";"14";"Mil pessoas";"88";"Mil pessoas";"10";"Mil pessoas";"86";"Mil pessoas";"15";"Mil pessoas";"90";"Mil pessoas"
"Amapá";"Ensino fundamental completo ou equivalente";"4";"Mil pessoas";"22";"Mil pessoas";"5";"Mil pessoas";"25";"Mil pessoas";"5";"Mil pessoas";"21";"Mil pessoas";"4";"Mil pessoas";"25";"Mil pessoas";"3";"Mil pessoas";"26";"Mil pessoas";"3";"Mil pessoas";"22";"Mil pessoas";"5";"Mil pessoas";"27";"Mil pessoas"
"Amapá";"Ensino médio incompleto ou equivalente";"3";"Mil pessoas";"16";"Mil pessoas";"3";"Mil pessoas";"22";"Mil pessoas";"3";"Mil pessoas";"18";"Mil pessoas";"4";"Mil pessoas";"22";"Mil pessoas";"3";"Mil pessoas";"20";"Mil pessoas";"3";"Mil pessoas";"21";"Mil pessoas";"3";"Mil pessoas";"19";"Mil pessoas"
"Amapá";"Ensino médio completo ou equivalente";"25";"Mil pessoas";"101";"Mil pessoas";"20";"Mil pessoas";"100";"Mil pessoas";"19";"Mil pessoas";"112";"Mil pessoas";"25";"Mil pessoas";"120";"Mil pessoas";"24";"Mil pessoas";"135";"Mil pessoas";"25";"Mil pessoas";"151";"Mil pessoas";"30";"Mil pessoas";"145";"Mil pessoas"
"Amapá";"Ensino superior incompleto ou equivalente";"6";"Mil pessoas";"12";"Mil pessoas";"5";"Mil pessoas";"21";"Mil pessoas";"4";"Mil pessoas";"14";"Mil pessoas";"6";"Mil pessoas";"17";"Mil pessoas";"8";"Mil pessoas";"19";"Mil pessoas";"5";"Mil pessoas";"18";"Mil pessoas";"5";"Mil pessoas";"20";"Mil pessoas"
"Amapá";"Superior completo";"19";"Mil pessoas";"47";"Mil pessoas";"17";"Mil pessoas";"53";"Mil pessoas";"20";"Mil pessoas";"54";"Mil pessoas";"19";"Mil pessoas";"56";"Mil pessoas";"30";"Mil pessoas";"73";"Mil pessoas";"28";"Mil pessoas";"90";"Mil pessoas";"31";"Mil pessoas";"87";"Mil pessoas"
"Tocantins";"Sem instrução";"19";"Mil pessoas";"89";"Mil pessoas";"19";"Mil pessoas";"90";"Mil pessoas";"19";"Mil pessoas";"88";"Mil pessoas";"13";"Mil pessoas";"75";"Mil pessoas";"12";"Mil pessoas";"73";"Mil pessoas";"14";"Mil pessoas";"79";"Mil pessoas";"11";"Mil pessoas";"61";"Mil pessoas"
"Tocantins";"Ensino fundamental incompleto ou equivalente";"52";"Mil pessoas";"215";"Mil pessoas";"54";"Mil pessoas";"235";"Mil pessoas";"50";"Mil pessoas";"236";"Mil pessoas";"50";"Mil pessoas";"256";"Mil pessoas";"51";"Mil pessoas";"217";"Mil pessoas";"38";"Mil pessoas";"220";"Mil pessoas";"50";"Mil pessoas";"240";"Mil pessoas"
"Tocantins";"Ensino fundamental completo ou equivalente";"14";"Mil pessoas";"47";"Mil pessoas";"10";"Mil pessoas";"41";"Mil pessoas";"9";"Mil pessoas";"44";"Mil pessoas";"8";"Mil pessoas";"48";"Mil pessoas";"9";"Mil pessoas";"39";"Mil pessoas";"10";"Mil pessoas";"47";"Mil pessoas";"10";"Mil pessoas";"47";"Mil pessoas"
"Tocantins";"Ensino médio incompleto ou equivalente";"8";"Mil pessoas";"30";"Mil pessoas";"6";"Mil pessoas";"34";"Mil pessoas";"8";"Mil pessoas";"31";"Mil pessoas";"6";"Mil pessoas";"40";"Mil pessoas";"9";"Mil pessoas";"39";"Mil pessoas";"12";"Mil pessoas";"38";"Mil pessoas";"8";"Mil pessoas";"40";"Mil pessoas"
"Tocantins";"Ensino médio completo ou equivalente";"52";"Mil pessoas";"167";"Mil pessoas";"52";"Mil pessoas";"171";"Mil pessoas";"49";"Mil pessoas";"186";"Mil pessoas";"49";"Mil pessoas";"199";"Mil pessoas";"55";"Mil pessoas";"215";"Mil pessoas";"50";"Mil pessoas";"220";"Mil pessoas";"58";"Mil pessoas";"223";"Mil pessoas"
"Tocantins";"Ensino superior incompleto ou equivalente";"5";"Mil pessoas";"23";"Mil pessoas";"8";"Mil pessoas";"26";"Mil pessoas";"11";"Mil pessoas";"21";"Mil pessoas";"9";"Mil pessoas";"22";"Mil pessoas";"9";"Mil pessoas";"31";"Mil pessoas";"11";"Mil pessoas";"25";"Mil pessoas";"12";"Mil pessoas";"35";"Mil pessoas"
"Tocantins";"Superior completo";"35";"Mil pessoas";"66";"Mil pessoas";"41";"Mil pessoas";"81";"Mil pessoas";"47";"Mil pessoas";"87";"Mil pessoas";"49";"Mil pessoas";"89";"Mil pessoas";"62";"Mil pessoas";"123";"Mil pessoas";"58";"Mil pessoas";"129";"Mil pessoas";"67";"Mil pessoas";"129";"Mil pessoas"
"Maranhão";"Sem instrução";"99";"Mil pessoas";"524";"Mil pessoas";"91";"Mil pessoas";"534";"Mil pessoas";"87";"Mil pessoas";"505";"Mil pessoas";"84";"Mil pessoas";"513";"Mil pessoas";"73";"Mil pessoas";"443";"Mil pessoas";"74";"Mil pessoas";"444";"Mil pessoas";"70";"Mil pessoas";"436";"Mil pessoas"
"Maranhão";"Ensino fundamental incompleto ou equivalente";"226";"Mil pessoas";"1128";"Mil pessoas";"210";"Mil pessoas";"1128";"Mil pessoas";"200";"Mil pessoas";"1126";"Mil pessoas";"208";"Mil pessoas";"1084";"Mil pessoas";"194";"Mil pessoas";"1062";"Mil pessoas";"179";"Mil pessoas";"1077";"Mil pessoas";"184";"Mil pessoas";"1093";"Mil pessoas"
"Maranhão";"Ensino fundamental completo ou equivalente";"57";"Mil pessoas";"241";"Mil pessoas";"48";"Mil pessoas";"239";"Mil pessoas";"52";"Mil pessoas";"234";"Mil pessoas";"51";"Mil pessoas";"236";"Mil pessoas";"53";"Mil pessoas";"259";"Mil pessoas";"45";"Mil pessoas";"263";"Mil pessoas";"47";"Mil pessoas";"284";"Mil pessoas"
"Maranhão";"Ensino médio incompleto ou equivalente";"29";"Mil pessoas";"127";"Mil pessoas";"25";"Mil pessoas";"156";"Mil pessoas";"33";"Mil pessoas";"162";"Mil pessoas";"37";"Mil pessoas";"160";"Mil pessoas";"30";"Mil pessoas";"184";"Mil pessoas";"25";"Mil pessoas";"186";"Mil pessoas";"28";"Mil pessoas";"184";"Mil pessoas"
"Maranhão";"Ensino médio completo ou equivalente";"189";"Mil pessoas";"660";"Mil pessoas";"182";"Mil pessoas";"748";"Mil pessoas";"184";"Mil pessoas";"751";"Mil pessoas";"207";"Mil pessoas";"792";"Mil pessoas";"212";"Mil pessoas";"939";"Mil pessoas";"222";"Mil pessoas";"977";"Mil pessoas";"228";"Mil pessoas";"1026";"Mil pessoas"
"Maranhão";"Ensino superior incompleto ou equivalente";"20";"Mil pessoas";"59";"Mil pessoas";"19";"Mil pessoas";"61";"Mil pessoas";"30";"Mil pessoas";"74";"Mil pessoas";"24";"Mil pessoas";"75";"Mil pessoas";"26";"Mil pessoas";"81";"Mil pessoas";"27";"Mil pessoas";"88";"Mil pessoas";"25";"Mil pessoas";"86";"Mil pessoas"
"Maranhão";"Superior completo";"74";"Mil pessoas";"176";"Mil pessoas";"85";"Mil pessoas";"188";"Mil pessoas";"93";"Mil pessoas";"225";"Mil pessoas";"99";"Mil pessoas";"248";"Mil pessoas";"136";"Mil pessoas";"324";"Mil pessoas";"160";"Mil pessoas";"336";"Mil pessoas";"163";"Mil pessoas";"367";"Mil pessoas"
"Piauí";"Sem instrução";"46";"Mil pessoas";"220";"Mil pessoas";"47";"Mil pessoas";"198";"Mil pessoas";"43";"Mil pessoas";"191";"Mil pessoas";"36";"Mil pessoas";"185";"Mil pessoas";"52";"Mil pessoas";"224";"Mil pessoas";"50";"Mil pessoas";"209";"Mil pessoas";"35";"Mil pessoas";"164";"Mil pessoas"
"Piauí";"Ensino fundamental incompleto ou equivalente";"130";"Mil pessoas";"664";"Mil pessoas";"142";"Mil pessoas";"640";"Mil pessoas";"105";"Mil pessoas";"688";"Mil pessoas";"118";"Mil pessoas";"694";"Mil pessoas";"123";"Mil pessoas";"597";"Mil pessoas";"119";"Mil pessoas";"576";"Mil pessoas";"120";"Mil pessoas";"630";"Mil pessoas"
"Piauí";"Ensino fundamental completo ou equivalente";"29";"Mil pessoas";"114";"Mil pessoas";"29";"Mil pessoas";"121";"Mil pessoas";"23";"Mil pessoas";"127";"Mil pessoas";"25";"Mil pessoas";"109";"Mil pessoas";"28";"Mil pessoas";"98";"Mil pessoas";"23";"Mil pessoas";"102";"Mil pessoas";"29";"Mil pessoas";"105";"Mil pessoas"
"Piauí";"Ensino médio incompleto ou equivalente";"15";"Mil pessoas";"79";"Mil pessoas";"13";"Mil pessoas";"78";"Mil pessoas";"14";"Mil pessoas";"81";"Mil pessoas";"13";"Mil pessoas";"86";"Mil pessoas";"16";"Mil pessoas";"88";"Mil pessoas";"13";"Mil pessoas";"86";"Mil pessoas";"15";"Mil pessoas";"98";"Mil pessoas"
"Piauí";"Ensino médio completo ou equivalente";"78";"Mil pessoas";"297";"Mil pessoas";"88";"Mil pessoas";"309";"Mil pessoas";"81";"Mil pessoas";"308";"Mil pessoas";"73";"Mil pessoas";"331";"Mil pessoas";"91";"Mil pessoas";"354";"Mil pessoas";"93";"Mil pessoas";"399";"Mil pessoas";"96";"Mil pessoas";"411";"Mil pessoas"
"Piauí";"Ensino superior incompleto ou equivalente";"12";"Mil pessoas";"36";"Mil pessoas";"11";"Mil pessoas";"33";"Mil pessoas";"9";"Mil pessoas";"42";"Mil pessoas";"13";"Mil pessoas";"48";"Mil pessoas";"12";"Mil pessoas";"38";"Mil pessoas";"17";"Mil pessoas";"41";"Mil pessoas";"19";"Mil pessoas";"55";"Mil pessoas"
"Piauí";"Superior completo";"71";"Mil pessoas";"135";"Mil pessoas";"71";"Mil pessoas";"150";"Mil pessoas";"73";"Mil pessoas";"152";"Mil pessoas";"66";"Mil pessoas";"170";"Mil pessoas";"105";"Mil pessoas";"216";"Mil pessoas";"95";"Mil pessoas";"232";"Mil pessoas";"105";"Mil pessoas";"216";"Mil pessoas"
"Ceará";"Sem instrução";"155";"Mil pessoas";"623";"Mil pessoas";"152";"Mil pessoas";"581";"Mil pessoas";"134";"Mil pessoas";"541";"Mil pessoas";"139";"Mil pessoas";"509";"Mil pessoas";"161";"Mil pessoas";"544";"Mil pessoas";"152";"Mil pessoas";"548";"Mil pessoas";"150";"Mil pessoas";"533";"Mil pessoas"
"Ceará";"Ensino fundamental incompleto ou equivalente";"417";"Mil pessoas";"1418";"Mil pessoas";"424";"Mil pessoas";"1453";"Mil pessoas";"393";"Mil pessoas";"1439";"Mil pessoas";"410";"Mil pessoas";"1461";"Mil pessoas";"431";"Mil pessoas";"1348";"Mil pessoas";"375";"Mil pessoas";"1361";"Mil pessoas";"357";"Mil pessoas";"1389";"Mil pessoas"
"Ceará";"Ensino fundamental completo ou equivalente";"112";"Mil pessoas";"399";"Mil pessoas";"119";"Mil pessoas";"341";"Mil pessoas";"115";"Mil pessoas";"350";"Mil pessoas";"104";"Mil pessoas";"342";"Mil pessoas";"128";"Mil pessoas";"353";"Mil pessoas";"102";"Mil pessoas";"328";"Mil pessoas";"95";"Mil pessoas";"367";"Mil pessoas"
"Ceará";"Ensino médio incompleto ou equivalente";"59";"Mil pessoas";"166";"Mil pessoas";"63";"Mil pessoas";"192";"Mil pessoas";"57";"Mil pessoas";"216";"Mil pessoas";"61";"Mil pessoas";"212";"Mil pessoas";"80";"Mil pessoas";"227";"Mil pessoas";"69";"Mil pessoas";"282";"Mil pessoas";"60";"Mil pessoas";"286";"Mil pessoas"
"Ceará";"Ensino médio completo ou equivalente";"364";"Mil pessoas";"848";"Mil pessoas";"385";"Mil pessoas";"941";"Mil pessoas";"407";"Mil pessoas";"955";"Mil pessoas";"386";"Mil pessoas";"1036";"Mil pessoas";"435";"Mil pessoas";"1224";"Mil pessoas";"468";"Mil pessoas";"1231";"Mil pessoas";"424";"Mil pessoas";"1296";"Mil pessoas"
"Ceará";"Ensino superior incompleto ou equivalente";"48";"Mil pessoas";"97";"Mil pessoas";"65";"Mil pessoas";"106";"Mil pessoas";"70";"Mil pessoas";"124";"Mil pessoas";"70";"Mil pessoas";"122";"Mil pessoas";"83";"Mil pessoas";"118";"Mil pessoas";"64";"Mil pessoas";"135";"Mil pessoas";"75";"Mil pessoas";"132";"Mil pessoas"
"Ceará";"Superior completo";"224";"Mil pessoas";"240";"Mil pessoas";"242";"Mil pessoas";"288";"Mil pessoas";"266";"Mil pessoas";"353";"Mil pessoas";"301";"Mil pessoas";"362";"Mil pessoas";"345";"Mil pessoas";"409";"Mil pessoas";"322";"Mil pessoas";"463";"Mil pessoas";"379";"Mil pessoas";"457";"Mil pessoas"
