"Tabela 7135 - Pessoas de 25 anos ou mais de idade, por cor ou raça e nível de instrução"
"Variável - Pessoas de 25 anos ou mais de idade"
"Unidade da Federação";"Nível de instrução";"Ano x Cor ou raça"
"Unidade da Federação";"Nível de instrução";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Nível de instrução";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Rondônia";"Sem instrução";"25";"Mil pessoas";"64";"Mil pessoas";"22";"Mil pessoas";"58";"Mil pessoas";"22";"Mil pessoas";"55";"Mil pessoas";"18";"Mil pessoas";"49";"Mil pessoas";"23";"Mil pessoas";"60";"Mil pessoas";"27";"Mil pessoas";"65";"Mil pessoas";"26";"Mil pessoas";"61";"Mil pessoas"
"Rondônia";"Ensino fundamental incompleto ou equivalente";"113";"Mil pessoas";"263";"Mil pessoas";"114";"Mil pessoas";"283";"Mil pessoas";"109";"Mil pessoas";"283";"Mil pessoas";"106";"Mil pessoas";"288";"Mil pessoas";"111";"Mil pessoas";"267";"Mil pessoas";"117";"Mil pessoas";"270";"Mil pessoas";"95";"Mil pessoas";"271";"Mil pessoas"
"Rondônia";"Ensino fundamental completo ou equivalente";"23";"Mil pessoas";"66";"Mil pessoas";"22";"Mil pessoas";"58";"Mil pessoas";"23";"Mil pessoas";"57";"Mil pessoas";"19";"Mil pessoas";"50";"Mil pessoas";"23";"Mil pessoas";"56";"Mil pessoas";"24";"Mil pessoas";"54";"Mil pessoas";"20";"Mil pessoas";"62";"Mil pessoas"
"Rondônia";"Ensino médio incompleto ou equivalente";"11";"Mil pessoas";"30";"Mil pessoas";"13";"Mil pessoas";"42";"Mil pessoas";"16";"Mil pessoas";"41";"Mil pessoas";"14";"Mil pessoas";"46";"Mil pessoas";"14";"Mil pessoas";"45";"Mil pessoas";"22";"Mil pessoas";"59";"Mil pessoas";"16";"Mil pessoas";"37";"Mil pessoas"
"Rondônia";"Ensino médio completo ou equivalente";"62";"Mil pessoas";"145";"Mil pessoas";"68";"Mil pessoas";"158";"Mil pessoas";"65";"Mil pessoas";"168";"Mil pessoas";"67";"Mil pessoas";"190";"Mil pessoas";"83";"Mil pessoas";"212";"Mil pessoas";"84";"Mil pessoas";"222";"Mil pessoas";"84";"Mil pessoas";"260";"Mil pessoas"
"Rondônia";"Ensino superior incompleto ou equivalente";"9";"Mil pessoas";"22";"Mil pessoas";"9";"Mil pessoas";"25";"Mil pessoas";"9";"Mil pessoas";"25";"Mil pessoas";"14";"Mil pessoas";"31";"Mil pessoas";"11";"Mil pessoas";"25";"Mil pessoas";"10";"Mil pessoas";"27";"Mil pessoas";"12";"Mil pessoas";"26";"Mil pessoas"
"Rondônia";"Superior completo";"41";"Mil pessoas";"61";"Mil pessoas";"52";"Mil pessoas";"61";"Mil pessoas";"48";"Mil pessoas";"75";"Mil pessoas";"53";"Mil pessoas";"74";"Mil pessoas";"70";"Mil pessoas";"112";"Mil pessoas";"77";"Mil pessoas";"99";"Mil pessoas";"71";"Mil pessoas";"125";"Mil pessoas"
"Acre";"Sem instrução";"8";"Mil pessoas";"47";"Mil pessoas";"7";"Mil pessoas";"47";"Mil pessoas";"6";"Mil pessoas";"47";"Mil pessoas";"5";"Mil pessoas";"48";"Mil pessoas";"6";"Mil pessoas";"46";"Mil pessoas";"7";"Mil pessoas";"56";"Mil pessoas";"7";"Mil pessoas";"44";"Mil pessoas"
"Acre";"Ensino fundamental incompleto ou equivalente";"19";"Mil pessoas";"121";"Mil pessoas";"22";"Mil pessoas";"119";"Mil pessoas";"24";"Mil pessoas";"121";"Mil pessoas";"19";"Mil pessoas";"121";"Mil pessoas";"19";"Mil pessoas";"115";"Mil pessoas";"16";"Mil pessoas";"109";"Mil pessoas";"20";"Mil pessoas";"116";"Mil pessoas"
"Acre";"Ensino fundamental completo ou equivalente";"5";"Mil pessoas";"27";"Mil pessoas";"6";"Mil pessoas";"26";"Mil pessoas";"5";"Mil pessoas";"26";"Mil pessoas";"5";"Mil pessoas";"28";"Mil pessoas";"6";"Mil pessoas";"23";"Mil pessoas";"4";"Mil pessoas";"30";"Mil pessoas";"5";"Mil pessoas";"30";"Mil pessoas"
