"Tabela 7110 - População residente, por cor ou raça e grupo de idade"
"Variável - População"
"Unidade da Federação";"Grupo de idade";"Ano x Cor ou raça"
"Unidade da Federação";"Grupo de idade";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupo de idade";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Acre";"18 a 24 anos";"16";"Mil pessoas";"88";"Mil pessoas";"20";"Mil pessoas";"96";"Mil pessoas";"19";"Mil pessoas";"95";"Mil pessoas";"20";"Mil pessoas";"96";"Mil pessoas";"23";"Mil pessoas";"94";"Mil pessoas";"22";"Mil pessoas";"94";"Mil pessoas";"23";"Mil pessoas";"98";"Mil pessoas"
"Acre";"25 a 29 anos";"11";"Mil pessoas";"54";"Mil pessoas";"11";"Mil pessoas";"57";"Mil pessoas";"14";"Mil pessoas";"62";"Mil pessoas";"11";"Mil pessoas";"60";"Mil pessoas";"14";"Mil pessoas";"62";"Mil pessoas";"12";"Mil pessoas";"57";"Mil pessoas";"13";"Mil pessoas";"63";"Mil pessoas"
"Acre";"30 a 39 anos";"23";"Mil pessoas";"109";"Mil pessoas";"23";"Mil pessoas";"103";"Mil pessoas";"22";"Mil pessoas";"105";"Mil pessoas";"22";"Mil pessoas";"108";"Mil pessoas";"25";"Mil pessoas";"110";"Mil pessoas";"22";"Mil pessoas";"118";"Mil pessoas";"23";"Mil pessoas";"110";"Mil pessoas"
"Acre";"40 a 59 anos";"25";"Mil pessoas";"123";"Mil pessoas";"28";"Mil pessoas";"131";"Mil pessoas";"32";"Mil pessoas";"126";"Mil pessoas";"32";"Mil pessoas";"137";"Mil pessoas";"32";"Mil pessoas";"160";"Mil pessoas";"29";"Mil pessoas";"160";"Mil pessoas";"38";"Mil pessoas";"168";"Mil pessoas"
"Acre";"60 anos ou mais";"12";"Mil pessoas";"50";"Mil pessoas";"14";"Mil pessoas";"52";"Mil pessoas";"13";"Mil pessoas";"57";"Mil pessoas";"14";"Mil pessoas";"63";"Mil pessoas";"17";"Mil pessoas";"70";"Mil pessoas";"15";"Mil pessoas";"77";"Mil pessoas";"19";"Mil pessoas";"67";"Mil pessoas"
"Amazonas";"0 a 3 anos";"61";"Mil pessoas";"236";"Mil pessoas";"68";"Mil pessoas";"228";"Mil pessoas";"55";"Mil pessoas";"208";"Mil pessoas";"60";"Mil pessoas";"224";"Mil pessoas";"62";"Mil pessoas";"222";"Mil pessoas";"57";"Mil pessoas";"235";"Mil pessoas";"54";"Mil pessoas";"215";"Mil pessoas"
"Amazonas";"4 a 5 anos";"25";"Mil pessoas";"120";"Mil pessoas";"30";"Mil pessoas";"122";"Mil pessoas";"25";"Mil pessoas";"112";"Mil pessoas";"29";"Mil pessoas";"121";"Mil pessoas";"26";"Mil pessoas";"126";"Mil pessoas";"22";"Mil pessoas";"126";"Mil pessoas";"23";"Mil pessoas";"107";"Mil pessoas"
"Amazonas";"6 a 9 anos";"47";"Mil pessoas";"236";"Mil pessoas";"51";"Mil pessoas";"232";"Mil pessoas";"45";"Mil pessoas";"242";"Mil pessoas";"44";"Mil pessoas";"220";"Mil pessoas";"55";"Mil pessoas";"231";"Mil pessoas";"47";"Mil pessoas";"243";"Mil pessoas";"46";"Mil pessoas";"224";"Mil pessoas"
"Amazonas";"10 a 14 anos";"57";"Mil pessoas";"321";"Mil pessoas";"61";"Mil pessoas";"320";"Mil pessoas";"49";"Mil pessoas";"313";"Mil pessoas";"58";"Mil pessoas";"324";"Mil pessoas";"66";"Mil pessoas";"292";"Mil pessoas";"56";"Mil pessoas";"296";"Mil pessoas";"57";"Mil pessoas";"308";"Mil pessoas"
"Amazonas";"15 a 17 anos";"33";"Mil pessoas";"201";"Mil pessoas";"33";"Mil pessoas";"202";"Mil pessoas";"37";"Mil pessoas";"184";"Mil pessoas";"34";"Mil pessoas";"192";"Mil pessoas";"32";"Mil pessoas";"167";"Mil pessoas";"41";"Mil pessoas";"184";"Mil pessoas";"37";"Mil pessoas";"179";"Mil pessoas"
"Amazonas";"18 a 24 anos";"84";"Mil pessoas";"416";"Mil pessoas";"83";"Mil pessoas";"416";"Mil pessoas";"74";"Mil pessoas";"432";"Mil pessoas";"74";"Mil pessoas";"465";"Mil pessoas";"88";"Mil pessoas";"437";"Mil pessoas";"78";"Mil pessoas";"445";"Mil pessoas";"100";"Mil pessoas";"435";"Mil pessoas"
"Amazonas";"25 a 29 anos";"50";"Mil pessoas";"273";"Mil pessoas";"57";"Mil pessoas";"264";"Mil pessoas";"52";"Mil pessoas";"259";"Mil pessoas";"61";"Mil pessoas";"280";"Mil pessoas";"66";"Mil pessoas";"290";"Mil pessoas";"57";"Mil pessoas";"292";"Mil pessoas";"55";"Mil pessoas";"289";"Mil pessoas"
"Amazonas";"30 a 39 anos";"93";"Mil pessoas";"476";"Mil pessoas";"100";"Mil pessoas";"508";"Mil pessoas";"98";"Mil pessoas";"501";"Mil pessoas";"98";"Mil pessoas";"484";"Mil pessoas";"109";"Mil pessoas";"516";"Mil pessoas";"103";"Mil pessoas";"508";"Mil pessoas";"102";"Mil pessoas";"529";"Mil pessoas"
"Amazonas";"40 a 59 anos";"114";"Mil pessoas";"590";"Mil pessoas";"127";"Mil pessoas";"605";"Mil pessoas";"134";"Mil pessoas";"671";"Mil pessoas";"129";"Mil pessoas";"656";"Mil pessoas";"144";"Mil pessoas";"714";"Mil pessoas";"139";"Mil pessoas";"740";"Mil pessoas";"161";"Mil pessoas";"749";"Mil pessoas"
"Amazonas";"60 anos ou mais";"48";"Mil pessoas";"213";"Mil pessoas";"58";"Mil pessoas";"230";"Mil pessoas";"62";"Mil pessoas";"273";"Mil pessoas";"60";"Mil pessoas";"273";"Mil pessoas";"77";"Mil pessoas";"293";"Mil pessoas";"73";"Mil pessoas";"307";"Mil pessoas";"76";"Mil pessoas";"327";"Mil pessoas"
"Roraima";"0 a 3 anos";"9";"Mil pessoas";"29";"Mil pessoas";"11";"Mil pessoas";"28";"Mil pessoas";"9";"Mil pessoas";"23";"Mil pessoas";"9";"Mil pessoas";"26";"Mil pessoas";"8";"Mil pessoas";"34";"Mil pessoas";"11";"Mil pessoas";"35";"Mil pessoas";"12";"Mil pessoas";"26";"Mil pessoas"
"Roraima";"4 a 5 anos";"4";"Mil pessoas";"12";"Mil pessoas";"3";"Mil pessoas";"14";"Mil pessoas";"5";"Mil pessoas";"11";"Mil pessoas";"5";"Mil pessoas";"15";"Mil pessoas";"4";"Mil pessoas";"16";"Mil pessoas";"5";"Mil pessoas";"19";"Mil pessoas";"6";"Mil pessoas";"15";"Mil pessoas"
"Roraima";"6 a 9 anos";"8";"Mil pessoas";"27";"Mil pessoas";"7";"Mil pessoas";"25";"Mil pessoas";"9";"Mil pessoas";"26";"Mil pessoas";"9";"Mil pessoas";"28";"Mil pessoas";"8";"Mil pessoas";"36";"Mil pessoas";"10";"Mil pessoas";"32";"Mil pessoas";"10";"Mil pessoas";"36";"Mil pessoas"
"Roraima";"10 a 14 anos";"9";"Mil pessoas";"33";"Mil pessoas";"8";"Mil pessoas";"33";"Mil pessoas";"9";"Mil pessoas";"32";"Mil pessoas";"9";"Mil pessoas";"36";"Mil pessoas";"9";"Mil pessoas";"38";"Mil pessoas";"9";"Mil pessoas";"39";"Mil pessoas";"13";"Mil pessoas";"47";"Mil pessoas"
"Roraima";"15 a 17 anos";"6";"Mil pessoas";"23";"Mil pessoas";"5";"Mil pessoas";"24";"Mil pessoas";"6";"Mil pessoas";"21";"Mil pessoas";"6";"Mil pessoas";"22";"Mil pessoas";"6";"Mil pessoas";"22";"Mil pessoas";"5";"Mil pessoas";"22";"Mil pessoas";"7";"Mil pessoas";"22";"Mil pessoas"
"Roraima";"18 a 24 anos";"14";"Mil pessoas";"49";"Mil pessoas";"17";"Mil pessoas";"51";"Mil pessoas";"14";"Mil pessoas";"52";"Mil pessoas";"14";"Mil pessoas";"54";"Mil pessoas";"14";"Mil pessoas";"59";"Mil pessoas";"12";"Mil pessoas";"56";"Mil pessoas";"13";"Mil pessoas";"60";"Mil pessoas"
"Roraima";"25 a 29 anos";"8";"Mil pessoas";"30";"Mil pessoas";"8";"Mil pessoas";"31";"Mil pessoas";"10";"Mil pessoas";"34";"Mil pessoas";"10";"Mil pessoas";"35";"Mil pessoas";"8";"Mil pessoas";"43";"Mil pessoas";"10";"Mil pessoas";"42";"Mil pessoas";"10";"Mil pessoas";"38";"Mil pessoas"
"Roraima";"30 a 39 anos";"17";"Mil pessoas";"55";"Mil pessoas";"17";"Mil pessoas";"58";"Mil pessoas";"17";"Mil pessoas";"59";"Mil pessoas";"20";"Mil pessoas";"63";"Mil pessoas";"19";"Mil pessoas";"81";"Mil pessoas";"20";"Mil pessoas";"73";"Mil pessoas";"23";"Mil pessoas";"73";"Mil pessoas"
"Roraima";"40 a 59 anos";"22";"Mil pessoas";"67";"Mil pessoas";"23";"Mil pessoas";"68";"Mil pessoas";"23";"Mil pessoas";"77";"Mil pessoas";"20";"Mil pessoas";"76";"Mil pessoas";"23";"Mil pessoas";"88";"Mil pessoas";"30";"Mil pessoas";"90";"Mil pessoas";"27";"Mil pessoas";"100";"Mil pessoas"
"Roraima";"60 anos ou mais";"7";"Mil pessoas";"23";"Mil pessoas";"9";"Mil pessoas";"25";"Mil pessoas";"8";"Mil pessoas";"26";"Mil pessoas";"8";"Mil pessoas";"28";"Mil pessoas";"10";"Mil pessoas";"37";"Mil pessoas";"12";"Mil pessoas";"37";"Mil pessoas";"13";"Mil pessoas";"35";"Mil pessoas"
