"Tabela 7110 - População residente, por cor ou raça e grupo de idade"
"Variável - População"
"Unidade da Federação";"Grupo de idade";"Ano x Cor ou raça"
"Unidade da Federação";"Grupo de idade";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupo de idade";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Tocantins";"0 a 3 anos";"20";"Mil pessoas";"74";"Mil pessoas";"24";"Mil pessoas";"66";"Mil pessoas";"28";"Mil pessoas";"63";"Mil pessoas";"24";"Mil pessoas";"73";"Mil pessoas";"27";"Mil pessoas";"70";"Mil pessoas";"29";"Mil pessoas";"82";"Mil pessoas";"30";"Mil pessoas";"67";"Mil pessoas"
"Tocantins";"4 a 5 anos";"11";"Mil pessoas";"44";"Mil pessoas";"11";"Mil pessoas";"39";"Mil pessoas";"12";"Mil pessoas";"40";"Mil pessoas";"12";"Mil pessoas";"41";"Mil pessoas";"11";"Mil pessoas";"36";"Mil pessoas";"12";"Mil pessoas";"38";"Mil pessoas";"13";"Mil pessoas";"40";"Mil pessoas"
"Tocantins";"6 a 9 anos";"24";"Mil pessoas";"89";"Mil pessoas";"21";"Mil pessoas";"92";"Mil pessoas";"22";"Mil pessoas";"79";"Mil pessoas";"17";"Mil pessoas";"78";"Mil pessoas";"23";"Mil pessoas";"73";"Mil pessoas";"23";"Mil pessoas";"78";"Mil pessoas";"23";"Mil pessoas";"72";"Mil pessoas"
"Tocantins";"10 a 14 anos";"27";"Mil pessoas";"106";"Mil pessoas";"25";"Mil pessoas";"109";"Mil pessoas";"27";"Mil pessoas";"95";"Mil pessoas";"22";"Mil pessoas";"112";"Mil pessoas";"21";"Mil pessoas";"93";"Mil pessoas";"28";"Mil pessoas";"96";"Mil pessoas";"27";"Mil pessoas";"92";"Mil pessoas"
"Tocantins";"15 a 17 anos";"20";"Mil pessoas";"75";"Mil pessoas";"19";"Mil pessoas";"66";"Mil pessoas";"17";"Mil pessoas";"63";"Mil pessoas";"14";"Mil pessoas";"67";"Mil pessoas";"18";"Mil pessoas";"60";"Mil pessoas";"18";"Mil pessoas";"65";"Mil pessoas";"15";"Mil pessoas";"63";"Mil pessoas"
"Tocantins";"18 a 24 anos";"42";"Mil pessoas";"148";"Mil pessoas";"29";"Mil pessoas";"146";"Mil pessoas";"37";"Mil pessoas";"149";"Mil pessoas";"33";"Mil pessoas";"137";"Mil pessoas";"37";"Mil pessoas";"163";"Mil pessoas";"35";"Mil pessoas";"148";"Mil pessoas";"39";"Mil pessoas";"150";"Mil pessoas"
"Tocantins";"25 a 29 anos";"24";"Mil pessoas";"102";"Mil pessoas";"26";"Mil pessoas";"105";"Mil pessoas";"24";"Mil pessoas";"111";"Mil pessoas";"23";"Mil pessoas";"110";"Mil pessoas";"25";"Mil pessoas";"106";"Mil pessoas";"21";"Mil pessoas";"104";"Mil pessoas";"29";"Mil pessoas";"96";"Mil pessoas"
"Tocantins";"30 a 39 anos";"53";"Mil pessoas";"190";"Mil pessoas";"52";"Mil pessoas";"196";"Mil pessoas";"54";"Mil pessoas";"181";"Mil pessoas";"45";"Mil pessoas";"195";"Mil pessoas";"54";"Mil pessoas";"193";"Mil pessoas";"44";"Mil pessoas";"193";"Mil pessoas";"53";"Mil pessoas";"192";"Mil pessoas"
"Tocantins";"40 a 59 anos";"69";"Mil pessoas";"236";"Mil pessoas";"69";"Mil pessoas";"258";"Mil pessoas";"71";"Mil pessoas";"263";"Mil pessoas";"73";"Mil pessoas";"280";"Mil pessoas";"75";"Mil pessoas";"289";"Mil pessoas";"82";"Mil pessoas";"311";"Mil pessoas";"82";"Mil pessoas";"319";"Mil pessoas"
"Tocantins";"60 anos ou mais";"38";"Mil pessoas";"107";"Mil pessoas";"44";"Mil pessoas";"119";"Mil pessoas";"45";"Mil pessoas";"140";"Mil pessoas";"43";"Mil pessoas";"145";"Mil pessoas";"52";"Mil pessoas";"150";"Mil pessoas";"47";"Mil pessoas";"152";"Mil pessoas";"53";"Mil pessoas";"168";"Mil pessoas"
"Maranhão";"0 a 3 anos";"119";"Mil pessoas";"377";"Mil pessoas";"109";"Mil pessoas";"383";"Mil pessoas";"106";"Mil pessoas";"336";"Mil pessoas";"98";"Mil pessoas";"357";"Mil pessoas";"116";"Mil pessoas";"346";"Mil pessoas";"89";"Mil pessoas";"330";"Mil pessoas";"92";"Mil pessoas";"320";"Mil pessoas"
"Maranhão";"4 a 5 anos";"53";"Mil pessoas";"204";"Mil pessoas";"49";"Mil pessoas";"207";"Mil pessoas";"52";"Mil pessoas";"184";"Mil pessoas";"48";"Mil pessoas";"181";"Mil pessoas";"41";"Mil pessoas";"194";"Mil pessoas";"47";"Mil pessoas";"215";"Mil pessoas";"46";"Mil pessoas";"198";"Mil pessoas"
"Maranhão";"6 a 9 anos";"97";"Mil pessoas";"445";"Mil pessoas";"93";"Mil pessoas";"429";"Mil pessoas";"87";"Mil pessoas";"415";"Mil pessoas";"88";"Mil pessoas";"399";"Mil pessoas";"95";"Mil pessoas";"387";"Mil pessoas";"71";"Mil pessoas";"399";"Mil pessoas";"79";"Mil pessoas";"379";"Mil pessoas"
"Maranhão";"10 a 14 anos";"132";"Mil pessoas";"558";"Mil pessoas";"102";"Mil pessoas";"583";"Mil pessoas";"124";"Mil pessoas";"581";"Mil pessoas";"115";"Mil pessoas";"549";"Mil pessoas";"112";"Mil pessoas";"521";"Mil pessoas";"97";"Mil pessoas";"499";"Mil pessoas";"100";"Mil pessoas";"505";"Mil pessoas"
"Maranhão";"15 a 17 anos";"83";"Mil pessoas";"350";"Mil pessoas";"68";"Mil pessoas";"344";"Mil pessoas";"70";"Mil pessoas";"345";"Mil pessoas";"72";"Mil pessoas";"334";"Mil pessoas";"66";"Mil pessoas";"337";"Mil pessoas";"75";"Mil pessoas";"324";"Mil pessoas";"62";"Mil pessoas";"330";"Mil pessoas"
"Maranhão";"18 a 24 anos";"161";"Mil pessoas";"698";"Mil pessoas";"143";"Mil pessoas";"700";"Mil pessoas";"160";"Mil pessoas";"700";"Mil pessoas";"163";"Mil pessoas";"738";"Mil pessoas";"137";"Mil pessoas";"708";"Mil pessoas";"147";"Mil pessoas";"691";"Mil pessoas";"153";"Mil pessoas";"683";"Mil pessoas"
"Maranhão";"25 a 29 anos";"103";"Mil pessoas";"481";"Mil pessoas";"98";"Mil pessoas";"475";"Mil pessoas";"113";"Mil pessoas";"459";"Mil pessoas";"101";"Mil pessoas";"449";"Mil pessoas";"85";"Mil pessoas";"449";"Mil pessoas";"84";"Mil pessoas";"461";"Mil pessoas";"95";"Mil pessoas";"467";"Mil pessoas"
"Maranhão";"30 a 39 anos";"197";"Mil pessoas";"840";"Mil pessoas";"192";"Mil pessoas";"902";"Mil pessoas";"193";"Mil pessoas";"888";"Mil pessoas";"191";"Mil pessoas";"909";"Mil pessoas";"193";"Mil pessoas";"941";"Mil pessoas";"197";"Mil pessoas";"923";"Mil pessoas";"188";"Mil pessoas";"936";"Mil pessoas"
"Maranhão";"40 a 59 anos";"249";"Mil pessoas";"1030";"Mil pessoas";"227";"Mil pessoas";"1089";"Mil pessoas";"236";"Mil pessoas";"1107";"Mil pessoas";"271";"Mil pessoas";"1138";"Mil pessoas";"266";"Mil pessoas";"1265";"Mil pessoas";"277";"Mil pessoas";"1306";"Mil pessoas";"280";"Mil pessoas";"1344";"Mil pessoas"
"Maranhão";"60 anos ou mais";"145";"Mil pessoas";"562";"Mil pessoas";"143";"Mil pessoas";"589";"Mil pessoas";"138";"Mil pessoas";"624";"Mil pessoas";"145";"Mil pessoas";"611";"Mil pessoas";"180";"Mil pessoas";"637";"Mil pessoas";"176";"Mil pessoas";"682";"Mil pessoas";"181";"Mil pessoas";"729";"Mil pessoas"
"Piauí";"0 a 3 anos";"45";"Mil pessoas";"143";"Mil pessoas";"39";"Mil pessoas";"157";"Mil pessoas";"46";"Mil pessoas";"146";"Mil pessoas";"44";"Mil pessoas";"153";"Mil pessoas";"43";"Mil pessoas";"133";"Mil pessoas";"46";"Mil pessoas";"125";"Mil pessoas";"45";"Mil pessoas";"138";"Mil pessoas"
"Piauí";"4 a 5 anos";"22";"Mil pessoas";"86";"Mil pessoas";"18";"Mil pessoas";"80";"Mil pessoas";"22";"Mil pessoas";"76";"Mil pessoas";"30";"Mil pessoas";"82";"Mil pessoas";"27";"Mil pessoas";"72";"Mil pessoas";"24";"Mil pessoas";"89";"Mil pessoas";"22";"Mil pessoas";"81";"Mil pessoas"
"Piauí";"6 a 9 anos";"39";"Mil pessoas";"168";"Mil pessoas";"46";"Mil pessoas";"169";"Mil pessoas";"38";"Mil pessoas";"167";"Mil pessoas";"41";"Mil pessoas";"146";"Mil pessoas";"42";"Mil pessoas";"156";"Mil pessoas";"39";"Mil pessoas";"142";"Mil pessoas";"37";"Mil pessoas";"159";"Mil pessoas"
"Piauí";"10 a 14 anos";"50";"Mil pessoas";"225";"Mil pessoas";"48";"Mil pessoas";"215";"Mil pessoas";"54";"Mil pessoas";"214";"Mil pessoas";"52";"Mil pessoas";"212";"Mil pessoas";"48";"Mil pessoas";"188";"Mil pessoas";"54";"Mil pessoas";"193";"Mil pessoas";"38";"Mil pessoas";"185";"Mil pessoas"
"Piauí";"15 a 17 anos";"28";"Mil pessoas";"138";"Mil pessoas";"36";"Mil pessoas";"139";"Mil pessoas";"29";"Mil pessoas";"142";"Mil pessoas";"22";"Mil pessoas";"125";"Mil pessoas";"31";"Mil pessoas";"126";"Mil pessoas";"34";"Mil pessoas";"123";"Mil pessoas";"36";"Mil pessoas";"114";"Mil pessoas"
"Piauí";"18 a 24 anos";"67";"Mil pessoas";"304";"Mil pessoas";"68";"Mil pessoas";"308";"Mil pessoas";"64";"Mil pessoas";"314";"Mil pessoas";"69";"Mil pessoas";"320";"Mil pessoas";"78";"Mil pessoas";"304";"Mil pessoas";"76";"Mil pessoas";"292";"Mil pessoas";"56";"Mil pessoas";"290";"Mil pessoas"
"Piauí";"25 a 29 anos";"47";"Mil pessoas";"216";"Mil pessoas";"52";"Mil pessoas";"207";"Mil pessoas";"49";"Mil pessoas";"212";"Mil pessoas";"49";"Mil pessoas";"214";"Mil pessoas";"49";"Mil pessoas";"198";"Mil pessoas";"48";"Mil pessoas";"199";"Mil pessoas";"53";"Mil pessoas";"222";"Mil pessoas"
"Piauí";"30 a 39 anos";"105";"Mil pessoas";"441";"Mil pessoas";"105";"Mil pessoas";"432";"Mil pessoas";"81";"Mil pessoas";"421";"Mil pessoas";"85";"Mil pessoas";"416";"Mil pessoas";"103";"Mil pessoas";"406";"Mil pessoas";"91";"Mil pessoas";"402";"Mil pessoas";"94";"Mil pessoas";"416";"Mil pessoas"
"Piauí";"40 a 59 anos";"140";"Mil pessoas";"570";"Mil pessoas";"150";"Mil pessoas";"579";"Mil pessoas";"131";"Mil pessoas";"625";"Mil pessoas";"128";"Mil pessoas";"621";"Mil pessoas";"173";"Mil pessoas";"642";"Mil pessoas";"172";"Mil pessoas";"684";"Mil pessoas";"159";"Mil pessoas";"641";"Mil pessoas"
"Piauí";"60 anos ou mais";"90";"Mil pessoas";"318";"Mil pessoas";"94";"Mil pessoas";"310";"Mil pessoas";"87";"Mil pessoas";"331";"Mil pessoas";"82";"Mil pessoas";"371";"Mil pessoas";"102";"Mil pessoas";"369";"Mil pessoas";"101";"Mil pessoas";"360";"Mil pessoas";"112";"Mil pessoas";"398";"Mil pessoas"
"Ceará";"0 a 3 anos";"174";"Mil pessoas";"349";"Mil pessoas";"179";"Mil pessoas";"327";"Mil pessoas";"173";"Mil pessoas";"336";"Mil pessoas";"175";"Mil pessoas";"364";"Mil pessoas";"164";"Mil pessoas";"329";"Mil pessoas";"150";"Mil pessoas";"326";"Mil pessoas";"125";"Mil pessoas";"333";"Mil pessoas"
"Ceará";"4 a 5 anos";"81";"Mil pessoas";"196";"Mil pessoas";"83";"Mil pessoas";"190";"Mil pessoas";"73";"Mil pessoas";"181";"Mil pessoas";"66";"Mil pessoas";"183";"Mil pessoas";"74";"Mil pessoas";"184";"Mil pessoas";"80";"Mil pessoas";"189";"Mil pessoas";"79";"Mil pessoas";"203";"Mil pessoas"
"Ceará";"6 a 9 anos";"164";"Mil pessoas";"413";"Mil pessoas";"152";"Mil pessoas";"397";"Mil pessoas";"123";"Mil pessoas";"398";"Mil pessoas";"153";"Mil pessoas";"382";"Mil pessoas";"129";"Mil pessoas";"349";"Mil pessoas";"149";"Mil pessoas";"382";"Mil pessoas";"142";"Mil pessoas";"368";"Mil pessoas"
"Ceará";"10 a 14 anos";"175";"Mil pessoas";"560";"Mil pessoas";"169";"Mil pessoas";"525";"Mil pessoas";"156";"Mil pessoas";"545";"Mil pessoas";"190";"Mil pessoas";"510";"Mil pessoas";"171";"Mil pessoas";"465";"Mil pessoas";"156";"Mil pessoas";"486";"Mil pessoas";"147";"Mil pessoas";"528";"Mil pessoas"
"Ceará";"15 a 17 anos";"110";"Mil pessoas";"369";"Mil pessoas";"117";"Mil pessoas";"351";"Mil pessoas";"108";"Mil pessoas";"337";"Mil pessoas";"108";"Mil pessoas";"314";"Mil pessoas";"122";"Mil pessoas";"291";"Mil pessoas";"106";"Mil pessoas";"325";"Mil pessoas";"101";"Mil pessoas";"292";"Mil pessoas"
"Ceará";"18 a 24 anos";"307";"Mil pessoas";"828";"Mil pessoas";"279";"Mil pessoas";"851";"Mil pessoas";"277";"Mil pessoas";"853";"Mil pessoas";"268";"Mil pessoas";"827";"Mil pessoas";"276";"Mil pessoas";"746";"Mil pessoas";"261";"Mil pessoas";"694";"Mil pessoas";"234";"Mil pessoas";"723";"Mil pessoas"
"Ceará";"25 a 29 anos";"181";"Mil pessoas";"561";"Mil pessoas";"218";"Mil pessoas";"594";"Mil pessoas";"209";"Mil pessoas";"584";"Mil pessoas";"184";"Mil pessoas";"578";"Mil pessoas";"197";"Mil pessoas";"543";"Mil pessoas";"180";"Mil pessoas";"579";"Mil pessoas";"195";"Mil pessoas";"561";"Mil pessoas"
"Ceará";"30 a 39 anos";"359";"Mil pessoas";"1043";"Mil pessoas";"359";"Mil pessoas";"1065";"Mil pessoas";"363";"Mil pessoas";"1087";"Mil pessoas";"358";"Mil pessoas";"1092";"Mil pessoas";"388";"Mil pessoas";"1079";"Mil pessoas";"358";"Mil pessoas";"1123";"Mil pessoas";"337";"Mil pessoas";"1110";"Mil pessoas"
"Ceará";"40 a 59 anos";"510";"Mil pessoas";"1441";"Mil pessoas";"526";"Mil pessoas";"1468";"Mil pessoas";"529";"Mil pessoas";"1506";"Mil pessoas";"547";"Mil pessoas";"1552";"Mil pessoas";"606";"Mil pessoas";"1667";"Mil pessoas";"564";"Mil pessoas";"1706";"Mil pessoas";"578";"Mil pessoas";"1745";"Mil pessoas"
"Ceará";"60 anos ou mais";"330";"Mil pessoas";"744";"Mil pessoas";"346";"Mil pessoas";"774";"Mil pessoas";"342";"Mil pessoas";"800";"Mil pessoas";"383";"Mil pessoas";"823";"Mil pessoas";"473";"Mil pessoas";"935";"Mil pessoas";"448";"Mil pessoas";"939";"Mil pessoas";"431";"Mil pessoas";"1044";"Mil pessoas"
"Rio Grande do Norte";"0 a 3 anos";"86";"Mil pessoas";"104";"Mil pessoas";"80";"Mil pessoas";"95";"Mil pessoas";"89";"Mil pessoas";"111";"Mil pessoas";"86";"Mil pessoas";"97";"Mil pessoas";"92";"Mil pessoas";"105";"Mil pessoas";"94";"Mil pessoas";"99";"Mil pessoas";"87";"Mil pessoas";"100";"Mil pessoas"
"Rio Grande do Norte";"4 a 5 anos";"49";"Mil pessoas";"60";"Mil pessoas";"47";"Mil pessoas";"59";"Mil pessoas";"42";"Mil pessoas";"53";"Mil pessoas";"51";"Mil pessoas";"55";"Mil pessoas";"37";"Mil pessoas";"63";"Mil pessoas";"40";"Mil pessoas";"55";"Mil pessoas";"51";"Mil pessoas";"56";"Mil pessoas"
"Rio Grande do Norte";"6 a 9 anos";"80";"Mil pessoas";"119";"Mil pessoas";"77";"Mil pessoas";"128";"Mil pessoas";"71";"Mil pessoas";"120";"Mil pessoas";"84";"Mil pessoas";"116";"Mil pessoas";"78";"Mil pessoas";"116";"Mil pessoas";"69";"Mil pessoas";"120";"Mil pessoas";"80";"Mil pessoas";"121";"Mil pessoas"
"Rio Grande do Norte";"10 a 14 anos";"93";"Mil pessoas";"165";"Mil pessoas";"97";"Mil pessoas";"172";"Mil pessoas";"90";"Mil pessoas";"171";"Mil pessoas";"108";"Mil pessoas";"169";"Mil pessoas";"95";"Mil pessoas";"152";"Mil pessoas";"89";"Mil pessoas";"168";"Mil pessoas";"93";"Mil pessoas";"156";"Mil pessoas"
"Rio Grande do Norte";"15 a 17 anos";"62";"Mil pessoas";"111";"Mil pessoas";"60";"Mil pessoas";"118";"Mil pessoas";"64";"Mil pessoas";"109";"Mil pessoas";"47";"Mil pessoas";"96";"Mil pessoas";"53";"Mil pessoas";"99";"Mil pessoas";"53";"Mil pessoas";"106";"Mil pessoas";"65";"Mil pessoas";"102";"Mil pessoas"
"Rio Grande do Norte";"18 a 24 anos";"154";"Mil pessoas";"253";"Mil pessoas";"137";"Mil pessoas";"264";"Mil pessoas";"167";"Mil pessoas";"264";"Mil pessoas";"150";"Mil pessoas";"246";"Mil pessoas";"128";"Mil pessoas";"250";"Mil pessoas";"128";"Mil pessoas";"236";"Mil pessoas";"133";"Mil pessoas";"233";"Mil pessoas"
"Rio Grande do Norte";"25 a 29 anos";"98";"Mil pessoas";"169";"Mil pessoas";"108";"Mil pessoas";"188";"Mil pessoas";"103";"Mil pessoas";"178";"Mil pessoas";"101";"Mil pessoas";"184";"Mil pessoas";"104";"Mil pessoas";"194";"Mil pessoas";"122";"Mil pessoas";"186";"Mil pessoas";"95";"Mil pessoas";"184";"Mil pessoas"
"Rio Grande do Norte";"30 a 39 anos";"210";"Mil pessoas";"376";"Mil pessoas";"202";"Mil pessoas";"361";"Mil pessoas";"194";"Mil pessoas";"386";"Mil pessoas";"206";"Mil pessoas";"361";"Mil pessoas";"220";"Mil pessoas";"331";"Mil pessoas";"194";"Mil pessoas";"380";"Mil pessoas";"214";"Mil pessoas";"384";"Mil pessoas"
"Rio Grande do Norte";"40 a 59 anos";"273";"Mil pessoas";"537";"Mil pessoas";"280";"Mil pessoas";"546";"Mil pessoas";"301";"Mil pessoas";"524";"Mil pessoas";"294";"Mil pessoas";"556";"Mil pessoas";"298";"Mil pessoas";"615";"Mil pessoas";"320";"Mil pessoas";"579";"Mil pessoas";"337";"Mil pessoas";"585";"Mil pessoas"
"Rio Grande do Norte";"60 anos ou mais";"163";"Mil pessoas";"250";"Mil pessoas";"156";"Mil pessoas";"267";"Mil pessoas";"160";"Mil pessoas";"265";"Mil pessoas";"187";"Mil pessoas";"299";"Mil pessoas";"219";"Mil pessoas";"326";"Mil pessoas";"220";"Mil pessoas";"343";"Mil pessoas";"226";"Mil pessoas";"325";"Mil pessoas"
"Paraíba";"0 a 3 anos";"102";"Mil pessoas";"133";"Mil pessoas";"98";"Mil pessoas";"137";"Mil pessoas";"91";"Mil pessoas";"135";"Mil pessoas";"96";"Mil pessoas";"142";"Mil pessoas";"95";"Mil pessoas";"145";"Mil pessoas";"87";"Mil pessoas";"133";"Mil pessoas";"90";"Mil pessoas";"154";"Mil pessoas"
"Paraíba";"4 a 5 anos";"48";"Mil pessoas";"76";"Mil pessoas";"47";"Mil pessoas";"70";"Mil pessoas";"46";"Mil pessoas";"74";"Mil pessoas";"41";"Mil pessoas";"70";"Mil pessoas";"35";"Mil pessoas";"81";"Mil pessoas";"43";"Mil pessoas";"84";"Mil pessoas";"42";"Mil pessoas";"79";"Mil pessoas"
"Paraíba";"6 a 9 anos";"79";"Mil pessoas";"153";"Mil pessoas";"90";"Mil pessoas";"162";"Mil pessoas";"88";"Mil pessoas";"156";"Mil pessoas";"81";"Mil pessoas";"156";"Mil pessoas";"73";"Mil pessoas";"160";"Mil pessoas";"86";"Mil pessoas";"171";"Mil pessoas";"87";"Mil pessoas";"141";"Mil pessoas"
"Paraíba";"10 a 14 anos";"104";"Mil pessoas";"227";"Mil pessoas";"100";"Mil pessoas";"210";"Mil pessoas";"102";"Mil pessoas";"195";"Mil pessoas";"97";"Mil pessoas";"209";"Mil pessoas";"88";"Mil pessoas";"213";"Mil pessoas";"96";"Mil pessoas";"210";"Mil pessoas";"97";"Mil pessoas";"196";"Mil pessoas"
"Paraíba";"15 a 17 anos";"73";"Mil pessoas";"146";"Mil pessoas";"63";"Mil pessoas";"150";"Mil pessoas";"60";"Mil pessoas";"145";"Mil pessoas";"70";"Mil pessoas";"136";"Mil pessoas";"52";"Mil pessoas";"148";"Mil pessoas";"53";"Mil pessoas";"120";"Mil pessoas";"55";"Mil pessoas";"115";"Mil pessoas"
"Paraíba";"18 a 24 anos";"163";"Mil pessoas";"302";"Mil pessoas";"151";"Mil pessoas";"305";"Mil pessoas";"141";"Mil pessoas";"329";"Mil pessoas";"141";"Mil pessoas";"326";"Mil pessoas";"118";"Mil pessoas";"302";"Mil pessoas";"137";"Mil pessoas";"288";"Mil pessoas";"131";"Mil pessoas";"297";"Mil pessoas"
"Paraíba";"25 a 29 anos";"104";"Mil pessoas";"230";"Mil pessoas";"107";"Mil pessoas";"220";"Mil pessoas";"104";"Mil pessoas";"223";"Mil pessoas";"90";"Mil pessoas";"217";"Mil pessoas";"103";"Mil pessoas";"235";"Mil pessoas";"92";"Mil pessoas";"222";"Mil pessoas";"100";"Mil pessoas";"203";"Mil pessoas"
"Paraíba";"30 a 39 anos";"199";"Mil pessoas";"421";"Mil pessoas";"189";"Mil pessoas";"440";"Mil pessoas";"192";"Mil pessoas";"409";"Mil pessoas";"198";"Mil pessoas";"423";"Mil pessoas";"188";"Mil pessoas";"452";"Mil pessoas";"204";"Mil pessoas";"426";"Mil pessoas";"207";"Mil pessoas";"430";"Mil pessoas"
"Paraíba";"40 a 59 anos";"290";"Mil pessoas";"586";"Mil pessoas";"274";"Mil pessoas";"623";"Mil pessoas";"298";"Mil pessoas";"631";"Mil pessoas";"287";"Mil pessoas";"655";"Mil pessoas";"298";"Mil pessoas";"667";"Mil pessoas";"319";"Mil pessoas";"692";"Mil pessoas";"336";"Mil pessoas";"691";"Mil pessoas"
"Paraíba";"60 anos ou mais";"183";"Mil pessoas";"299";"Mil pessoas";"174";"Mil pessoas";"334";"Mil pessoas";"184";"Mil pessoas";"350";"Mil pessoas";"181";"Mil pessoas";"355";"Mil pessoas";"211";"Mil pessoas";"357";"Mil pessoas";"212";"Mil pessoas";"364";"Mil pessoas";"218";"Mil pessoas";"392";"Mil pessoas"
"Pernambuco";"0 a 3 anos";"195";"Mil pessoas";"363";"Mil pessoas";"180";"Mil pessoas";"331";"Mil pessoas";"206";"Mil pessoas";"331";"Mil pessoas";"196";"Mil pessoas";"342";"Mil pessoas";"221";"Mil pessoas";"332";"Mil pessoas";"220";"Mil pessoas";"292";"Mil pessoas";"192";"Mil pessoas";"333";"Mil pessoas"
"Pernambuco";"4 a 5 anos";"82";"Mil pessoas";"184";"Mil pessoas";"76";"Mil pessoas";"179";"Mil pessoas";"91";"Mil pessoas";"180";"Mil pessoas";"91";"Mil pessoas";"186";"Mil pessoas";"94";"Mil pessoas";"173";"Mil pessoas";"109";"Mil pessoas";"176";"Mil pessoas";"102";"Mil pessoas";"189";"Mil pessoas"
"Pernambuco";"6 a 9 anos";"175";"Mil pessoas";"384";"Mil pessoas";"161";"Mil pessoas";"408";"Mil pessoas";"181";"Mil pessoas";"343";"Mil pessoas";"167";"Mil pessoas";"369";"Mil pessoas";"181";"Mil pessoas";"384";"Mil pessoas";"195";"Mil pessoas";"335";"Mil pessoas";"187";"Mil pessoas";"367";"Mil pessoas"
"Pernambuco";"10 a 14 anos";"202";"Mil pessoas";"505";"Mil pessoas";"188";"Mil pessoas";"549";"Mil pessoas";"232";"Mil pessoas";"501";"Mil pessoas";"208";"Mil pessoas";"516";"Mil pessoas";"224";"Mil pessoas";"494";"Mil pessoas";"222";"Mil pessoas";"463";"Mil pessoas";"217";"Mil pessoas";"477";"Mil pessoas"
"Pernambuco";"15 a 17 anos";"125";"Mil pessoas";"359";"Mil pessoas";"135";"Mil pessoas";"388";"Mil pessoas";"131";"Mil pessoas";"345";"Mil pessoas";"114";"Mil pessoas";"343";"Mil pessoas";"132";"Mil pessoas";"306";"Mil pessoas";"123";"Mil pessoas";"298";"Mil pessoas";"148";"Mil pessoas";"304";"Mil pessoas"
"Pernambuco";"18 a 24 anos";"332";"Mil pessoas";"783";"Mil pessoas";"306";"Mil pessoas";"786";"Mil pessoas";"327";"Mil pessoas";"748";"Mil pessoas";"311";"Mil pessoas";"809";"Mil pessoas";"335";"Mil pessoas";"696";"Mil pessoas";"337";"Mil pessoas";"695";"Mil pessoas";"326";"Mil pessoas";"658";"Mil pessoas"
"Pernambuco";"25 a 29 anos";"211";"Mil pessoas";"557";"Mil pessoas";"217";"Mil pessoas";"522";"Mil pessoas";"220";"Mil pessoas";"534";"Mil pessoas";"234";"Mil pessoas";"519";"Mil pessoas";"211";"Mil pessoas";"490";"Mil pessoas";"233";"Mil pessoas";"462";"Mil pessoas";"219";"Mil pessoas";"520";"Mil pessoas"
"Pernambuco";"30 a 39 anos";"449";"Mil pessoas";"1047";"Mil pessoas";"446";"Mil pessoas";"1078";"Mil pessoas";"500";"Mil pessoas";"1041";"Mil pessoas";"492";"Mil pessoas";"1055";"Mil pessoas";"505";"Mil pessoas";"1068";"Mil pessoas";"470";"Mil pessoas";"1038";"Mil pessoas";"467";"Mil pessoas";"1087";"Mil pessoas"
"Pernambuco";"40 a 59 anos";"623";"Mil pessoas";"1525";"Mil pessoas";"619";"Mil pessoas";"1564";"Mil pessoas";"663";"Mil pessoas";"1551";"Mil pessoas";"694";"Mil pessoas";"1557";"Mil pessoas";"739";"Mil pessoas";"1603";"Mil pessoas";"851";"Mil pessoas";"1662";"Mil pessoas";"789";"Mil pessoas";"1663";"Mil pessoas"
"Pernambuco";"60 anos ou mais";"421";"Mil pessoas";"751";"Mil pessoas";"373";"Mil pessoas";"808";"Mil pessoas";"415";"Mil pessoas";"787";"Mil pessoas";"417";"Mil pessoas";"780";"Mil pessoas";"500";"Mil pessoas";"879";"Mil pessoas";"541";"Mil pessoas";"874";"Mil pessoas";"533";"Mil pessoas";"912";"Mil pessoas"
"Alagoas";"0 a 3 anos";"60";"Mil pessoas";"140";"Mil pessoas";"62";"Mil pessoas";"136";"Mil pessoas";"56";"Mil pessoas";"135";"Mil pessoas";"61";"Mil pessoas";"132";"Mil pessoas";"69";"Mil pessoas";"140";"Mil pessoas";"70";"Mil pessoas";"150";"Mil pessoas";"70";"Mil pessoas";"138";"Mil pessoas"
"Alagoas";"4 a 5 anos";"29";"Mil pessoas";"79";"Mil pessoas";"27";"Mil pessoas";"82";"Mil pessoas";"26";"Mil pessoas";"69";"Mil pessoas";"33";"Mil pessoas";"69";"Mil pessoas";"33";"Mil pessoas";"74";"Mil pessoas";"34";"Mil pessoas";"81";"Mil pessoas";"37";"Mil pessoas";"75";"Mil pessoas"
"Alagoas";"6 a 9 anos";"47";"Mil pessoas";"170";"Mil pessoas";"50";"Mil pessoas";"151";"Mil pessoas";"52";"Mil pessoas";"150";"Mil pessoas";"48";"Mil pessoas";"151";"Mil pessoas";"61";"Mil pessoas";"147";"Mil pessoas";"55";"Mil pessoas";"152";"Mil pessoas";"50";"Mil pessoas";"150";"Mil pessoas"
