"Tabela 7125 - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade, por cor ou raça e grupo de idade",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variável - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade,,,,,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Ano,Cor ou raça,Grupo de idade,,
BR,1,Brasil,2024,Total,15 anos ou mais,5.3,%
BR,1,Brasil,2024,Total,18 anos ou mais,5.5,%
BR,1,Brasil,2024,Total,25 anos ou mais,6.3,%
BR,1,Brasil,2024,Total,40 anos ou mais,9.1,%
BR,1,Brasil,2024,Total,60 anos ou mais,14.9,%
BR,1,Brasil,2024,Branca,15 anos ou mais,3.1,%
BR,1,Brasil,2024,Branca,18 anos ou mais,3.3,%
BR,1,Brasil,2024,Branca,25 anos ou mais,3.6,%
BR,1,Brasil,2024,Branca,40 anos ou mais,5.0,%
BR,1,Brasil,2024,Branca,60 anos ou mais,8.1,%
BR,1,Brasil,2024,Preta ou parda,15 anos ou mais,6.9,%
BR,1,Brasil,2024,Preta ou parda,18 anos ou mais,7.3,%
BR,1,Brasil,2024,Preta ou parda,25 anos ou mais,8.4,%
BR,1,Brasil,2024,Preta ou parda,40 anos ou mais,12.5,%
BR,1,Brasil,2024,Preta ou parda,60 anos ou mais,21.8,%
GR,1,Norte,2016,Total,15 anos ou mais,7.9,%
GR,1,Norte,2016,Total,18 anos ou mais,8.6,%
GR,1,Norte,2016,Total,25 anos ou mais,10.4,%
GR,1,Norte,2016,Total,40 anos ou mais,16.6,%
GR,1,Norte,2016,Total,60 anos ou mais,30.0,%
GR,1,Norte,2016,Branca,15 anos ou mais,5.4,%
GR,1,Norte,2016,Branca,18 anos ou mais,5.7,%
GR,1,Norte,2016,Branca,25 anos ou mais,7.0,%
GR,1,Norte,2016,Branca,40 anos ou mais,10.8,%
GR,1,Norte,2016,Branca,60 anos ou mais,20.7,%
GR,1,Norte,2016,Preta ou parda,15 anos ou mais,8.5,%
GR,1,Norte,2016,Preta ou parda,18 anos ou mais,9.2,%
GR,1,Norte,2016,Preta ou parda,25 anos ou mais,11.2,%
GR,1,Norte,2016,Preta ou parda,40 anos ou mais,18.0,%
GR,1,Norte,2016,Preta ou parda,60 anos ou mais,32.5,%
GR,1,Norte,2017,Total,15 anos ou mais,7.6,%
GR,1,Norte,2017,Total,18 anos ou mais,8.2,%
GR,1,Norte,2017,Total,25 anos ou mais,9.8,%
GR,1,Norte,2017,Total,40 anos ou mais,15.4,%
GR,1,Norte,2017,Total,60 anos ou mais,27.5,%
GR,1,Norte,2017,Branca,15 anos ou mais,5.9,%
GR,1,Norte,2017,Branca,18 anos ou mais,6.4,%
GR,1,Norte,2017,Branca,25 anos ou mais,7.4,%
GR,1,Norte,2017,Branca,40 anos ou mais,11.3,%
GR,1,Norte,2017,Branca,60 anos ou mais,20.4,%
GR,1,Norte,2017,Preta ou parda,15 anos ou mais,7.9,%
GR,1,Norte,2017,Preta ou parda,18 anos ou mais,8.6,%
GR,1,Norte,2017,Preta ou parda,25 anos ou mais,10.4,%
GR,1,Norte,2017,Preta ou parda,40 anos ou mais,16.3,%
GR,1,Norte,2017,Preta ou parda,60 anos ou mais,29.5,%
GR,1,Norte,2018,Total,15 anos ou mais,7.4,%
GR,1,Norte,2018,Total,18 anos ou mais,7.9,%
GR,1,Norte,2018,Total,25 anos ou mais,9.6,%
GR,1,Norte,2018,Total,40 anos ou mais,15.1,%
GR,1,Norte,2018,Total,60 anos ou mais,27.1,%
GR,1,Norte,2018,Branca,15 anos ou mais,5.5,%
GR,1,Norte,2018,Branca,18 anos ou mais,5.9,%
GR,1,Norte,2018,Branca,25 anos ou mais,7.1,%
GR,1,Norte,2018,Branca,40 anos ou mais,10.8,%
GR,1,Norte,2018,Branca,60 anos ou mais,18.9,%
GR,1,Norte,2018,Preta ou parda,15 anos ou mais,7.8,%
GR,1,Norte,2018,Preta ou parda,18 anos ou mais,8.4,%
GR,1,Norte,2018,Preta ou parda,25 anos ou mais,10.1,%
GR,1,Norte,2018,Preta ou parda,40 anos ou mais,16.1,%
GR,1,Norte,2018,Preta ou parda,60 anos ou mais,29.0,%
GR,1,Norte,2019,Total,15 anos ou mais,7.0,%
GR,1,Norte,2019,Total,18 anos ou mais,7.6,%
GR,1,Norte,2019,Total,25 anos ou mais,9.1,%
GR,1,Norte,2019,Total,40 anos ou mais,14.0,%
GR,1,Norte,2019,Total,60 anos ou mais,25.5,%
GR,1,Norte,2019,Branca,15 anos ou mais,4.9,%
GR,1,Norte,2019,Branca,18 anos ou mais,5.2,%
GR,1,Norte,2019,Branca,25 anos ou mais,6.1,%
GR,1,Norte,2019,Branca,40 anos ou mais,9.2,%
GR,1,Norte,2019,Branca,60 anos ou mais,17.8,%
GR,1,Norte,2019,Preta ou parda,15 anos ou mais,7.5,%
GR,1,Norte,2019,Preta ou parda,18 anos ou mais,8.1,%
GR,1,Norte,2019,Preta ou parda,25 anos ou mais,9.8,%
GR,1,Norte,2019,Preta ou parda,40 anos ou mais,15.1,%
GR,1,Norte,2019,Preta ou parda,60 anos ou mais,27.5,%
GR,1,Norte,2022,Total,15 anos ou mais,6.4,%
GR,1,Norte,2022,Total,18 anos ou mais,6.9,%
GR,1,Norte,2022,Total,25 anos ou mais,8.2,%
GR,1,Norte,2022,Total,40 anos ou mais,12.6,%
GR,1,Norte,2022,Total,60 anos ou mais,23.5,%
GR,1,Norte,2022,Branca,15 anos ou mais,4.5,%
GR,1,Norte,2022,Branca,18 anos ou mais,4.8,%
GR,1,Norte,2022,Branca,25 anos ou mais,5.7,%
GR,1,Norte,2022,Branca,40 anos ou mais,8.3,%
GR,1,Norte,2022,Branca,60 anos ou mais,16.1,%
GR,1,Norte,2022,Preta ou parda,15 anos ou mais,6.9,%
GR,1,Norte,2022,Preta ou parda,18 anos ou mais,7.4,%
